class,n_pairs,mean_2016,mean_2025,median_2016,median_2025,mean_change,median_change,shapiro_p_difference,selection_reason,test,statistic_name,statistic,p_value,p_adjusted_BH,effect_size_name,effect_size
Lignin;Amino Sugar,44,0.007633520267014135,0.0031750617195531873,0.007681658543781312,0.0022453052707974235,-0.0044584585474609474,-0.005091231917401842,0.4947999671658146,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,-8.185024105750081,2.5967819636083427e-10,4.674207534495017e-9,Cohen_dz,-1.233938811763057
Amino Sugar,44,0.030766137895340384,0.020931080485688817,0.029398115503314105,0.01957840945384861,-0.009835057409651566,-0.009158553666366042,0.06253522786538727,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,-5.982080879066673,3.882528067988906e-7,3.4942752611900154e-6,Cohen_dz,-0.9018326246101614
Tannin,44,0.04827611214682189,0.025222204181033655,0.04468362533006283,0.02087114337568058,-0.02305390796578824,-0.020949585672568008,0.30160458404123935,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,-5.577743523139543,1.4988240612465803e-6,8.992944367479481e-6,Cohen_dz,-0.840876474685858
Lipid;Protein,44,0.006047452409059513,0.0041402304592726155,0.0059705425790774905,0.0042107549329548095,-0.0019072219497868977,-0.0019544337587259833,0.00796450877001818,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,175,1.9252623724826695e-4,8.663680676172013e-4,rank_biserial,-0.6464646464646465
Protein;Amino Sugar,44,0.003323376273550269,0.0018740187290609562,0.003201467711517963,0.0012853661558795589,-0.0014493575444893127,-0.0021199719031215654,8.835608487535948e-4,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,201,6.143435580141109e-4,0.002088853528411791,rank_biserial,-0.593939393939394
Other,44,0.17597090875816118,0.2151948882378363,0.1725240553401839,0.19750476183985907,0.03922397947967511,0.015758440163047907,0.09320474973057707,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,3.6545015146084934,6.96284509470597e-4,0.002088853528411791,Cohen_dz,0.5509368327155403
Unsat Hydrocarbon;Cond Hydrocarbon,44,0.0012283775925564207,0.003765782154492267,8.662872857004996e-4,0.002262368463985643,0.0025374045619358464,0.001460071197067106,3.9005401147839767e-10,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,655,0.0010147780909456762,0.002609429376717453,rank_biserial,0.5975609756097561
Tannin;Cond Hydrocarbon,44,0.0026342886531297905,0.0018110785266198372,0.0024429488137998174,0.0011185892145240276,-8.232101265099537e-4,-0.001197508452022221,2.4878345232994478e-8,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,203,0.0019292783004690617,0.0035018082150066487,rank_biserial,-0.5503875968992248
Carbohydrate,44,0.012552802653213227,0.022173539985172838,0.01155799288981953,0.01608850936417075,0.00962073733195961,0.005887171711455986,4.162099682102111e-5,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,761,0.001945449008337027,0.0035018082150066487,rank_biserial,0.5373737373737374
Unsat Hydrocarbon,44,0.025464507103744115,0.045026884726505345,0.022517219533112108,0.03212032346929708,0.01956237762276123,0.009099456055774103,3.7650308938367435e-5,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,761,0.001945449008337027,0.0035018082150066487,rank_biserial,0.5373737373737374
Protein;Lignin,44,0.0023947159562421943,0.0016385968934344095,0.0023511448272050188,5.302226935312832e-4,-7.561190628077848e-4,-0.0013819552696787791,6.234442904374946e-6,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,222,0.0024881767503912855,0.00407156195518574,rank_biserial,-0.5306553911205074
Lignin,44,0.251071276107546,0.21756113636128196,0.25498289083180714,0.21651190053833932,-0.03351013974626402,-0.02567339608008759,0.5817442074157161,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,-2.9195035275654813,0.005560445575484598,0.008340668363226897,Cohen_dz,-0.4401317170478961
Cond Hydrocarbon,44,0.08323909207684166,0.10011145736675414,0.07778549453496825,0.08256297601391661,0.016872365289912473,0.012414980497280268,0.6739955632021668,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,2.4679716665355085,0.017643215852451433,0.02442906810339429,Cohen_dz,0.37206072777847266
Lipid,44,0.12163693628001349,0.11090303256292791,0.11377863262808183,0.0966636846440033,-0.010733903717085573,-0.015136190829652077,1.08278881005478e-5,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,300,0.023216536684855443,0.029849832880528428,rank_biserial,-0.3939393939393939
Lignin;Tannin,44,0.0014935438230436787,0.0010311322493570174,0.0013361685628490577,0,-4.624115736866615e-4,-7.782160100456626e-4,1.4182315892456992e-5,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,217,0.02649705505066531,0.03179646606079837,rank_biserial,-0.4143049932523617
Carbohydrate;Amino Sugar,44,0.0028218232265988974,0.003561739606807627,0.002691177919015533,0.0026385866917806,7.399163802087297e-4,4.091165015043482e-5,0.09040644178600854,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,1.8097061588536676,0.07733451911277384,0.08700133400187057,Cohen_dz,0.27282346862331464
Protein,44,0.22343765761580586,0.2216531132519509,0.22620637464387466,0.2503832999174431,-0.0017845443638549625,0.016558996259722986,0.011405695184727909,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,486,0.9209821450990373,0.9751575653989807,rank_biserial,-0.01818181818181818
Protein;Lignin;Amino Sugar,44,7.471161317315164e-6,2.25022502250225e-4,0,0,2.1755134093290988e-4,0,1.2147298502298341e-14,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,1,1,1,rank_biserial,1
