site_pair_id,sample,year,property,value
PAIR_001,HJA_155_2016,2016,NOSC,-0.4555016914493
PAIR_001,HJA_155_2016,2016,O:C ratio,0.443761686352635
PAIR_001,HJA_155_2016,2016,H:C ratio,1.37766428362282
PAIR_001,HJA_155_2016,2016,AI_Mod,0.21922303595421
PAIR_001,HJA_155_2016,2016,DBE,7.28520499108734
PAIR_001,HJA_155_2016,2016,lambdaO2,0.0517787428466669
PAIR_002,HJA_156_2016,2016,NOSC,-0.546689601134105
PAIR_002,HJA_156_2016,2016,O:C ratio,0.427894685028105
PAIR_002,HJA_156_2016,2016,H:C ratio,1.43234324771436
PAIR_002,HJA_156_2016,2016,AI_Mod,0.203724070047855
PAIR_002,HJA_156_2016,2016,DBE,6.34648370497427
PAIR_002,HJA_156_2016,2016,lambdaO2,0.0531513725356185
PAIR_003,HJA_162_2016,2016,NOSC,-0.467170480179895
PAIR_003,HJA_162_2016,2016,O:C ratio,0.436599877092966
PAIR_003,HJA_162_2016,2016,H:C ratio,1.36682554042061
PAIR_003,HJA_162_2016,2016,AI_Mod,0.224652485638031
PAIR_003,HJA_162_2016,2016,DBE,7.46561108362197
PAIR_003,HJA_162_2016,2016,lambdaO2,0.0506706443957781
PAIR_004,HJA_164_2016,2016,NOSC,-0.581896330697896
PAIR_004,HJA_164_2016,2016,O:C ratio,0.330970395813707
PAIR_004,HJA_164_2016,2016,H:C ratio,1.38548433956283
PAIR_004,HJA_164_2016,2016,AI_Mod,0.234658896993219
PAIR_004,HJA_164_2016,2016,DBE,8.22064869803563
PAIR_004,HJA_164_2016,2016,lambdaO2,0.0463081597590025
PAIR_005,HJA_165_2016,2016,NOSC,-0.50509912766858
PAIR_005,HJA_165_2016,2016,O:C ratio,0.414754236933921
PAIR_005,HJA_165_2016,2016,H:C ratio,1.38214354645603
PAIR_005,HJA_165_2016,2016,AI_Mod,0.223959550061266
PAIR_005,HJA_165_2016,2016,DBE,7.7639405204461
PAIR_005,HJA_165_2016,2016,lambdaO2,0.0471997851606002
PAIR_006,HJA_169_2016,2016,NOSC,-0.379575355148815
PAIR_006,HJA_169_2016,2016,O:C ratio,0.394167236393825
PAIR_006,HJA_169_2016,2016,H:C ratio,1.28244114437759
PAIR_006,HJA_169_2016,2016,AI_Mod,0.274337449840296
PAIR_006,HJA_169_2016,2016,DBE,9.15535568274734
PAIR_006,HJA_169_2016,2016,lambdaO2,0.0503071503870221
PAIR_007,HJA_170_2016,2016,NOSC,-0.429641624887482
PAIR_007,HJA_170_2016,2016,O:C ratio,0.34093198262826
PAIR_007,HJA_170_2016,2016,H:C ratio,1.25703728618754
