site_name_2016,site_name_2025,sample_2016,sample_2025,latitude_2016,longitude_2016,latitude_2025,longitude_2025,distance_m,decision
CC-1-15m,CC-1,HJA_CC-1-15m_2016,HJA_CC-1_2025,44.22953478,-122.1240624,44.22972,-122.123698,35.597195513716414,confirmed_coordinate_verified
CC-2-55m,CC-2,HJA_CC-2-55m_2016,HJA_CC-2_2025,44.22971128,-122.1236088,44.230007,-122.12325,43.57213367496595,confirmed_coordinate_verified
CC-3-100m,CC-3,HJA_CC-3-100m_2016,HJA_CC-3_2025,44.23002178,-122.1230284,44.230238,-122.122745,32.98348178470213,confirmed_coordinate_verified
CC-4-250m,CC-4,HJA_CC-4-250m_2016,HJA_CC-4_2025,44.23033379,-122.1214714,44.230319,-122.121533,5.176230224099498,confirmed_coordinate_verified
KC-1-275m,KC-1,HJA_KC-1-275m_2016,HJA_KC-1_2025,44.22180935,-122.2236262,44.221599,-122.222979,56.62979453842106,confirmed_coordinate_verified
KC-2-360m,KC-2,HJA_KC-2-360m_2016,HJA_KC-2_2025,44.22120735,-122.2237972,44.221167,-122.222992,64.32157392723084,confirmed_coordinate_verified
KC-3-400m,KC-3,HJA_KC-3-400m_2016,HJA_KC-3_2025,44.2207126,-122.223791,44.220877,-122.223152,54.10295589572471,confirmed_coordinate_verified
KerryCreek2,KC-4,HJA_KerryCreek2_2016,HJA_KC-4_2025,44.22026336,-122.2238592,44.220126,-122.223296,47.408883043750365,confirmed_coordinate_verified
WS1_250m,WS1-4,HJA_WS1_250m_2016,HJA_WS1-4_2025,44.20617936,-122.2558589,44.20615,-122.25531,43.87361819493886,confirmed_coordinate_verified
WS3-1_30m,WS3-1,HJA_WS3-1_30m_2016,HJA_WS3-1_2025,44.21936128,-122.242486,44.219261,-122.242343,15.94365175324956,confirmed_coordinate_verified
