site_pair_id,site_name,site_name_2016,site_name_2025,richness_2016,richness_2025,richness_change
PAIR_001,155,155,155,1683,930,-753
PAIR_002,156,156,156,1166,284,-882
PAIR_003,162,162,162,2021,725,-1296
PAIR_004,164,164,164,2189,688,-1501
PAIR_005,165,165,165,538,922,384
PAIR_006,169,169,169,2446,184,-2262
PAIR_007,170,170,170,2239,1162,-1077
PAIR_008,177,177,177,2092,604,-1488
PAIR_009,178,178,178,2415,943,-1472
PAIR_010,190,190,190,1971,312,-1659
PAIR_011,192,192,192,2150,876,-1274
PAIR_012,45,45,45,1931,916,-1015
PAIR_013,47,47,47,1560,1071,-489
PAIR_014,49,49,49,2145,873,-1272
PAIR_015,53,53,53,2186,661,-1525
PAIR_016,54,54,54,1747,515,-1232
PAIR_017,55,55,55,1122,482,-640
PAIR_018,56,56,56,932,971,39
PAIR_019,58,58,58,1981,825,-1156
PAIR_020,60,60,60,2092,557,-1535
PAIR_021,64,64,64,3463,799,-2664
PAIR_022,65,65,65,1906,957,-949
PAIR_023,71,71,71,1449,642,-807
PAIR_024,72,72,72,1826,679,-1147
PAIR_025,73,73,73,2404,585,-1819
PAIR_026,74,74,74,1342,453,-889
PAIR_027,83,83,83,2148,1091,-1057
PAIR_028,84,84,84,1915,1248,-667
PAIR_035,CC-1,CC-1-15m,CC-1,1835,371,-1464
PAIR_036,CC-2,CC-2-55m,CC-2,3077,99,-2978
PAIR_037,CC-3,CC-3-100m,CC-3,3042,101,-2941
PAIR_038,CC-4,CC-4-250m,CC-4,1995,582,-1413
PAIR_039,KC-1,KC-1-275m,KC-1,1849,522,-1327
PAIR_040,KC-2,KC-2-360m,KC-2,1933,241,-1692
PAIR_041,KC-3,KC-3-400m,KC-3,1685,269,-1416
PAIR_042,KC-4,KerryCreek2,KC-4,1749,649,-1100
PAIR_029,WS1-2,WS1-2,WS1-2,1728,484,-1244
PAIR_030,WS1-3,WS1-3,WS1-3,1590,565,-1025
PAIR_031,WS1-5,WS1-5,WS1-5,1901,322,-1579
PAIR_043,WS1-4,WS1_250m,WS1-4,1846,775,-1071
PAIR_044,WS3-1,WS3-1_30m,WS3-1,2222,417,-1805
PAIR_032,WS3-2,WS3-2,WS3-2,1738,475,-1263
PAIR_033,WS3-3,WS3-3,WS3-3,1885,183,-1702
PAIR_034,WS3-5,WS3-5,WS3-5,955,781,-174
