site_pair_id,sample_2016,sample_2025,site_name_2016,site_name_2025,latitude_2016,longitude_2016,latitude_2025,longitude_2025,distance_m,match_type
PAIR_001,HJA_155_2016,HJA_155_2025,155,155,44.22878519,-122.1760346,44.22879,-122.176039,0.6395077079180271,exact_name
PAIR_002,HJA_156_2016,HJA_156_2025,156,156,44.22825255,-122.1718458,44.228257,-122.17185,0.5973566277666208,exact_name
PAIR_003,HJA_162_2016,HJA_162_2025,162,162,44.21002332,-122.2571249,44.210028,-122.257217,7.359092539981046,exact_name
PAIR_004,HJA_164_2016,HJA_164_2025,164,164,44.21236534,-122.245092,44.212838,-122.245457,60.07105777456744,exact_name
PAIR_005,HJA_165_2016,HJA_165_2025,165,165,44.25201265,-122.1878306,44.2522,-122.1879,21.553198147858325,exact_name
PAIR_006,HJA_169_2016,HJA_169_2025,169,169,44.27275045,-122.1398972,44.272555,-122.13991,21.756929730425252,exact_name
PAIR_007,HJA_170_2016,HJA_170_2025,170,170,44.22197789,-122.1153605,44.2225,-122.115278,58.42702023316242,exact_name
PAIR_008,HJA_177_2016,HJA_177_2025,177,177,44.26484729,-122.1755038,44.264444,-122.175278,48.314155964088016,exact_name
PAIR_009,HJA_178_2016,HJA_178_2025,178,178,44.26637031,-122.1707598,44.265833,-122.170833,60.02979220889995,exact_name
PAIR_010,HJA_190_2016,HJA_190_2025,190,190,44.23133639,-122.1964935,44.23111,-122.19589,54.27461347295857,exact_name
PAIR_011,HJA_192_2016,HJA_192_2025,192,192,44.23089143,-122.1908526,44.230631,-122.190671,32.37200648585874,exact_name
PAIR_012,HJA_45_2016,HJA_45_2025,45,45,44.23127384,-122.1738568,44.23149,-122.173402,43.4829199815852,exact_name
PAIR_013,HJA_47_2016,HJA_47_2025,47,47,44.23365731,-122.2079193,44.2345,-122.20727,107.03381099399482,exact_name
PAIR_014,HJA_49_2016,HJA_49_2025,49,49,44.23289932,-122.2075913,44.233089,-122.205658,155.46752948560973,exact_name
PAIR_015,HJA_53_2016,HJA_53_2025,53,53,44.23405862,-122.1473351,44.2341,-122.1473,5.384380243510783,exact_name
PAIR_016,HJA_54_2016,HJA_54_2025,54,54,44.22687728,-122.2261891,44.226882,-122.226194,0.6541375501173451,exact_name
PAIR_017,HJA_55_2016,HJA_55_2025,55,55,44.23087829,-122.2173842,44.231616,-122.215742,154.42914147316756,exact_name
PAIR_018,HJA_56_2016,HJA_56_2025,56,56,44.23082231,-122.2131533,44.23026,-122.21319,62.59435583256359,exact_name
PAIR_019,HJA_58_2016,HJA_58_2025,58,58,44.23662653,-122.1609969,44.236631,-122.161001,0.5947612678285509,exact_name
PAIR_020,HJA_60_2016,HJA_60_2025,60,60,44.23835454,-122.156051,44.238115,-122.156255,31.20214524284837,exact_name
PAIR_021,HJA_64_2016,HJA_64_2025,64,64,44.20769505,-122.1171345,44.2075,-122.1175,36.31956356624674,exact_name
PAIR_022,HJA_65_2016,HJA_65_2025,65,65,44.23049077,-122.1255004,44.230556,-122.125278,19.146855718780014,exact_name
PAIR_023,HJA_71_2016,HJA_71_2025,71,71,44.23243029,-122.2153483,44.23283,-122.21525,45.13047571253145,exact_name
PAIR_024,HJA_72_2016,HJA_72_2025,72,72,44.21868266,-122.1669599,44.219678,-122.167744,127.09758506745014,exact_name
PAIR_025,HJA_73_2016,HJA_73_2025,73,73,44.22128762,-122.1698279,44.22107,-122.170224,39.772745389905076,exact_name
PAIR_026,HJA_74_2016,HJA_74_2025,74,74,44.22982148,-122.1822287,44.22975,-122.18232,10.774597158099397,exact_name
PAIR_027,HJA_83_2016,HJA_83_2025,83,83,44.25719028,-122.1810227,44.223889,-122.181111,3702.9400678547936,exact_name
PAIR_028,HJA_84_2016,HJA_84_2025,84,84,44.25637336,-122.1676178,44.2558,-122.1678,65.38517734383876,exact_name
PAIR_035,HJA_CC-1-15m_2016,HJA_CC-1_2025,CC-1-15m,CC-1,44.22953478,-122.1240624,44.22972,-122.123698,35.597195513716414,coordinate_verified
PAIR_036,HJA_CC-2-55m_2016,HJA_CC-2_2025,CC-2-55m,CC-2,44.22971128,-122.1236088,44.230007,-122.12325,43.57213367496595,coordinate_verified
PAIR_037,HJA_CC-3-100m_2016,HJA_CC-3_2025,CC-3-100m,CC-3,44.23002178,-122.1230284,44.230238,-122.122745,32.98348178470213,coordinate_verified
PAIR_038,HJA_CC-4-250m_2016,HJA_CC-4_2025,CC-4-250m,CC-4,44.23033379,-122.1214714,44.230319,-122.121533,5.176230224099498,coordinate_verified
PAIR_039,HJA_KC-1-275m_2016,HJA_KC-1_2025,KC-1-275m,KC-1,44.22180935,-122.2236262,44.221599,-122.222979,56.62979453842106,coordinate_verified
PAIR_040,HJA_KC-2-360m_2016,HJA_KC-2_2025,KC-2-360m,KC-2,44.22120735,-122.2237972,44.221167,-122.222992,64.32157392723084,coordinate_verified
PAIR_041,HJA_KC-3-400m_2016,HJA_KC-3_2025,KC-3-400m,KC-3,44.2207126,-122.223791,44.220877,-122.223152,54.10295589572471,coordinate_verified
PAIR_042,HJA_KerryCreek2_2016,HJA_KC-4_2025,KerryCreek2,KC-4,44.22026336,-122.2238592,44.220126,-122.223296,47.408883043750365,coordinate_verified
PAIR_029,HJA_WS1-2_2016,HJA_WS1-2_2025,WS1-2,WS1-2,44.20673635,-122.2570909,44.2069,-122.257371,28.802556590551518,exact_name
