,Other,Lipid
HJA_155_2016,325,274
HJA_156_2016,87,225
HJA_160_2016,519,205
HJA_161_2016,56,149
HJA_162_2016,435,352
HJA_163_2016,47,194
HJA_164_2016,551,446
HJA_165_2016,94,77
HJA_169_2016,746,149
HJA_170_2016,779,203
HJA_177_2016,476,211
HJA_178_2016,588,361
HJA_190_2016,305,326
HJA_192_2016,411,474
HJA_260_2016,239,352
HJA_360_2016,293,500
HJA_45_2016,240,347
HJA_47_2016,296,263
HJA_49_2016,413,352
HJA_50_2016,84,289
HJA_53_2016,367,312
HJA_54_2016,207,344
HJA_55_2016,100,270
HJA_56_2016,48,271
HJA_57_2016,274,339
HJA_58_2016,464,322
HJA_60_2016,248,378
HJA_64_2016,1000,400
HJA_65_2016,365,234
HJA_66_2016,130,276
HJA_68_2016,308,119
HJA_71_2016,79,460
HJA_72_2016,319,261
HJA_73_2016,697,229
HJA_74_2016,152,306
HJA_76_2016,691,182
HJA_82_2016,247,227
HJA_83_2016,392,375
HJA_84_2016,448,242
HJA_CC-1-15m_2016,457,153
HJA_CC-2-55m_2016,828,219
HJA_CC-3-100m_2016,691,242
HJA_CC-4-250m_2016,597,158
HJA_KC-1-275m_2016,205,296
HJA_KC-2-360m_2016,260,317
HJA_KC-3-400m_2016,96,484
HJA_KerryCreek2_2016,184,396
HJA_WS1-2_2016,282,273
HJA_WS1-3_2016,150,378
HJA_WS1-5_2016,485,207
HJA_WS1-6_2016,466,263
HJA_WS1-7_2016,364,343
HJA_WS1-8_2016,325,272
HJA_WS1_250m_2016,335,260
HJA_WS3-1_30m_2016,438,203
HJA_WS3-2_2016,171,350
HJA_WS3-3_2016,392,281
HJA_WS3-4_2016,528,270
HJA_WS3-5_2016,65,185
HJA_WS3-6_2016,456,214
HJA_71_2025,322,320
HJA_56_2025,569,402
HJA_164_2025,430,258
HJA_54_2025,280,235
HJA_47_2025,543,543
HJA_64_2025,655,144
HJA_84_2025,702,546
HJA_WS1-2_2025,235,249
HJA_WS3-1_2025,258,159
HJA_CC-1_2025,302,69
HJA_CC-4_2025,439,143
HJA_CC-2_2025,74,25
HJA_410_2025,377,301
HJA_156_2025,137,147
HJA_49_2025,610,263
HJA_KC-4_2025,383,266
HJA_45_2025,627,289
HJA_CC-3_2025,79,22
HJA_WS3-2_2025,269,206
HJA_83_2025,577,514
HJA_177_2025,376,228
HJA_178_2025,574,369
HJA_WS1-5_2025,205,117
HJA_53_2025,420,241
HJA_WS1-3_2025,338,227
HJA_WS3-3_2025,108,75
HJA_WS3-5_2025,410,371
HJA_65_2025,600,357
HJA_43_2025,499,384
HJA_170_2025,980,182
HJA_165_2025,622,300
HJA_KC-1_2025,282,240
HJA_KC-2_2025,111,130
HJA_KC-3_2025,156,113
HJA_72_2025,502,177
HJA_73_2025,341,244
HJA_55_2025,261,221
HJA_162_2025,395,330
HJA_192_2025,511,365
HJA_WS1-4_2025,454,321
HJA_60_2025,368,189
HJA_169_2025,94,90
HJA_58_2025,588,237
HJA_155_2025,598,332
HJA_74_2025,265,188
HJA_190_2025,190,122
HJA_67_2025,221,208
