Calibrated m/z,HJW_MQ_Blk-1_p05,HJW_MQ_Blk-2_p05
229.071877870747,1100134.4,605574.8
248.113931801331,923154.8,587585.3
362.969690333,10356192,5298665
318.010960337779,690183.8,1610644.1
401.042818234762,1007817.4,1480403.8
369.126612773146,1219997.8,2120591.3
323.15747084919,1874339.6,1048520.4
266.988590930222,1225260.1,842285.4
342.97954618147,46132768,23095378
249.022786167705,1650334.6,545284.6
221.081930320459,1540939.5,532432.3
195.139108736659,720830.8,547692.6
211.134039359812,932564.6,556708.3
243.123963492764,1843586,939424
418.040463236909,3271933.8,2365917
383.14228704546,1533781.8,1900478.1
279.144662265572,739796.4,542054.9
265.148100304272,30390608,2887010.3
362.985665057305,51772900,23983596
239.12895844953,2866175.5,1730051.5
209.154753777679,1425818.4,802391.2
241.144581023992,1126916.8,1093301.6
381.079208017873,381685120,5347341.5
289.121239835,1244137.9,598807.4
396.108300492255,3080858.3,2270620.5
242.17635211364,7235690.5,5183825.5
397.157961845916,881791.7,801409.2
309.147487311,1909762.4,1082537.1
279.163580997427,5194838.5,955112.7
294.174336317435,1239441.8,760965.9
422.125677479288,5765242,888236.9
406.975317977149,12612542,4773366
317.041702017688,1627280.4,597742.9
309.101061826465,5812989.5,772580.9
409.092389888859,3101569.3,2775505
221.154807244229,2408278.5,1966330.6
253.14472050191,11626249,7693960.5
269.139661901232,10194725,3931667
319.131814716,6493076,3385867
429.118745736251,800414.4,767988.2
325.178857536,2779835,987635.9
363.968970346103,1874871.9,1434535
427.984933147712,36861340,8371540.5
301.047625307624,7755701.5,2101075
249.149648333963,1107250,1113558.8
481.162827419607,60847492,56160696
362.981829875792,4793827,2258923.5
469.976425969166,4901993,2961428.5
426.971947955156,15353012,3766358
313.047542200853,5265591,1226781.3
315.063443408401,6530466.5,1701989.1
366.122104665024,3761803.3,1169988.6
381.176451348634,1042844.7,626209.9
438.961394674446,928981,2518697.8
422.976033653145,31224118,10471547
389.015146296576,3039864.8,1017502.4
405.010130330362,13959707,4416576
529.943804244834,5401684.5,2400448.8
