Calibrated m/z,HJW_Blk-1_p05,HJW_Blk-2_p05
362.969690333,10356192,5298665
401.042818235,1007817.4,1480403.8
266.98859093,1225260.1,842285.4
342.979546181,46132768,23095378
418.040463237,3271933.8,2365917
385.149631046,1647128,768614.2
387.165299181,2524891.5,1523474.8
289.121239835,1244137.9,598807.4
309.147487311,1909762.4,1082537.1
399.165255801,1744436.1,960056
422.125138377,5765242,888236.9
401.181043744,2304743.3,1601778.1
417.175864015,1262915,1081617.9
309.101061826,5812989.5,772580.9
439.123608783,1061117.6,790742.7
319.131814716,6493076,3385867
395.170067363,1583820.4,658768.3
381.191101924,2095519.9,1026340.9
325.178857536,2779835,987635.9
397.186139177,2532229.8,1377927.4
413.180851557,2260713.3,1427058.9
429.175715373,1192363.8,1192578.9
467.164757128,2329718.3,908530.1
383.20674506,2376036.3,1421515.8
399.201648876,4922684,3159360
415.196571692,2378393,1669444.1
431.191349508,1866879.1,1402248.8
401.217402741,3023087,2402042.3
417.212116828,2345547,1606938.4
433.206995644,1243226,871575.2
363.968970346,1874871.9,1434535
427.984933148,36861340,8371540.5
479.146738897,2660934.8,1950824.6
395.20672768,1317332.5,822744.1
411.201811738,2035010.6,1367982.5
427.196442312,2351847.3,1854606.3
443.191350128,1870351.6,1033045.6
465.167971063,6370751.5,3204374
481.16282742,60847492,56160696
413.217455544,13996273,6415227
429.212077447,4004532,3073164.3
445.206986264,2162724.8,1398432.5
399.237962951,2826563.8,1557576
415.23306627,2898080.8,2245452.5
431.22802875,3555463.8,2521234.3
447.222803765,1757766.3,1055479.4
400.993244559,1027390.7,2350792.8
403.00887936,1469039.5,2607748.8
469.976425969,4901993,2961428.5
409.092208192,3101569.3,2775505
366.122104665,3761803.3,1169988.6
429.118461723,800414.4,767988.2
378.168362625,1427962,950193.2
439.196469633,983311.9,1022442.9
455.191275748,898614.1,778673.9
510.124025599,1339543.4,1015846
473.202067428,1040670.2,972281.3
425.217480345,1501992.9,1444257.3
441.212288745,1977871.1,1791776
457.207270899,1634717.4,1361993.4
475.21765735,1017639.5,884765.1
411.237927109,1533514.5,911798.8
427.232920737,2948335.5,2834583.5
443.227703203,2751001.3,2491232
459.222574019,1825812.8,1920751.1
413.253789559,1849592.8,1535875.5
429.248447522,2538684.5,2198677.5
445.243357338,2606638.5,2248107.3
461.238228154,1373341,1439139.8
422.976033653,31224118,10471547
529.943804245,5401684.5,2400448.8
371.025840099,956609.2,630471.8
373.041436926,2150272.5,750363.5
347.116881665,4233517.5,762730.3
378.122742629,13558511,1087399.5
579.025093538,6725985.5,8873651
443.133860207,2016768.5,1686852.9
459.129073663,1159671,1115599.3
501.066073826,1895631.8,1404255.9
453.212295546,1368553,879924.1
