sample_id,n_replicates,Site_ID,final_column
HJW_01,3,71,HJA_71_2025
HJW_02,3,56,HJA_56_2025
HJW_03,3,164,HJA_164_2025
HJW_04,3,54,HJA_54_2025
HJW_05,3,47,HJA_47_2025
HJW_06,3,64,HJA_64_2025
HJW_07,3,84,HJA_84_2025
HJW_08,3,WS1-2,HJA_WS1-2_2025
HJW_09,3,WS3-1,HJA_WS3-1_2025
HJW_10,3,CC-1,HJA_CC-1_2025
HJW_11,3,CC-4,HJA_CC-4_2025
HJW_12,3,CC-2,HJA_CC-2_2025
HJW_13,3,410,HJA_410_2025
HJW_14,3,156,HJA_156_2025
HJW_15,3,49,HJA_49_2025
HJW_16,3,KC-4,HJA_KC-4_2025
HJW_17,3,45,HJA_45_2025
HJW_18,3,CC-3,HJA_CC-3_2025
HJW_19,3,WS3-2,HJA_WS3-2_2025
HJW_20,3,83,HJA_83_2025
HJW_21,3,177,HJA_177_2025
HJW_22,3,178,HJA_178_2025
HJW_23,3,WS1-5,HJA_WS1-5_2025
HJW_24,3,53,HJA_53_2025
HJW_25,3,WS1-3,HJA_WS1-3_2025
HJW_26,3,WS3-3,HJA_WS3-3_2025
HJW_28,3,WS3-5,HJA_WS3-5_2025
HJW_29,3,65,HJA_65_2025
HJW_30,3,43,HJA_43_2025
HJW_31,3,170,HJA_170_2025
HJW_32,3,165,HJA_165_2025
HJW_33,3,KC-1,HJA_KC-1_2025
HJW_34,2,KC-2,HJA_KC-2_2025
HJW_35,3,KC-3,HJA_KC-3_2025
HJW_36,3,72,HJA_72_2025
HJW_37,3,73,HJA_73_2025
HJW_38,3,55,HJA_55_2025
HJW_39,3,162,HJA_162_2025
HJW_40,3,192,HJA_192_2025
HJW_41,3,WS1-4,HJA_WS1-4_2025
HJW_42,3,60,HJA_60_2025
HJW_43,2,169,HJA_169_2025
HJW_44,3,58,HJA_58_2025
HJW_45,3,155,HJA_155_2025
HJW_46,3,74,HJA_74_2025
HJW_47,3,190,HJA_190_2025
HJW_48,3,67,HJA_67_2025
