Calibrated m/z,Molecular Formula,MolForm,molecular_formula_clean,molform_clean,exact_match,whitespace_normalized_match
238.027674916,C10H10O4N1P1,C10H10O4NP,C10H10O4N1P1,C10H10O4NP,FALSE,FALSE
349.956625031,C10H10O7N1P1S2,C10H10O7NS2P,C10H10O7N1P1S2,C10H10O7NS2P,FALSE,FALSE
332.995398191,C10H11O7N2P1S1,C10H11O7N2SP,C10H11O7N2P1S1,C10H11O7N2SP,FALSE,FALSE
272.032802701,C10H12O6N1P1,C10H12O6NP,C10H12O6N1P1,C10H12O6NP,FALSE,FALSE
335.994605594,C10H12O8N1P1S1,C10H12O8NSP,C10H12O8N1P1S1,C10H12O8NSP,FALSE,FALSE
255.054135368,C10H13O4N2P1,C10H13O4N2P,C10H13O4N2P1,C10H13O4N2P,FALSE,FALSE
227.047776025,C10H13O4P1,C10H13O4P,C10H13O4P1,C10H13O4P,FALSE,FALSE
271.049002262,C10H13O5N2P1,C10H13O5N2P,C10H13O5N2P1,C10H13O5N2P,FALSE,FALSE
319.033966376,C10H13O8N2P1,C10H13O8N2P,C10H13O8N2P1,C10H13O8N2P,FALSE,FALSE
363.035019275,C10H13O9N4P1,C10H13O9N4P,C10H13O9N4P1,C10H13O9N4P,FALSE,FALSE
337.992627229,C10H14O6N1P1S2,C10H14O6NS2P,C10H14O6N1P1S2,C10H14O6NS2P,FALSE,FALSE
369.982208717,C10H14O8N1P1S2,C10H14O8NS2P,C10H14O8N1P1S2,C10H14O8NS2P,FALSE,FALSE
257.069860643,C10H15O4N2P1,C10H15O4N2P,C10H15O4N2P1,C10H15O4N2P,FALSE,FALSE
317.065870766,C10H15O6N4P1,C10H15O6N4P,C10H15O6N4P1,C10H15O6N4P,FALSE,FALSE
305.054598783,C10H15O7N2P1,C10H15O7N2P,C10H15O7N2P1,C10H15O7N2P,FALSE,FALSE
277.048436628,C10H15O7P1,C10H15O7P,C10H15O7P1,C10H15O7P,FALSE,FALSE
353.02161291,C10H15O8N2P1S1,C10H15O8N2SP,C10H15O8N2P1S1,C10H15O8N2SP,FALSE,FALSE
349.055270985,C10H15O8N4P1,C10H15O8N4P,C10H15O8N4P1,C10H15O8N4P,FALSE,FALSE
293.043462771,C10H15O8P1,C10H15O8P,C10H15O8P1,C10H15O8P,FALSE,FALSE
337.044484182,C10H15O9N2P1,C10H15O9N2P,C10H15O9N2P1,C10H15O9N2P,FALSE,FALSE
320.065508644,C10H16O7N3P1,C10H16O7N3P,C10H16O7N3P1,C10H16O7N3P,FALSE,FALSE
247.074274039,C10H17O5P1,C10H17O5P,C10H17O5P1,C10H17O5P,FALSE,FALSE
263.069152687,C10H17O6P1,C10H17O6P,C10H17O6P1,C10H17O6P,FALSE,FALSE
307.070292577,C10H17O7N2P1,C10H17O7N2P,C10H17O7N2P1,C10H17O7N2P,FALSE,FALSE
279.064152221,C10H17O7P1,C10H17O7P,C10H17O7P1,C10H17O7P,FALSE,FALSE
295.059110065,C10H17O8P1,C10H17O8P,C10H17O8P1,C10H17O8P,FALSE,FALSE
339.060106107,C10H17O9N2P1,C10H17O9N2P,C10H17O9N2P1,C10H17O9N2P,FALSE,FALSE
