Calibrated m/z,HJA_155_p1.corems,HJA_156_p1.corems,HJA_160_p1.corems,HJA_161_p1.corems,HJA_162_p1.corems,HJA_163_p1.corems,HJA_164_p1.corems,HJA_165_p1.corems,HJA_169_p1.corems,HJA_170_p1.corems,HJA_177_p1.corems,HJA_178_p1.corems,HJA_190_p1.corems,HJA_192_p1.corems,HJA_260_p1.corems,HJA_360_p1.corems,HJA_45_p1.corems,HJA_47_p1.corems,HJA_49_p1.corems,HJA_50_p1.corems,HJA_53_p1.corems,HJA_54_p1.corems,HJA_55_p1.corems,HJA_56_p1.corems,HJA_57_p1.corems,HJA_58_p1.corems,HJA_60_p1.corems,HJA_64_p1.corems,HJA_65_p1.corems,HJA_66_p1.corems,HJA_68_p1.corems,HJA_71_p1.corems,HJA_72_p1.corems,HJA_73_p1.corems,HJA_74_p1.corems,HJA_76_p1.corems,HJA_82_p1.corems,HJA_83_p1.corems,HJA_84_p1.corems,HJA_CC-1-15m_p1.corems,HJA_CC-2-55m_p1.corems,HJA_CC-3-100m_p1.corems,HJA_CC-4-250m_p1.corems,HJA_KC-1-275m_p1.corems,HJA_KC-2-360m_p1.corems,HJA_KC-3-400m_p1.corems,HJA_KerryCreek2_p1.corems,HJA_WS1-2_p1.corems,HJA_WS1-3_p1.corems,HJA_WS1-5_p1.corems,HJA_WS1-6_p1.corems,HJA_WS1-7_p1.corems,HJA_WS1-8_p1.corems,HJA_WS1_250m_p1.corems,HJA_WS3-1_30m_p1.corems,HJA_WS3-2_p1.corems,HJA_WS3-3_p1.corems,HJA_WS3-4_p1.corems,HJA_WS3-5_p1.corems,HJA_WS3-6_p1.corems,HJW_01_SIR-1_p08.corems,HJW_01_SIR-2_p14.corems,HJW_01_SIR-3_p06.corems,HJW_02_SIR-1_p12.corems,HJW_02_SIR-2_p08.corems,HJW_02_SIR-3_p05.corems,HJW_03_SIR-1_p15.corems,HJW_03_SIR-2_p06.corems,HJW_03_SIR-3_p08.corems,HJW_04_SIR-1_p16.corems,HJW_04_SIR-2_p08.corems,HJW_04_SIR-3_p06.corems,HJW_05_SIR-1_p1.corems,HJW_05_SIR-2_p1.corems,HJW_05_SIR-3_p15.corems,HJW_06_SIR-1_p35.corems,HJW_06_SIR-2_p12.corems,HJW_06_SIR-3_p12.corems,HJW_07_SIR-1_p13.corems,HJW_07_SIR-2_p1.corems,HJW_07_SIR-3_p1.corems,HJW_08_SIR-1_p06.corems,HJW_08_SIR-2_p14.corems,HJW_08_SIR-3_p2.corems,HJW_09_SIR-1_p1.corems,HJW_09_SIR-2_p12.corems,HJW_09_SIR-3_p1.corems,HJW_10_SIR-1_p1.corems,HJW_10_SIR-2_p15.corems,HJW_10_SIR-3_p12.corems,HJW_11_SIR-1_p18.corems,HJW_11_SIR-2_p08.corems,HJW_11_SIR-3_p2.corems,HJW_12_SIR-1_p1.corems,HJW_12_SIR-2_p18.corems,HJW_12_SIR-3_p18.corems,HJW_13_SIR-1_p2.corems,HJW_13_SIR-2_p18.corems,HJW_13_SIR-3_p12.corems,HJW_14_SIR-1_p08.corems,HJW_14_SIR-2_p12.corems,HJW_14_SIR-3_p15.corems,HJW_15_SIR-1_p2.corems,HJW_15_SIR-2_p16.corems,HJW_15_SIR-3_p2.corems,HJW_16_SIR-1_p1.corems,HJW_16_SIR-2_p1.corems,HJW_16_SIR-3_p13.corems,HJW_17_SIR-1_p12.corems,HJW_17_SIR-2_p2.corems,HJW_17_SIR-3_p12.corems,HJW_18_SIR-1_p3.corems,HJW_18_SIR-2_p08.corems,HJW_18_SIR-3_p14.corems,HJW_19_SIR-1_p12.corems,HJW_19_SIR-2_p14.corems,HJW_19_SIR-3_p1.corems,HJW_20_SIR-1_p1.corems,HJW_20_SIR-2_p12.corems,HJW_20_SIR-3_p08.corems,HJW_21_SIR-1_p12.corems,HJW_21_SIR-2_p2.corems,HJW_21_SIR-3_p12.corems,HJW_22_SIR-1_p08.corems,HJW_22_SIR-2_p12.corems,HJW_22_SIR-3_p1.corems,HJW_23_SIR-1_p1.corems,HJW_23_SIR-2_p1.corems,HJW_23_SIR-3_p2.corems,HJW_24_SIR-1_p06.corems,HJW_24_SIR-2_p12.corems,HJW_24_SIR-3_p18.corems,HJW_25_SIR-1_p12.corems,HJW_25_SIR-2_p12.corems,HJW_25_SIR-3_p16.corems,HJW_26_SIR-1_p06.corems,HJW_26_SIR-2_p1.corems,HJW_26_SIR-3_p2.corems,HJW_28_SIR-1_p12.corems,HJW_28_SIR-2_p12.corems,HJW_28_SIR-3_p06.corems,HJW_29_SIR-1_p1.corems,HJW_29_SIR-2_p08.corems,HJW_29_SIR-3_p12.corems,HJW_30_SIR-1_p06.corems,HJW_30_SIR-2_p14.corems,HJW_30_SIR-3_p16.corems,HJW_31_SIR-1_p08.corems,HJW_31_SIR-2_p1.corems,HJW_31_SIR-3_p1.corems,HJW_32_SIR-1_p16.corems,HJW_32_SIR-2_p1.corems,HJW_32_SIR-3_p12.corems,HJW_33_SIR-1_p08.corems,HJW_33_SIR-2_p12.corems,HJW_33_SIR-3_p12.corems,HJW_34_SIR-1_p12.corems,HJW_34_SIR-2_p1.corems,HJW_35_SIR-1_p14.corems,HJW_35_SIR-2_p14.corems,HJW_35_SIR-3_p1.corems,HJW_36_SIR-1_p2.corems,HJW_36_SIR-2_p18.corems,HJW_36_SIR-3_p15.corems,HJW_37_SIR-1_p08.corems,HJW_37_SIR-2_p1.corems,HJW_37_SIR-3_p1.corems,HJW_38_SIR-1_p12.corems,HJW_38_SIR-2_p08.corems,HJW_38_SIR-3_p1.corems,HJW_39_SIR-1_p1.corems,HJW_39_SIR-2_p04.corems,HJW_39_SIR-3_p12.corems,HJW_40_SIR-1_p08.corems,HJW_40_SIR-2_p1.corems,HJW_40_SIR-3_p13.corems,HJW_41_SIR-1_p15.corems,HJW_41_SIR-2_p12.corems,HJW_41_SIR-3_p1.corems,HJW_42_SIR-1_p06.corems,HJW_42_SIR-2_p12.corems,HJW_42_SIR-3_p12.corems,HJW_43_SIR-1_p06.corems,HJW_43_SIR-3_p14.corems,HJW_44_SIR-1_p3.corems,HJW_44_SIR-2_p08.corems,HJW_44_SIR-3_p14.corems,HJW_45_SIR-1_p12.corems,HJW_45_SIR-2_p1.corems,HJW_45_SIR-3_p1.corems,HJW_46_SIR-1_p08.corems,HJW_46_SIR-2_p1.corems,HJW_46_SIR-3_p13.corems,HJW_47_SIR-1_p12.corems,HJW_47_SIR-2_p16.corems,HJW_47_SIR-3_p1.corems,HJW_48_SIR-1_p15.corems,HJW_48_SIR-2_p13.corems,HJW_48_SIR-3_p16.corems,HJW_Blk-1_p05.corems,HJW_Blk-2_p05.corems
238.027674916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176318.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349.956625031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765057.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332.995398191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721815.6,0,0,0,0,867211.8,0,0,0,0,0
272.032802701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3354382.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335.994605594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947548.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255.054135368,0,0,0,0,0,0,5498632.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266375,0,0,0,0,0,0,0,0,0,0,0,0,0,4397620.5,0,1825732.5,0,0,0,0,0,0,0,0,0,0,6797383,1721357.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808415.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227.047776025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157737.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271.049002262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611285.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319.033966376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300300.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685205.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777615.4,0,0,0,0,0,1271438.1,771672.3,875829.5,0,0,0,0,1853822,0,0,0,0,0,0,0,0,0,0,0,927244.3,0,0,0,785310.9,0,0,970212.1,1110880.3,0,0,609350.6,0,0,0,0,0,0,1403613.8,0,889846.1,588334.7,590000.2,0,0,0,0,0,0,0,0,0,0,1175786.4,0,846044.8,0,0,633072,0,0,733962.6,0,0,0,0,0,0,0,692948.1,0,0,0,0,0,0,0,0,0,1025481.9,1199436.4,0,0,0,0,0,0,903345,613090,0,606485.4,0,0,0,0
363.035019275,0,0,0,0,0,0,0,0,0,0,0,5596713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
