Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm),MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
238.027674916,10,10,4,1,-9999,1,C10H10O4N1P1,0,N1 P1 O4,238.027468351,0.867820181,C10H10O4NP,0.999700089973008,0.999700149925038,7,3,10000,57066,237.761891087748,0.238108912251676,-2000.2,0.4,1,0.1,0.1,1,Lignin,Lignin,Phytochemical,57066,16896.4058906594,-0.0995111889931335,-0.099358814943496,570660,168964.058906594
349.956625031,10,10,7,1,2,1,C10H10O7N1P1S2,0,N1 S2 P1 O7,349.956354559,0.772875963,C10H10O7NS2P,0,0,7,0,-4,43.2,349.565860337123,0.434139662876873,0.6,0.7,1,0.1,0.1,1,Tannin,Tannin,Phytochemical,43.2,-144.583063769545,0.123315729873717,0.100722501220518,432,-1445.83063769545
332.995398191,10,11,7,2,1,1,C10H11O7N2P1S1,0,N2 S1 P1 O7,332.995182421,0.647969013,C10H11O7N2SP,0,0,7,0,-4,43.2,332.623572554537,0.376427445462753,0.6,0.7,1.1,0.2,0.1,2,Tannin,Tannin,Other,43.2,-136.592295098501,0.123315729873717,0.105009305453483,432,-1365.92295098501
272.032802701,10,12,6,1,-9999,1,C10H12O6N1P1,0,N1 P1 O6,272.032947655,-0.532854354,C10H12O6NP,0.999600039996,0.999600159936026,6,0,9997,57060.3,271.729048443276,0.270951556724128,-2000,0.6,1.2,0.1,0.1,1,Lignin,Lignin,Phytochemical,57060.3,16898.6966593304,-0.0995111402234693,-0.0993587338348763,570603,168986.966593304
335.994605594,10,12,8,1,1,1,C10H12O8N1P1S1,0,N1 S1 P1 O8,335.994848068,-0.721660724,C10H12O8NSP,0,0,6,-2,-5,48.9,335.619431015757,0.380568984242643,0.4,0.8,1.2,0.1,0.1,1,Tannin,Tannin,Phytochemical,48.9,-142.878448105068,0.11833913086197,0.100031611562308,489,-1428.78448105068
255.054135368,10,13,4,2,-9999,1,C10H13O4N2P1,0,N2 P1 O4,255.054017452,0.462315448,C10H13O4N2P,0.999600079984003,0.999600159936026,6,2,9998,57066,254.7693396419,0.230660358099698,-2000.2,0.4,1.3,0.2,0.1,2,Lignin,Lignin,Protein,57066,16900.4012749949,-0.0995111889931335,-0.099358797749131,570660,169004.012749949
227.047776025,10,13,4,-9999,-9999,1,C10H13O4P1,0,P1 O4,227.047869443,-0.411446901,C10H13O4P,0.749812528120782,0.749837540614846,-4994.5,-4998.5,14998.5,142574.55,226.79425244994,0.205747550060124,-5000.5,0.4,1.3,-999.9,0.1,-9999,Lignin,Lignin,Phytochemical,142574.55,-57422.4036832368,-0.0998042078099647,-0.0997974508591584,1425745.5,-574224.036832368
271.049002262,10,13,5,2,-9999,1,C10H13O5N2P1,0,N2 P1 O5,271.048932072,0.258956783,C10H13O5N2P,0.999600039996,0.999600139951017,6,1,9997,57060.3,270.746346524635,0.25365347536507,-2000,0.5,1.3,0.2,0.1,2,Lignin,Lignin,Protein,57060.3,16902.692043666,-0.0995111402234693,-0.0993587166361608,570603,169026.92043666
319.033966376,10,13,8,2,-9999,1,C10H13O8N2P1,0,N2 P1 O8,319.033675931,0.910389916,C10H13O8N2P,0.999599919983997,0.999600079984003,6,-2,9994,57043.2,318.677730199028,0.322269800972492,-1999.4,0.8,1.3,0.2,0.1,2,Tannin,Tannin,Other,57043.2,16909.5643496791,-0.0995109938560693,-0.0993584731740728,570432,169095.643496791
363.035019275,10,13,9,4,-9999,1,C10H13O9N4P1,0,N4 P1 O9,363.034738559,0.773247132,C10H13O9N4P,0.999699849924963,0.99969998499925,7,-2,9992,57020.4,362.629651129273,0.370348870726673,-1998.6,0.9,1.3,0.4,0.1,4,Tannin,Tannin,Protein,57020.4,16926.7181930343,-0.0995107985631424,-0.0993581138090451,570204,169267.181930343
337.992627229,10,14,6,1,2,1,C10H14O6N1P1S2,0,N1 S2 P1 O6,337.992740068,-0.333850307,C10H14O6NS2P,0,0,5,-1,-5,60.3,337.61522164195,0.3847783580498,0,0.6,1.4,0.1,0.1,1,Lignin;Amino Sugar,Lignin,Lipid,60.3,-151.455369782679,0.115696286540446,0.0929782735020542,603,-1514.55369782679
369.982208717,10,14,8,1,2,1,C10H14O8N1P1S2,0,N1 S2 P1 O8,369.982569307,-0.974613782,C10H14O8NS2P,0,0,5,-3,-7,48.9,369.569083277479,0.430916722520919,0.4,0.8,1.4,0.1,0.1,1,Other,Tannin,Other,48.9,-146.87383244059,0.11833913086197,0.0980853534675531,489,-1468.7383244059
257.069860643,10,15,4,2,-9999,1,C10H15O4N2P1,0,N2 P1 O4,257.069667517,0.751260469,C10H15O4N2P,0.999500099980004,0.999500199920032,5,1,9997,57071.7,256.782814140051,0.217185859949382,-2000.4,0.4,1.5,0.2,0.1,2,Protein,Protein,Protein,57071.7,16898.1105063239,-0.0995112377530679,-0.0993588788415845,570717,168981.105063239
317.065870766,10,15,6,4,-9999,1,C10H15O6N4P1,0,N4 P1 O6,317.065644765,0.712790374,C10H15O6N4P,0.999599919983997,0.999600039996,6,0,9994,57043.2,316.711832182168,0.288167817832232,-1999.4,0.6,1.5,0.4,0.1,4,Amino Sugar,Amino Sugar,Protein,57043.2,16917.5551183501,-0.0995109938560693,-0.0993584387477484,570432,169175.551183501
