original_column,parent_sample,final_column,year,n_technical_replicates
HJA_155_p1,HJA_155,HJA_155_2016,2016,1
HJA_156_p1,HJA_156,HJA_156_2016,2016,1
HJA_160_p1,HJA_160,HJA_160_2016,2016,1
HJA_161_p1,HJA_161,HJA_161_2016,2016,1
HJA_162_p1,HJA_162,HJA_162_2016,2016,1
HJA_163_p1,HJA_163,HJA_163_2016,2016,1
HJA_164_p1,HJA_164,HJA_164_2016,2016,1
HJA_165_p1,HJA_165,HJA_165_2016,2016,1
HJA_169_p1,HJA_169,HJA_169_2016,2016,1
HJA_170_p1,HJA_170,HJA_170_2016,2016,1
HJA_177_p1,HJA_177,HJA_177_2016,2016,1
HJA_178_p1,HJA_178,HJA_178_2016,2016,1
HJA_190_p1,HJA_190,HJA_190_2016,2016,1
HJA_192_p1,HJA_192,HJA_192_2016,2016,1
HJA_260_p1,HJA_260,HJA_260_2016,2016,1
HJA_360_p1,HJA_360,HJA_360_2016,2016,1
HJA_45_p1,HJA_45,HJA_45_2016,2016,1
HJA_47_p1,HJA_47,HJA_47_2016,2016,1
HJA_49_p1,HJA_49,HJA_49_2016,2016,1
HJA_50_p1,HJA_50,HJA_50_2016,2016,1
HJA_53_p1,HJA_53,HJA_53_2016,2016,1
HJA_54_p1,HJA_54,HJA_54_2016,2016,1
HJA_55_p1,HJA_55,HJA_55_2016,2016,1
HJA_56_p1,HJA_56,HJA_56_2016,2016,1
HJA_57_p1,HJA_57,HJA_57_2016,2016,1
HJA_58_p1,HJA_58,HJA_58_2016,2016,1
HJA_60_p1,HJA_60,HJA_60_2016,2016,1
HJA_64_p1,HJA_64,HJA_64_2016,2016,1
HJA_65_p1,HJA_65,HJA_65_2016,2016,1
HJA_66_p1,HJA_66,HJA_66_2016,2016,1
HJA_68_p1,HJA_68,HJA_68_2016,2016,1
HJA_71_p1,HJA_71,HJA_71_2016,2016,1
HJA_72_p1,HJA_72,HJA_72_2016,2016,1
HJA_73_p1,HJA_73,HJA_73_2016,2016,1
HJA_74_p1,HJA_74,HJA_74_2016,2016,1
HJA_76_p1,HJA_76,HJA_76_2016,2016,1
HJA_82_p1,HJA_82,HJA_82_2016,2016,1
HJA_83_p1,HJA_83,HJA_83_2016,2016,1
HJA_84_p1,HJA_84,HJA_84_2016,2016,1
HJA_CC-1-15m_p1,HJA_CC-1-15m,HJA_CC-1-15m_2016,2016,1
HJA_CC-2-55m_p1,HJA_CC-2-55m,HJA_CC-2-55m_2016,2016,1
HJA_CC-3-100m_p1,HJA_CC-3-100m,HJA_CC-3-100m_2016,2016,1
HJA_CC-4-250m_p1,HJA_CC-4-250m,HJA_CC-4-250m_2016,2016,1
HJA_KC-1-275m_p1,HJA_KC-1-275m,HJA_KC-1-275m_2016,2016,1
HJA_KC-2-360m_p1,HJA_KC-2-360m,HJA_KC-2-360m_2016,2016,1
HJA_KC-3-400m_p1,HJA_KC-3-400m,HJA_KC-3-400m_2016,2016,1
HJA_KerryCreek2_p1,HJA_KerryCreek2,HJA_KerryCreek2_2016,2016,1
HJA_WS1-2_p1,HJA_WS1-2,HJA_WS1-2_2016,2016,1
HJA_WS1-3_p1,HJA_WS1-3,HJA_WS1-3_2016,2016,1
HJA_WS1-5_p1,HJA_WS1-5,HJA_WS1-5_2016,2016,1
HJA_WS1-6_p1,HJA_WS1-6,HJA_WS1-6_2016,2016,1
HJA_WS1-7_p1,HJA_WS1-7,HJA_WS1-7_2016,2016,1
HJA_WS1-8_p1,HJA_WS1-8,HJA_WS1-8_2016,2016,1
HJA_WS1_250m_p1,HJA_WS1_250m,HJA_WS1_250m_2016,2016,1
HJA_WS3-1_30m_p1,HJA_WS3-1_30m,HJA_WS3-1_30m_2016,2016,1
HJA_WS3-2_p1,HJA_WS3-2,HJA_WS3-2_2016,2016,1
HJA_WS3-3_p1,HJA_WS3-3,HJA_WS3-3_2016,2016,1
HJA_WS3-4_p1,HJA_WS3-4,HJA_WS3-4_2016,2016,1
HJA_WS3-5_p1,HJA_WS3-5,HJA_WS3-5_2016,2016,1
HJA_WS3-6_p1,HJA_WS3-6,HJA_WS3-6_2016,2016,1
HJW_01_SIR-1_p08,HJW_01,HJA_71_2025,2025,3
HJW_01_SIR-2_p14,HJW_01,HJA_71_2025,2025,3
HJW_01_SIR-3_p06,HJW_01,HJA_71_2025,2025,3
HJW_02_SIR-1_p12,HJW_02,HJA_56_2025,2025,3
HJW_02_SIR-2_p08,HJW_02,HJA_56_2025,2025,3
HJW_02_SIR-3_p05,HJW_02,HJA_56_2025,2025,3
HJW_03_SIR-1_p15,HJW_03,HJA_164_2025,2025,3
HJW_03_SIR-2_p06,HJW_03,HJA_164_2025,2025,3
HJW_03_SIR-3_p08,HJW_03,HJA_164_2025,2025,3
HJW_04_SIR-1_p16,HJW_04,HJA_54_2025,2025,3
HJW_04_SIR-2_p08,HJW_04,HJA_54_2025,2025,3
HJW_04_SIR-3_p06,HJW_04,HJA_54_2025,2025,3
HJW_05_SIR-1_p1,HJW_05,HJA_47_2025,2025,3
HJW_05_SIR-2_p1,HJW_05,HJA_47_2025,2025,3
HJW_05_SIR-3_p15,HJW_05,HJA_47_2025,2025,3
HJW_06_SIR-1_p35,HJW_06,HJA_64_2025,2025,3
HJW_06_SIR-2_p12,HJW_06,HJA_64_2025,2025,3
HJW_06_SIR-3_p12,HJW_06,HJA_64_2025,2025,3
HJW_07_SIR-1_p13,HJW_07,HJA_84_2025,2025,3
HJW_07_SIR-2_p1,HJW_07,HJA_84_2025,2025,3
HJW_07_SIR-3_p1,HJW_07,HJA_84_2025,2025,3
HJW_08_SIR-1_p06,HJW_08,HJA_WS1-2_2025,2025,3
HJW_08_SIR-2_p14,HJW_08,HJA_WS1-2_2025,2025,3
HJW_08_SIR-3_p2,HJW_08,HJA_WS1-2_2025,2025,3
HJW_09_SIR-1_p1,HJW_09,HJA_WS3-1_2025,2025,3
HJW_09_SIR-2_p12,HJW_09,HJA_WS3-1_2025,2025,3
HJW_09_SIR-3_p1,HJW_09,HJA_WS3-1_2025,2025,3
HJW_10_SIR-1_p1,HJW_10,HJA_CC-1_2025,2025,3
HJW_10_SIR-2_p15,HJW_10,HJA_CC-1_2025,2025,3
HJW_10_SIR-3_p12,HJW_10,HJA_CC-1_2025,2025,3
HJW_11_SIR-1_p18,HJW_11,HJA_CC-4_2025,2025,3
HJW_11_SIR-2_p08,HJW_11,HJA_CC-4_2025,2025,3
HJW_11_SIR-3_p2,HJW_11,HJA_CC-4_2025,2025,3
HJW_12_SIR-1_p1,HJW_12,HJA_CC-2_2025,2025,3
HJW_12_SIR-2_p18,HJW_12,HJA_CC-2_2025,2025,3
HJW_12_SIR-3_p18,HJW_12,HJA_CC-2_2025,2025,3
HJW_13_SIR-1_p2,HJW_13,HJA_410_2025,2025,3
HJW_13_SIR-2_p18,HJW_13,HJA_410_2025,2025,3
HJW_13_SIR-3_p12,HJW_13,HJA_410_2025,2025,3
HJW_14_SIR-1_p08,HJW_14,HJA_156_2025,2025,3
HJW_14_SIR-2_p12,HJW_14,HJA_156_2025,2025,3
HJW_14_SIR-3_p15,HJW_14,HJA_156_2025,2025,3
HJW_15_SIR-1_p2,HJW_15,HJA_49_2025,2025,3
HJW_15_SIR-2_p16,HJW_15,HJA_49_2025,2025,3
HJW_15_SIR-3_p2,HJW_15,HJA_49_2025,2025,3
HJW_16_SIR-1_p1,HJW_16,HJA_KC-4_2025,2025,3
HJW_16_SIR-2_p1,HJW_16,HJA_KC-4_2025,2025,3
HJW_16_SIR-3_p13,HJW_16,HJA_KC-4_2025,2025,3
HJW_17_SIR-1_p12,HJW_17,HJA_45_2025,2025,3
HJW_17_SIR-2_p2,HJW_17,HJA_45_2025,2025,3
HJW_17_SIR-3_p12,HJW_17,HJA_45_2025,2025,3
HJW_18_SIR-1_p3,HJW_18,HJA_CC-3_2025,2025,3
HJW_18_SIR-2_p08,HJW_18,HJA_CC-3_2025,2025,3
HJW_18_SIR-3_p14,HJW_18,HJA_CC-3_2025,2025,3
HJW_19_SIR-1_p12,HJW_19,HJA_WS3-2_2025,2025,3
HJW_19_SIR-2_p14,HJW_19,HJA_WS3-2_2025,2025,3
