Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm)
209.009908537692,10,10,1,NA,2,NA,C10H10O1S2,0,S2 O1,209.010030838349,-0.585142526705171
221.038832057889,10,10,2,2,1,NA,C10H10O2N2S1,0,N2 S1 O2,221.039022292379,-0.860637584469234
217.073106440095,10,10,2,4,NA,NA,C10H10O2N4,0,N4 O2,217.073099126839,0.0336902930965684
225.004819608197,10,10,2,NA,2,NA,C10H10O2S2,0,S2 O2,225.004945457919,-0.559319803006894
238.027674916,10,10,4,1,-9999,1,C10H10O4N1P1,0,N1 P1 O4,238.027468351,0.867820181
209.045561523638,10,10,5,NA,NA,NA,C10H10O5,0,O5,209.045546967829,0.0696298439011806
237.051709897933,10,10,5,2,NA,NA,C10H10O5N2,0,N2 O5,237.051694976689,0.0629451053634317
300.995928100681,10,10,5,2,2,NA,C10H10O5N2S2,0,N2 S2 O5,300.995837325489,0.301582882098984
265.05785060501,10,10,5,4,NA,NA,C10H10O5N4,0,N4 O5,265.057842985549,0.0287464076403843
241.01757732761,10,10,5,NA,1,NA,C10H10O5S1,0,S1 O5,241.017618142229,-0.16934288544307
281.052798986626,10,10,6,4,NA,NA,C10H10O6N4,0,N4 O6,281.052757605119,0.147237504296318
349.956625031473,10,10,7,1,2,1,C10H10O7N1P1S2,0,N1 S2 P1 O7,349.956354558619,0.772875962677203
320.974601847095,10,10,8,NA,2,NA,C10H10O8S2,0,S2 O8,320.974433175339,0.525499037741224
273.025266219482,10,10,9,NA,NA,NA,C10H10O9,0,O9,273.025205446109,0.222592536184487
333.003368018438,10,10,9,2,1,NA,C10H10O9N2S1,0,N2 S1 O9,333.003424629369,-0.170001047595294
364.975749321233,10,10,9,2,2,NA,C10H10O9N2S2,0,N2 S2 O9,364.975495803769,0.694615028098627
336.969411967738,10,10,9,NA,2,NA,C10H10O9S2,0,S2 O9,336.969347794909,0.190441145062282
332.995398191439,10,11,7,2,1,1,C10H11O7N2P1S1,0,N2 S1 P1 O7,332.995182420879,0.647969013184073
332.019628456459,10,11,8,3,1,NA,C10H11O8N3S1,0,N3 S1 O8,332.019409046459,0.660834861775244
