Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm),MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
209.009908538,10,10,1,0,2,0,C10H10O1S2,0,S2 O1,209.010030838,-0.585142527,C10H10OS2,0.428571428571429,0.466666666666667,6,5,3,71.7,208.776526206919,0.223473793081325,-0.4,0.1,1,0,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other,71.7,-152.041522789246,0.0971772361292719,0.0850562382875128,717,-1520.41522789246
221.038832058,10,10,2,2,1,0,C10H10O2N2S1,0,N2 S1 O2,221.039022292,-0.860637584,C10H10O2N2S,0.4,0.5,7,5,2,54.6,220.792018123455,0.207981876545148,0.2,0.2,1,0.2,0,Inf,Other,Lignin,Protein,54.6,-133.183063769545,0.117093485793403,0.102852204446593,546,-1331.83063769545
217.07310644,10,10,2,4,0,0,C10H10O2N4,0,N4 O2,217.073099127,0.033690293,C10H10O2N4,0.5,0.6,8,6,2,43.2,216.830720670108,0.169279329891936,0.6,0.2,1,0.4,0,Inf,Other,Lignin,Protein,43.2,-116.61537342089,0.123315729873717,0.116479335988808,432,-1166.1537342089
193.032877799,10,10,2,0,1,0,C10H10O2S1,0,S1 O2,193.032874284,0.018211929,C10H10O2S,0.428571428571429,0.5,6,4,3,71.7,192.817335563174,0.182664436825974,-0.4,0.2,1,0,0,NA,Other,Lignin,Other,71.7,-148.046138453723,0.0971772361292719,0.0864996474519725,717,-1480.46138453723
225.004819608,10,10,2,0,2,0,C10H10O2S2,0,S2 O2,225.004945458,-0.559319803,C10H10O2S2,0.333333333333333,0.428571428571429,6,4,2,66,224.753577216326,0.246422783673978,-0.2,0.2,1,0,0,NA,Other,Lignin,Other,66,-149.750754118201,0.114076154533263,0.0920676127235836,660,-1497.50754118201
177.055710762,10,10,3,0,0,0,C10H10O3,0,O3,177.055717729,-0.039348804,C10H10O3,0.428571428571429,0.529411764705882,6,3,3,71.7,176.858008773621,0.141991226379105,-0.4,0.3,1,0,0,NA,Lignin,Lignin,Other,71.7,-144.050754118201,0.0971772361292719,0.0879657503467777,717,-1440.50754118201
193.050682627,10,10,4,0,0,0,C10H10O4,0,O4,193.050632348,0.260445205,C10H10O4,0.333333333333333,0.5,6,2,2,66,192.835120510144,0.16487948985602,-0.2,0.4,1,0,0,NA,Lignin,Lignin,Other,66,-141.759985447157,0.114076154533263,0.0959325659567617,660,-1417.59985447157
238.027674916,10,10,4,1,0,1,C10H10O4N1P1,0,N1 P1 O4,238.027468351,0.867820181,C10H10O4NP,0.25,0.5,7,3,1,71.7,237.761891087748,0.238108912251676,-0.4,0.4,1,0.1,0.1,1,Lignin,Lignin,Phytochemical,71.7,-148.046138453723,0.0971772361292719,0.0864996474519725,717,-1480.46138453723
209.045575833,10,10,5,0,0,0,C10H10O5,0,O5,209.045546968,0.138079375,C10H10O5,0.2,0.466666666666667,6,1,1,60.3,208.812153675498,0.18784632450155,0,0.5,1,0,0,NA,Lignin,Lignin,Other,60.3,-139.469216776112,0.115696286540446,0.0980212625492825,603,-1394.69216776112
237.051835447,10,10,5,2,0,0,C10H10O5N2,0,N2 O5,237.051694977,0.592572513,C10H10O5N2,0,0.454545454545455,7,2,0,43.2,236.787141249817,0.212858750182846,0.6,0.5,1,0.2,0,Inf,Lignin,Lignin,Protein,43.2,-124.606142091934,0.123315729873717,0.111755883346236,432,-1246.06142091934
