,Unsat Hydrocarbon,Other,Lignin,Tannin,Lignin;Amino Sugar,Amino Sugar,Protein,Carbohydrate;Amino Sugar,Carbohydrate,Lipid,Lipid;Protein,Cond Hydrocarbon,Tannin;Cond Hydrocarbon,Protein;Amino Sugar,Unsat Hydrocarbon;Cond Hydrocarbon,Lignin;Tannin,Protein;Lignin,Protein;Lignin;Amino Sugar
HJA_155_2016,21,236,493,165,18,38,363,3,11,187,11,115,11,2,0,5,4,0
HJA_156_2016,17,156,321,67,10,34,281,4,16,145,7,99,1,3,0,3,2,0
HJA_160_2016,41,358,552,120,22,52,317,5,10,161,11,251,9,6,1,4,8,0
HJA_161_2016,13,115,259,58,11,18,187,2,9,122,2,31,0,2,0,3,1,0
HJA_162_2016,41,277,565,169,17,56,433,6,14,235,12,171,13,4,0,5,3,0
HJA_163_2016,18,119,199,33,7,24,229,2,5,126,4,42,0,3,0,1,1,0
HJA_164_2016,102,467,466,49,9,47,295,5,32,459,12,230,1,7,8,0,0,0
HJA_165_2016,19,81,168,57,3,7,62,1,6,99,2,25,2,1,1,4,0,0
HJA_169_2016,55,466,645,108,16,70,475,7,21,211,12,339,5,8,2,3,3,0
HJA_170_2016,85,474,551,43,9,39,279,3,25,325,10,374,1,8,10,0,3,0
HJA_177_2016,61,483,493,79,16,53,410,4,25,204,8,235,5,5,5,0,6,0
HJA_178_2016,57,530,547,71,19,89,469,6,81,251,17,250,4,10,7,1,6,0
HJA_190_2016,49,320,441,119,11,56,499,4,21,214,14,201,8,6,0,3,5,0
HJA_192_2016,38,338,542,144,22,94,535,10,53,187,11,139,12,13,3,4,5,0
HJA_260_2016,34,259,517,97,20,69,470,6,23,211,11,142,7,7,1,3,5,0
HJA_360_2016,63,478,446,67,19,92,579,10,94,309,18,115,5,9,6,1,2,0
HJA_45_2016,38,297,492,86,18,60,514,4,18,257,17,111,5,6,0,3,5,0
HJA_47_2016,24,213,476,146,19,43,298,2,11,184,7,111,11,5,0,5,5,0
HJA_49_2016,51,361,567,141,17,72,510,5,27,225,17,128,7,7,2,4,4,0
HJA_50_2016,25,200,322,63,11,36,342,3,10,218,10,51,2,5,1,4,3,0
HJA_53_2016,44,410,491,98,13,76,543,6,48,232,16,182,7,10,2,3,5,0
HJA_54_2016,32,272,416,105,12,59,478,4,25,224,12,90,6,3,0,4,5,0
HJA_55_2016,39,176,234,20,8,37,322,3,15,199,8,53,1,4,0,0,3,0
HJA_56_2016,21,163,185,15,7,42,282,5,12,151,7,33,0,4,3,0,2,0
HJA_57_2016,29,247,446,159,20,65,326,7,22,179,6,99,10,6,1,4,3,0
HJA_58_2016,36,323,577,145,22,75,394,8,34,186,9,148,6,7,1,5,5,0
HJA_60_2016,46,369,467,80,16,62,593,6,26,277,19,110,5,8,1,1,6,0
HJA_64_2016,106,671,898,115,25,111,613,6,48,437,18,380,5,11,10,3,6,0
HJA_65_2016,52,331,507,86,22,74,401,4,23,211,9,163,6,6,3,2,6,0
HJA_66_2016,25,215,393,66,13,45,369,2,14,194,12,71,1,4,0,3,3,0
HJA_68_2016,25,218,406,108,15,40,230,2,9,110,4,148,9,2,1,4,2,0
HJA_71_2016,70,290,256,37,13,90,431,9,40,150,9,34,0,13,4,1,2,0
HJA_72_2016,29,232,527,118,20,60,401,6,12,200,9,189,8,7,0,5,3,0
HJA_73_2016,55,470,690,132,22,67,424,8,20,184,13,290,6,7,5,3,8,0
HJA_74_2016,21,230,324,61,11,44,369,4,18,182,11,53,4,3,0,3,4,0
HJA_76_2016,148,507,602,24,7,19,126,1,31,281,5,621,7,3,20,1,1,0
HJA_82_2016,15,190,413,148,16,35,244,2,11,148,5,89,9,2,0,5,4,0
HJA_83_2016,45,405,509,115,12,61,527,7,31,233,17,152,10,10,1,4,9,0
HJA_84_2016,49,424,491,94,13,49,368,4,20,190,15,175,7,5,2,3,6,0
HJA_CC-1-15m_2016,37,341,580,103,20,51,304,6,10,150,5,207,7,6,2,2,4,0
HJA_CC-2-55m_2016,73,569,869,118,16,67,465,6,24,258,13,573,4,7,6,4,5,0
HJA_CC-3-100m_2016,102,597,722,93,25,102,656,9,26,366,14,293,5,13,10,1,7,1
HJA_CC-4-250m_2016,118,452,569,21,2,14,132,1,18,222,8,417,1,3,14,0,3,0
HJA_KC-1-275m_2016,46,315,441,65,16,60,496,4,16,243,16,115,1,6,1,2,6,0
HJA_KC-2-360m_2016,43,328,442,111,9,50,509,5,20,241,12,145,6,5,0,3,4,0
HJA_KC-3-400m_2016,62,320,302,32,13,80,521,8,29,231,10,59,0,10,2,1,5,0
HJA_KerryCreek2_2016,39,297,382,72,13,72,466,8,28,240,13,101,2,8,0,4,4,0
HJA_WS1-2_2016,30,233,484,153,16,50,383,6,21,179,8,140,10,6,0,5,4,0
HJA_WS1-3_2016,46,259,352,47,7,49,457,4,25,251,10,73,1,4,1,0,4,0
HJA_WS1-5_2016,30,349,526,119,16,50,323,5,13,196,9,246,7,4,2,2,4,0
HJA_WS1-6_2016,27,312,436,123,16,53,268,4,35,129,4,353,9,5,1,2,1,0
HJA_WS1-7_2016,44,296,523,119,15,60,472,7,15,253,14,188,9,7,2,6,4,0
HJA_WS1-8_2016,28,246,476,161,15,44,349,4,11,205,9,185,11,4,0,5,4,0
HJA_WS1_250m_2016,35,275,487,126,14,49,426,5,16,215,8,169,9,4,1,3,4,0
HJA_WS3-1_30m_2016,50,424,567,85,18,88,513,8,15,238,14,179,5,8,3,1,6,0
HJA_WS3-2_2016,58,264,452,71,10,56,492,7,31,193,15,67,3,8,0,4,7,0
HJA_WS3-3_2016,66,439,386,40,13,53,402,2,20,298,11,135,4,4,2,0,10,0
HJA_WS3-4_2016,104,548,717,104,33,137,651,8,52,372,19,222,6,15,5,1,4,1
HJA_WS3-5_2016,18,145,246,34,8,22,262,3,9,160,7,33,0,2,0,3,3,0
HJA_WS3-6_2016,58,434,584,88,24,94,501,6,23,251,14,259,8,10,4,1,4,0
HJA_71_2025,16,101,126,11,5,42,245,2,8,45,4,27,1,5,2,0,2,0
HJA_56_2025,42,151,224,41,6,29,293,2,11,80,5,77,3,3,3,1,0,0
HJA_164_2025,45,184,105,14,1,15,138,5,7,85,4,83,0,1,1,0,0,0
HJA_54_2025,24,152,41,16,1,8,69,4,38,97,2,59,0,1,3,0,0,0
HJA_47_2025,28,244,206,22,1,25,315,1,31,112,4,73,3,1,3,2,0,0
HJA_64_2025,88,251,180,10,1,3,47,2,13,56,1,143,0,0,4,0,0,0
HJA_84_2025,24,180,364,39,5,23,379,3,19,107,4,81,3,5,3,5,4,0
HJA_WS1-2_2025,16,86,90,9,2,18,173,1,9,47,3,23,0,4,1,0,2,0
HJA_WS3-1_2025,10,77,100,10,0,7,104,1,6,50,2,47,1,0,2,0,0,0
HJA_CC-1_2025,65,104,47,6,0,7,16,1,4,42,0,75,0,0,3,0,1,0
HJA_CC-4_2025,25,130,100,33,4,20,47,4,36,37,0,136,0,3,7,0,0,0
HJA_CC-2_2025,10,20,14,5,0,2,8,0,6,7,1,21,0,0,4,1,0,0
HJA_410_2025,24,121,162,18,0,15,177,5,21,68,2,64,1,0,0,0,0,0
HJA_156_2025,11,60,30,5,0,3,77,1,7,52,2,34,0,0,2,0,0,0
HJA_49_2025,67,300,148,12,6,14,115,4,10,84,3,107,1,1,1,0,0,0
HJA_KC-4_2025,14,104,175,14,3,15,195,2,18,61,4,38,0,1,1,2,2,0
HJA_45_2025,50,291,180,14,0,9,129,0,18,93,1,130,1,0,0,0,0,0
HJA_CC-3_2025,5,21,19,7,0,2,6,0,4,11,0,23,2,0,0,0,0,1
HJA_WS3-2_2025,13,79,128,10,2,12,126,4,6,62,4,23,1,1,1,1,2,0
HJA_83_2025,26,216,246,23,4,24,320,2,28,104,4,80,4,2,3,2,3,0
HJA_177_2025,32,210,80,10,1,5,119,4,12,65,3,61,0,1,0,0,1,0
HJA_178_2025,13,111,313,24,8,21,293,2,15,59,4,69,3,3,2,2,1,0
HJA_WS1-5_2025,13,70,89,7,0,6,87,1,5,15,0,26,1,0,1,1,0,0
HJA_53_2025,68,239,85,6,0,17,95,3,6,81,3,58,0,0,0,0,0,0
HJA_WS1-3_2025,15,154,103,7,1,4,63,1,10,123,0,82,1,0,0,0,1,0
HJA_WS3-3_2025,5,52,28,7,0,5,46,1,4,17,0,17,0,0,1,0,0,0
HJA_WS3-5_2025,11,118,222,13,1,11,246,2,6,116,6,23,0,1,2,0,3,0
HJA_65_2025,18,141,306,58,6,18,283,2,5,51,4,52,4,3,2,4,0,0
HJA_43_2025,32,231,146,15,1,7,93,1,16,236,0,94,6,2,3,0,0,0
HJA_170_2025,94,334,297,11,4,4,38,3,9,117,0,248,0,0,1,2,0,0
HJA_165_2025,22,101,359,63,7,11,223,1,14,48,4,56,5,2,1,4,1,0
HJA_KC-1_2025,13,94,111,8,0,12,175,3,21,41,3,36,0,0,3,0,2,0
HJA_KC-2_2025,1,36,53,4,0,4,100,1,2,26,4,7,0,0,0,0,3,0
HJA_KC-3_2025,11,53,59,2,1,13,42,2,14,38,1,32,0,0,0,0,1,0
HJA_72_2025,71,192,130,30,9,24,76,7,21,54,0,54,1,5,3,0,2,0
HJA_73_2025,10,114,153,15,5,5,165,1,41,47,4,24,0,0,0,0,1,0
HJA_55_2025,12,67,103,13,1,11,198,1,7,32,3,30,1,1,2,0,0,0
HJA_162_2025,14,103,164,15,3,27,233,1,10,69,5,69,3,6,1,1,1,0
HJA_192_2025,22,165,260,21,2,19,245,1,12,59,3,56,2,2,4,3,0,0
HJA_WS1-4_2025,4,66,271,19,5,15,298,2,4,54,4,26,2,1,0,0,4,0
