,CHOS,CHONS,CHON,CHO,CHONP,CHONSP,CHOP,CHOSP
HJA_155_2016,53,51,210,984,52,57,260,16
HJA_156_2016,62,32,145,670,45,8,193,11
HJA_160_2016,74,45,232,1025,32,267,192,61
HJA_161_2016,39,24,92,505,28,11,129,5
HJA_162_2016,76,40,235,1144,55,113,332,26
HJA_163_2016,68,22,95,411,33,11,166,7
HJA_164_2016,613,223,317,421,30,177,54,354
HJA_165_2016,45,46,58,282,27,18,52,10
HJA_169_2016,210,78,436,1045,38,476,90,73
HJA_170_2016,596,166,320,556,28,322,71,180
HJA_177_2016,196,80,351,895,42,287,132,109
HJA_178_2016,311,88,407,832,67,294,237,179
HJA_190_2016,112,86,391,915,102,81,259,25
HJA_192_2016,77,51,233,1140,45,87,459,58
HJA_260_2016,89,49,298,991,59,35,331,30
HJA_360_2016,196,58,441,954,59,145,182,278
HJA_45_2016,115,98,386,868,76,34,314,40
HJA_47_2016,65,51,122,951,46,48,263,14
HJA_49_2016,97,77,376,1041,69,127,315,43
HJA_50_2016,100,46,206,622,66,6,243,17
HJA_53_2016,100,70,459,1016,49,194,183,115
HJA_54_2016,83,67,291,869,58,28,325,26
HJA_55_2016,71,37,148,530,56,12,247,21
HJA_56_2016,43,34,116,440,38,5,248,8
HJA_57_2016,78,36,120,971,35,39,331,19
HJA_58_2016,74,55,261,1029,63,121,330,48
HJA_60_2016,109,74,418,950,52,70,348,71
HJA_64_2016,469,123,622,1297,47,435,221,249
HJA_65_2016,200,49,283,936,30,126,163,119
HJA_66_2016,70,51,227,736,53,19,256,18
HJA_68_2016,42,33,167,804,22,131,106,28
HJA_71_2016,78,31,150,692,26,7,443,22
HJA_72_2016,94,59,257,1032,42,63,253,26
HJA_73_2016,107,71,391,1109,24,376,222,104
HJA_74_2016,68,58,228,616,67,32,252,21
HJA_76_2016,539,638,754,168,67,37,25,176
HJA_82_2016,68,34,82,845,37,41,206,23
HJA_83_2016,95,45,358,1030,53,140,369,58
HJA_84_2016,115,42,296,914,53,224,185,86
HJA_CC-1-15m_2016,98,37,320,917,26,238,133,66
HJA_CC-2-55m_2016,266,108,687,1218,17,514,82,185
HJA_CC-3-100m_2016,364,110,643,1236,30,359,131,169
HJA_CC-4-250m_2016,588,365,531,227,19,51,76,138
HJA_KC-1-275m_2016,106,104,413,802,78,47,254,45
HJA_KC-2-360m_2016,116,121,416,854,80,54,263,29
HJA_KC-3-400m_2016,100,87,293,678,64,5,425,33
HJA_KerryCreek2_2016,92,81,319,766,66,40,331,54
HJA_WS1-2_2016,60,57,244,991,55,40,265,16
HJA_WS1-3_2016,117,31,184,779,49,18,388,24
HJA_WS1-5_2016,95,54,236,989,40,261,184,42
HJA_WS1-6_2016,86,33,182,903,61,259,215,39
HJA_WS1-7_2016,142,42,259,1056,41,123,330,41
HJA_WS1-8_2016,68,43,212,1039,50,64,257,24
HJA_WS1_250m_2016,129,79,248,959,50,106,242,33
HJA_WS3-1_30m_2016,186,59,448,1011,30,248,136,104
HJA_WS3-2_2016,82,52,259,899,55,10,367,14
HJA_WS3-3_2016,228,81,332,673,26,218,78,249
HJA_WS3-4_2016,313,145,773,1182,42,263,105,176
HJA_WS3-5_2016,47,43,177,474,43,6,153,12
HJA_WS3-6_2016,140,66,486,1136,23,256,130,126
HJA_71_2025,23,43,74,358,35,12,78,19
HJA_56_2025,79,60,96,507,29,28,147,25
HJA_164_2025,57,96,161,217,37,29,45,46
HJA_54_2025,53,170,66,79,27,37,24,59
HJA_47_2025,54,54,122,455,64,27,239,56
HJA_64_2025,64,93,453,102,23,20,17,27
HJA_84_2025,57,67,119,694,58,20,188,45
HJA_WS1-2_2025,27,43,72,237,22,13,50,20
HJA_WS3-1_2025,37,37,46,173,32,18,43,31
HJA_CC-1_2025,136,33,121,19,24,8,1,29
HJA_CC-4_2025,116,49,159,36,95,49,19,59
HJA_CC-2_2025,10,16,17,11,3,8,6,28
HJA_410_2025,51,45,76,243,59,16,134,54
HJA_156_2025,24,61,31,98,16,12,17,25
HJA_49_2025,77,219,321,104,28,46,24,54
HJA_KC-4_2025,47,36,91,320,40,12,62,41
HJA_45_2025,88,155,424,96,48,25,43,37
HJA_CC-3_2025,10,16,14,27,6,4,8,16
HJA_WS3-2_2025,40,30,74,223,28,9,57,14
HJA_83_2025,48,57,114,522,53,24,214,59
HJA_177_2025,37,107,248,106,22,13,33,38
HJA_178_2025,40,46,73,551,45,16,148,24
HJA_WS1-5_2025,18,26,73,123,26,12,28,16
HJA_53_2025,70,129,264,75,52,20,23,28
HJA_WS1-3_2025,128,124,187,16,17,19,12,62
HJA_WS3-3_2025,18,24,22,76,8,9,20,6
HJA_WS3-5_2025,55,16,122,415,23,10,48,92
HJA_65_2025,39,31,84,640,29,13,106,15
HJA_43_2025,267,169,218,43,28,35,30,93
HJA_170_2025,264,91,641,77,24,12,21,32
HJA_165_2025,34,30,61,582,34,17,132,32
HJA_KC-1_2025,36,53,67,259,27,19,42,19
HJA_KC-2_2025,12,2,47,146,7,4,15,8
HJA_KC-3_2025,36,19,57,61,24,9,39,24
HJA_72_2025,145,87,112,67,150,23,26,69
HJA_73_2025,24,78,69,330,13,10,50,11
HJA_55_2025,22,15,40,247,27,15,97,19
HJA_162_2025,28,38,61,375,45,23,118,37
HJA_192_2025,27,44,93,459,43,20,160,30
HJA_WS1-4_2025,40,25,123,533,11,6,31,6
HJA_60_2025,30,33,66,301,31,20,39,37
HJA_169_2025,81,21,21,4,7,7,0,43
HJA_58_2025,87,156,388,52,51,25,14,52
HJA_155_2025,52,49,110,456,35,78,64,86
HJA_74_2025,57,69,90,169,19,15,14,20
HJA_190_2025,128,42,56,15,11,17,7,36
HJA_67_2025,22,32,53,171,35,12,68,36
