,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,GFE_0.mean,GFE_0.median,GFE_0.sd,GFE_7.mean,GFE_7.median,GFE_7.sd,GFEperC_0.mean,GFEperC_0.median,GFEperC_0.sd,GFEperC_7.mean,GFEperC_7.median,GFEperC_7.sd,lambdaO2_0.mean,lambdaO2_0.median,lambdaO2_0.sd,lambdaO2_7.mean,lambdaO2_7.median,lambdaO2_7.sd
HJA_155_2016,0.0786290858997079,0,0.164909772509104,0.21922303595421,0.179487179487179,0.214001537529138,7.28520499108734,6,4.95959306591535,-0.332144979203803,-1,4.81854639819651,377.371165129496,372.624895524931,100.446957939471,0.288965589458449,0.270054038592548,0.118261639115748,-0.4555016914493,-0.416666666666667,0.694908563697369,1.37766428362282,1.36,0.437587005087625,0.443761686352635,0.434782608695652,0.177127914818762,0.029231526873896,0,0.0679300172614854,0.0135857897184556,0,0.0264419497945107,Inf,2,NA,1310.78181818182,1269.6,530.958504082991,-2593.63215029514,-2570.00743203568,816.229285194609,73.281798206305,72.175,19.804894065375,-144.901287472125,-143.634250723466,9.91609060092358,0.058503156056966,0.0529346346828105,0.0256987575731169,0.0517787428466669,0.0466763344845079,0.0224047848651908
HJA_156_2016,0.0859738285403183,0,0.184997755513921,0.203724070047855,0.142857142857143,0.2248989026965,6.34648370497427,5,4.56916522866691,-0.543739279588336,-1,4.8308086116815,354.420515449252,346.241160537542,96.3954149376872,0.258729833766644,0.243742662809098,0.0996472752860698,-0.546689601134105,-0.5,0.673626310873111,1.43234324771436,1.46666666666667,0.45172455323248,0.427894685028105,0.421052631578947,0.168057854843311,0.0279638989890354,0,0.0677999660048394,0.013849292102286,0,0.0273298807986381,Inf,1,NA,1304.60068610635,1206,592.812477294111,-2491.45988715404,-2407.63052854913,862.688102003024,75.880653632322,74.55,19.1983498598837,-146.024343057547,-145.126033835755,9.77416518515451,0.0599956269014724,0.0560005454153076,0.02477371063649,0.0531513725356185,0.0498993838863372,0.0214940258578765
HJA_160_2016,0.135212902634582,0,0.199710977760433,0.270966216293936,0.25,0.233571595996849,8.55134854771784,8,5.45781180044524,1.14315352697095,0,5.63794734343135,394.531062150038,388.6706178661,107.116418204166,0.313854862410198,0.306427706528041,0.121918399099782,-0.401972705342563,-0.4,0.622259962861583,1.28824027539558,1.25,0.440080671400115,0.419535072885802,0.411764705882353,0.172734654130208,0.0309595865424208,0,0.058190473448427,0.0142573946942237,0,0.0240338641286857,Inf,2,NA,1365.6622406639,1329.9,565.906978246959,-2739.92673124998,-2649.91511874613,899.266362006613,71.756222102263,71.7,17.7344089415551,-144.487191960989,-144.050754118201,8.8373230935951,0.0568786208730519,0.0510839661574659,0.0235333016583261,0.0502294982125772,0.0453738086090283,0.0203470391901324
HJA_161_2016,0.0561470106058131,0,0.14949202758257,0.184540326821703,0.142857142857143,0.20004210474796,6.12725090036014,5,4.39275400470679,-0.895558223289316,-2,4.20163566556374,355.809610672539,348.716192717141,92.8713304971601,0.257616218217307,0.243273410080917,0.106499271570372,-0.567808039722189,-0.521739130434782,0.701191577059154,1.45799889335578,1.45454545454545,0.428138604017321,0.433357930456484,0.428571428571429,0.173406069461586,0.0244267126812009,0,0.0631029165460482,0.0131115077140102,0,0.0266605672900496,Inf,1,NA,1311.78079231693,1253.1,565.508843101338,-2496.49676898116,-2439.69974532524,807.36285773125,76.4825291320824,75.1695652173913,19.9839599461859,-146.359254643623,-144.923427897647,9.88189148940139,0.0590718228120916,0.0550020893115051,0.0246791376219037,0.0522739421717118,0.0482983460263744,0.021286450007536
HJA_162_2016,0.0904367651310255,0,0.172916159889427,0.224652485638031,0.176470588235294,0.219856299011934,7.46561108362197,6,4.88171269097066,-0.132112815437902,-1,4.86936909519972,383.941445553954,378.716616404234,100.509185486359,0.293586608342003,0.273933158433579,0.116922820201816,-0.467170480179895,-0.416666666666667,0.678854577055936,1.36682554042061,1.36,0.434907849647315,0.436599877092966,0.428571428571429,0.175904047104084,0.0281108430474237,0,0.0639705686656303,0.0145598982184716,0,0.0262679258263998,Inf,2,NA,1353.02226620485,1310.1,557.117209896963,-2659.83816903338,-2617.09970894313,834.958991272333,73.614358685127,72.175,19.3473554460942,-145.15852682114,-144.050754118201,9.68996918534511,0.0572872905815391,0.0520455308442797,0.0245717340023808,0.0506706443957781,0.0456554799826448,0.0212918258899581
HJA_163_2016,0.0588445382652049,0,0.160550524426657,0.166372988524489,0.0909090909090909,0.206634750439835,5.70233702337023,5,4.5946485202033,-0.883148831488315,-2,4.84131174706354,355.884702631532,340.798393566478,109.835291576699,0.248138696881336,0.233669394427011,0.101355020232747,-0.670421700600078,-0.75,0.685595636221929,1.50912844349508,1.57142857142857,0.42990299788698,0.41557048926842,0.411764705882353,0.16719269983693,0.0239832004588344,0,0.0601190312807482,0.016989577871496,0,0.0296519516706848,Inf,0,NA,1386.84391143911,1300.2,697.682668562693,-2551.73028519181,-2416.7920586148,1023.25493137951,79.4070184671022,81.675,19.539475632325,-147.958305211289,-148.158339321453,9.82695740865706,0.0580357504694788,0.0529304030259223,0.0259197407460955,0.0514046181779683,0.0473014225346431,0.0223181570870036
HJA_164_2016,0.145058189395372,0,0.218712642583732,0.234658896993219,0.170731707317073,0.245723893965423,8.22064869803563,6,6.49857341534082,2.15989036089539,1,6.62090611579635,415.189571271,420.625050259103,120.70212033652,0.325275691083367,0.311419574832428,0.131269138455337,-0.581896330697896,-0.545454545454546,0.63208317251542,1.38548433956283,1.39130434782609,0.466338794734006,0.330970395813707,0.3,0.17392188270018,0.0380631196759043,0,0.0632948836298265,0.0137146181644738,0,0.0229422771941223,Inf,2,NA,1556.03983554134,1554.6,619.706518167435,-2980.77474634422,-3029.6458292058,1015.14834121663,76.88404542489,75.8454545454546,18.0143704166895,-147.627704434845,-146.670924933989,10.2306559946544,0.0523597663146579,0.0431984920109282,0.0272577520285519,0.0463081597590025,0.0384551251127718,0.0238695767131376
HJA_165_2016,0.0851185570836109,0,0.192719100098814,0.223959550061266,0.2,0.212188877976921,7.7639405204461,7,5.68296819101979,0.200743494423792,-1,6.22548371541356,411.470114496523,386.642943020909,132.484996842707,0.301260968160719,0.293011222026848,0.127542191551999,-0.50509912766858,-0.416408668730651,0.743915211982284,1.38214354645603,1.3,0.454483903922879,0.414754236933921,0.411764705882353,0.208263896011112,0.024736656166004,0,0.0599902519686927,0.0105424808339631,0,0.0231067117834847,Inf,3,NA,1540.99126394052,1315.05,871.243369874973,-2952.10804958674,-2614.16894391029,1246.43716499865,74.6953251385545,72.1676470588235,21.2015835414951,-145.628810523017,-144.298303375689,10.2991787763956,0.0535281744753722,0.0520455308442797,0.0277558109737788,0.0471997851606002,0.0456546788847539,0.0249007173850607
HJA_169_2016,0.15292272021103,0,0.216001955970501,0.274337449840296,0.25,0.242905006275441,9.15535568274734,8,6.1721375667897,2.04456255110384,0,6.40054134603173,405.605996233781,396.677419467238,116.458140030219,0.325729031959123,0.30271453468086,0.140719879219832,-0.379575355148815,-0.346326836581709,0.567120032342681,1.28244114437759,1.25,0.44173829482935,0.394167236393825,0.375,0.171297108014068,0.0461377542846907,0,0.0694079552116246,0.0122572508711744,0,0.0210017817521662,Inf,2,NA,1397.59869174162,1377,549.586059346618,-2820.03093923899,-2718.63817887746,957.451727808401,71.1178976217412,70.1703148425787,16.1629209217664,-143.700104320763,-143.553465194022,8.11066710062749,0.0568332596037318,0.0496945151964034,0.0260885680700839,0.0503071503870221,0.0439743681308613,0.0229876465793884
HJA_170_2016,0.18281755035542,0.0588235294117647,0.231688324421291,0.29300802643692,0.263157894736842,0.250183490588526,9.87628405538187,9,6.57950383580353,3.31174631531934,2,6.45671644513393,427.216252200344,426.62714075537,121.021983875618,0.350518679513463,0.330613284578305,0.146441951977322,-0.429641624887482,-0.4,0.606063437545036,1.25703728618754,1.23076923076923,0.448180831947549,0.34093198262826,0.310344827586207,0.171070115301396,0.0428156144220328,0,0.0658206082391279,0.0121973392318516,0,0.0212808401560822,Inf,2,NA,1518.27695399732,1510.8,593.616618390609,-3039.56613210849,-3087.18426275802,1000.25277069843,72.5447863092932,71.7,17.2728079700335,-145.213906675079,-144.908890827329,9.13988980698055,0.0525897638004665,0.0448320761421855,0.0256690054929592,0.046388734566391,0.0393035088782165,0.0224370961204386
