Site_ID,Latitude,Longitude
45,44.23127384,-122.1738568
47,44.23365731,-122.2079193
49,44.23289932,-122.2075913
50,44.2336933,-122.2104233
53,44.23405862,-122.1473351
54,44.22687728,-122.2261891
55,44.23087829,-122.2173842
56,44.23082231,-122.2131533
57,44.2378433,-122.2026784
58,44.23662653,-122.1609969
60,44.23835454,-122.156051
64,44.20769505,-122.1171345
65,44.23049077,-122.1255004
66,44.23344062,-122.1488711
68,44.23141146,-122.1842726
71,44.23243029,-122.2153483
72,44.21868266,-122.1669599
73,44.22128762,-122.1698279
74,44.22982148,-122.1822287
76,44.22234787,-122.1177965
82,44.24907125,-122.1927075
83,44.25719028,-122.1810227
84,44.25637336,-122.1676178
155,44.22878519,-122.1760346
156,44.22825255,-122.1718458
160,44.22763357,-122.1684119
161,44.22519826,-122.234887
162,44.21002332,-122.2571249
163,44.21578027,-122.2523209
164,44.21236534,-122.245092
165,44.25201265,-122.1878306
169,44.27275045,-122.1398972
170,44.22197789,-122.1153605
177,44.26484729,-122.1755038
178,44.26637031,-122.1707598
190,44.23133639,-122.1964935
192,44.23089143,-122.1908526
260,44.22730857,-122.1683029
360,44.22756657,-122.1679119
CC-1-15m,44.22953478,-122.1240624
CC-2-55m,44.22971128,-122.1236088
CC-3-100m,44.23002178,-122.1230284
CC-4-250m,44.23033379,-122.1214714
KC-1-275m,44.22180935,-122.2236262
KC-2-360m,44.22120735,-122.2237972
KC-3-400m,44.2207126,-122.223791
KerryCreek2,44.22026336,-122.2238592
WS1_250m,44.20617936,-122.2558589
WS1-2,44.20673635,-122.2570909
WS1-3,44.20642636,-122.2564689
WS1-5,44.20594037,-122.2550609
WS1-6,44.20572437,-122.2536369
WS1-7,44.20552138,-122.252889
WS1-8,44.20537038,-122.251927
WS3-2,44.21909628,-122.241914
WS3-3,44.2183783,-122.240859
WS3-4,44.2178343,-122.240202
WS3-5,44.2178533,-122.240402
WS3-6,44.21680632,-122.238626
WS3-1_30m,44.21936128,-122.242486
