Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
100,129.055829,129.055710984,129.055717729,1135274,-9999,794272.6,7.94,-1,-0.052262328,0.999504523,0,0.599702714,2,0.5,1.666666667,O3,de-protonated,0,-9999,C6 H10 O3,6,10,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
196,167.021151,167.021037865,167.021063553,3098313.8,-9999,709385.1,24.5,-1,-0.153798934,0.99571719,0,0.597430314,6,0.6,0.8,N4 O3,de-protonated,0,-9999,C5 H4 O3 N4,5,4,3,4,-9999,-9999,-9999,-9999,-9999,-9999
214,186.113668,186.11355732,186.113566959,2543658.5,-9999,542931.3,19.29,-1,-0.051788386,0.999513466,0,0.59970808,2,0.333333333,1.888888889,N1 O3,de-protonated,0,-9999,C9 H17 O3 N1,9,17,3,1,-9999,-9999,-9999,-9999,-9999,-9999
218,187.097689,187.097578447,187.097582542,9300755,-9999,602485.1,77.22,-1,-0.021886492,0.999913086,0,0.599947852,2,0.444444444,1.777777778,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
227,193.087143,193.087033217,193.087017858,1219209.6,-9999,715670.5,7.85,-1,0.079545589,0.998852542,0,0.599311525,5,0.272727273,1.272727273,O3,de-protonated,0,-9999,C11 H14 O3,11,14,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
231,195.139177,195.139067481,195.139053431,1223730.5,-9999,747413.5,7.88,-1,0.071996111,0.999059914,0,0.599435948,3,0.166666667,1.666666667,O2,de-protonated,0,-9999,C12 H20 O2,12,20,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
241,199.007156,199.007046978,199.007053458,2401142.3,-9999,562339.4,17.9,-1,-0.032562653,0.999807624,0,0.599884574,5,0.5,1,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999,-9999,-9999
242,199.061316,199.061206985,199.061197032,1148411.6,-9999,552951.7,7.22,-1,0.049998072,0.999546516,0,0.59972791,4,0.555555556,1.333333333,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
243,199.097681,199.09757199,199.097582542,2845567.3,-9999,539000.2,21.69,-1,-0.052999128,0.999490457,0,0.599694274,3,0.4,1.6,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
247,201.077019,201.076910244,201.076847097,1260342.3,-9999,530948.4,8.16,-1,0.314046038,0.98226381,0,0.589358286,3,0.555555556,1.555555556,O5,de-protonated,0,-9999,C9 H14 O5,9,14,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
248,201.113367,201.113258249,201.113232606,2511161.3,-9999,511015.5,18.8,-1,0.127503846,0.997054493,0,0.598232696,2,0.4,1.8,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
261,209.009334,209.009226264,209.009161458,1177012.1,-9999,577846.5,7.41,-1,0.310060872,0.982707199,0,0.58962432,7,0.666666667,0.666666667,O6,de-protonated,0,-9999,C9 H6 O6,9,6,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
271,213.015433,213.015325779,213.015309467,2804710.3,-9999,474604,21.15,-1,0.076575676,0.998936581,0,0.599361949,6,0.857142857,0.857142857,N2 O6,de-protonated,0,-9999,C7 H6 O6 N2,7,6,6,2,-9999,-9999,-9999,-9999,-9999,-9999
272,213.113394,213.113286792,213.113232606,1272938.4,-9999,452780.4,8.2,-1,0.254257448,0.988338443,0,0.593003066,3,0.363636364,1.636363636,O4,de-protonated,0,-9999,C11 H18 O4,11,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
277,215.128982,215.128875051,215.128882671,1780286.4,-9999,380423.3,12.49,-1,-0.035419126,0.999772396,0,0.599863438,2,0.363636364,1.818181818,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
281,221.082013,221.081906816,221.081932477,2375249.8,-9999,411091.3,17.43,-1,-0.116069547,0.997558483,0,0.59853509,6,0.333333333,1.166666667,O4,de-protonated,0,-9999,C12 H14 O4,12,14,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
282,221.154746,221.154639826,221.154703496,1491541.8,-9999,555477.6,9.99,-1,-0.287899046,0.985072998,0,0.591043799,4,0.142857143,1.571428571,O2,de-protonated,0,-9999,C14 H22 O2,14,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
283,222.090365,222.090258946,222.090068609,1818761.9,-9999,411327.5,12.75,-1,0.857026166,0.875226172,0,0.525135703,1,0.5,2.25,N1 P1 O4,de-protonated,0,-9999,C8 H18 O4 N1 P1,8,18,4,1,1,-9999,-9999,-9999,-9999,-9999
286,223.024905,223.024799066,223.024811523,1695681.5,-9999,444633.3,11.71,-1,-0.055854012,0.9994341,0,0.59966046,7,0.6,0.8,O6,de-protonated,0,-9999,C10 H8 O6,10,8,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
294,227.09263,227.092524589,227.092497161,1181671.3,-9999,562279.3,7.37,-1,0.12077859,0.997356623,0,0.598413974,4,0.454545455,1.454545455,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
298,229.144554,229.144448853,229.144532735,2131362.8,-9999,464895.1,15.27,-1,-0.366066208,0.975978292,0,0.585586975,2,0.333333333,1.833333333,O4,de-protonated,0,-9999,C12 H22 O4,12,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
301,233.154779,233.154674369,233.154703496,3752818,-9999,467082.8,28.81,-1,-0.124926973,0.997172182,0,0.598303309,5,0.133333333,1.466666667,O2,de-protonated,0,-9999,C15 H22 O2,15,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
310,238.963059,238.962955115,238.963080645,3349762,-9999,511100.7,25.21,-1,-0.525309581,0.951162086,0,0.570697252,12,0.076923077,0.307692308,S2 O1,de-protonated,0,-9999,C13 H4 O1 S2,13,4,1,-9999,-9999,2,-9999,-9999,-9999,-9999
311,239.019851,239.019747123,239.019726143,1235468.3,-9999,513346,7.71,-1,0.087775878,0.998602986,0,0.599161792,7,0.7,0.8,O7,de-protonated,0,-9999,C10 H8 O7,10,8,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312,239.128981,239.128877137,239.128882671,6641440,-9999,438870.7,52.47,-1,-0.023141714,0.999902832,0,0.599941699,4,0.307692308,1.538461538,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
315,241.136558,241.136454395,241.136290527,4172441,-9999,390916.5,32.02,-1,0.67956716,0.919619672,0,0.551771803,3,0.153846154,1.769230769,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,-9999,-9999
318,242.139927,242.139823524,242.139781707,1263199.9,-9999,530616,7.93,-1,0.172696213,0.994603094,0,0.596761856,3,0.333333333,1.75,N1 O4,de-protonated,0,-9999,C12 H21 O4 N1,12,21,4,1,-9999,-9999,-9999,-9999,-9999,-9999
