Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
102,129.055814,129.055800022,129.055717729,7129075,-9999,663664,63.1,-1,0.637660744,0.928876886,0,0.557326131,2,0.5,1.666666667,O3,de-protonated,0,-9999,C6 H10 O3,6,10,3,-9999,-9999,-9999,-9999,-9999,-9999
168,159.066428,159.066398907,159.066282413,1963867.5,-9999,680324.6,14.8,-1,0.732362939,0.907264731,0,0.544358839,2,0.571428571,1.714285714,O4,de-protonated,0,-9999,C7 H12 O4,7,12,4,-9999,-9999,-9999,-9999,-9999,-9999
191,165.01947,165.019437909,165.019332219,2520504.5,-9999,766932,19.49,-1,0.640465891,0.928272797,0,0.556963678,6,0.5,0.75,O4,de-protonated,0,-9999,C8 H6 O4,8,6,4,-9999,-9999,-9999,-9999,-9999,-9999
200,171.012316,171.01228089,171.012138839,1472875.3,-9999,682121.8,10.23,-1,0.830651789,0.882323598,0,0.529394159,4,0.428571429,1.142857143,S1 O3,de-protonated,0,-9999,C7 H8 O3 S1,7,8,3,-9999,-9999,1,-9999,-9999,-9999
201,171.066436,171.066400863,171.066282413,2114438.5,-9999,759222.1,15.8,-1,0.692422778,0.91668127,0,0.550008762,3,0.5,1.5,O4,de-protonated,0,-9999,C8 H12 O4,8,12,4,-9999,-9999,-9999,-9999,-9999,-9999
204,173.082073,173.082036848,173.081932477,3146846.5,-9999,604947.3,24.67,-1,0.603012172,0.936150487,0,0.561690292,2,0.5,1.75,O4,de-protonated,0,-9999,C8 H14 O4,8,14,4,-9999,-9999,-9999,-9999,-9999,-9999
205,173.118479,173.118442829,173.118317987,1184367.8,-9999,612439.5,7.69,-1,0.721141626,0.90995373,0,0.545972238,1,0.333333333,2,O3,de-protonated,0,-9999,C9 H18 O3,9,18,3,-9999,-9999,-9999,-9999,-9999,-9999
210,175.097728,175.097690832,175.097582542,1423219.6,-9999,617921.3,9.71,-1,0.618459848,0.932950833,0,0.5597705,1,0.5,2,O4,de-protonated,0,-9999,C8 H16 O4,8,16,4,-9999,-9999,-9999,-9999,-9999,-9999
216,179.035148,179.035108849,179.034982284,1786516.6,-9999,596150.9,12.81,-1,0.70693167,0.913310459,0,0.547986275,6,0.444444444,0.888888889,O4,de-protonated,0,-9999,C9 H8 O4,9,8,4,-9999,-9999,-9999,-9999,-9999,-9999
218,181.014414,181.014373852,181.014246839,1749936.3,-9999,747289,12.46,-1,0.701676756,0.914537954,0,0.548722772,6,0.625,0.75,O5,de-protonated,0,-9999,C8 H6 O5,8,6,5,-9999,-9999,-9999,-9999,-9999,-9999
222,185.082091,185.082048804,185.081932477,2235421.3,-9999,670320.8,16.59,-1,0.628513252,0.930831062,0,0.558498637,3,0.444444444,1.555555556,O4,de-protonated,0,-9999,C9 H14 O4,9,14,4,-9999,-9999,-9999,-9999,-9999,-9999
226,186.077325,186.077282302,186.077181449,1210373.1,-9999,494260.9,7.8,-1,0.541995401,0.948093467,0,0.56885608,3,0.5,1.625,N1 O4,de-protonated,0,-9999,C8 H13 O4 N1,8,13,4,1,-9999,-9999,-9999,-9999,-9999
227,186.113734,186.113691284,186.113566959,4145933.3,-9999,615326.4,32.98,-1,0.66800766,0.922222634,0,0.553333581,2,0.333333333,1.888888889,N1 O3,de-protonated,0,-9999,C9 H17 O3 N1,9,17,3,1,-9999,-9999,-9999,-9999,-9999
229,187.061349,187.061305807,187.061197032,1846234.4,-9999,795157.1,13.23,-1,0.58149121,0.940490612,0,0.564294367,3,0.625,1.5,O5,de-protonated,0,-9999,C8 H12 O5,8,12,5,-9999,-9999,-9999,-9999,-9999,-9999
231,187.09775,187.097706788,187.097582542,16877538,-9999,605540.8,141.89,-1,0.664074629,0.915087231,0.997640185,0.948108413,2,0.444444444,1.777777778,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999
232,187.134122,187.13407877,187.133968051,1500393.5,-9999,676872.6,10.27,-1,0.591656819,0.938457671,0,0.563074603,1,0.3,2,O3,de-protonated,0,-9999,C10 H20 O3,10,20,3,-9999,-9999,-9999,-9999,-9999,-9999
235,188.101119,188.101075283,188.100937377,1595050.6,-9999,702698,11.07,-1,0.733150624,0.907074717,0.997640185,0.943300904,2,0.444444444,1.777777778,13C1 O4,de-protonated,1,231,C8 H16 O4 13C1,8,16,4,-9999,-9999,-9999,1,-9999,-9999
237,189.077024,189.076979791,189.076847097,2006367.1,-9999,584125.3,14.59,-1,0.701803242,0.914508496,0,0.548705098,2,0.625,1.75,O5,de-protonated,0,-9999,C8 H14 O5,8,14,5,-9999,-9999,-9999,-9999,-9999,-9999
238,189.113413,189.113368773,189.113232606,1594213.5,-9999,650122.7,11.07,-1,0.720029288,0.910218452,0,0.546131071,1,0.444444444,2,O4,de-protonated,0,-9999,C9 H18 O4,9,18,4,-9999,-9999,-9999,-9999,-9999,-9999
242,193.014451,193.014404808,193.014246839,1199150.1,-9999,559062.4,7.65,-1,0.818433965,0.885555163,0,0.531333098,7,0.555555556,0.666666667,O5,de-protonated,0,-9999,C9 H6 O5,9,6,5,-9999,-9999,-9999,-9999,-9999,-9999
243,193.032924,193.032877799,193.032874284,1265712.5,-9999,354028,8.21,-1,0.018211929,0.99993982,0,0.599963892,6,0.2,1,S1 O2,de-protonated,0,-9999,C10 H10 O2 S1,10,10,2,-9999,-9999,1,-9999,-9999,-9999
244,193.050796,193.05074979,193.050632348,1171506.6,-9999,706316,7.41,-1,0.608346929,0.935053422,0,0.561032053,6,0.4,1,O4,de-protonated,0,-9999,C10 H10 O4,10,10,4,-9999,-9999,-9999,-9999,-9999,-9999
245,193.087207,193.087160772,193.087017858,2224823.3,-9999,599325.9,16.39,-1,0.740153697,0.905378148,0,0.543226889,5,0.272727273,1.272727273,O3,de-protonated,0,-9999,C11 H14 O3,11,14,3,-9999,-9999,-9999,-9999,-9999,-9999
246,194.082477,194.08243027,194.08226683,1662892,-9999,576017.9,11.6,-1,0.842120117,0.879257663,0,0.527554598,5,0.3,1.3,N1 O3,de-protonated,0,-9999,C10 H13 O3 N1,10,13,3,1,-9999,-9999,-9999,-9999,-9999
249,195.030088,195.030040793,195.029896903,2257808.8,-9999,636971.3,16.67,-1,0.737782971,0.905953931,0,0.543572359,6,0.555555556,0.888888889,O5,de-protonated,0,-9999,C9 H8 O5,9,8,5,-9999,-9999,-9999,-9999,-9999,-9999
250,195.066498,195.066450775,195.066282413,1197972.3,-9999,619013.9,7.64,-1,0.863101741,0.873568072,0,0.524140843,5,0.4,1.2,O4,de-protonated,0,-9999,C10 H12 O4,10,12,4,-9999,-9999,-9999,-9999,-9999,-9999
251,195.139233,195.139185738,195.139053431,1978523.6,-9999,628934,14.29,-1,0.67801248,0.919971922,0,0.551983153,3,0.166666667,1.666666667,O2,de-protonated,0,-9999,C12 H20 O2,12,20,2,-9999,-9999,-9999,-9999,-9999,-9999
256,197.009368,197.009319796,197.009161458,1258819.5,-9999,774112,8.13,-1,0.803707396,0.889401978,0,0.533641187,6,0.75,0.75,O6,de-protonated,0,-9999,C8 H6 O6,8,6,6,-9999,-9999,-9999,-9999,-9999,-9999
257,197.082175,197.08212676,197.081932477,1171913.3,-9999,516381.5,7.4,-1,0.985794827,0.83834105,0,0.50300463,4,0.4,1.4,O4,de-protonated,0,-9999,C10 H14 O4,10,14,4,-9999,-9999,-9999,-9999,-9999,-9999
263,199.007227,199.00717779,199.007053458,2858961.3,-9999,527432.5,21.74,-1,0.624760448,0.931625778,0,0.558975467,5,0.5,1,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999,-9999
264,199.061394,199.061344763,199.061197032,2250196.8,-9999,581169.5,16.56,-1,0.742135413,0.904895709,0,0.542937425,4,0.555555556,1.333333333,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,-9999,-9999
266,199.097757,199.097707744,199.097582542,13659607,-9999,556250.6,113.6,-1,0.628850923,0.911345394,0.983068714,0.940034722,3,0.4,1.6,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,-9999
269,200.101146,200.101096239,200.100937377,1198608.3,-9999,738599.7,7.6,-1,0.793910576,0.891931433,0.983068714,0.928386345,3,0.4,1.6,13C1 O4,de-protonated,1,266,C9 H16 O4 13C1,9,16,4,-9999,-9999,-9999,1,-9999,-9999
271,201.077024,201.076973747,201.076847097,3739200.5,-9999,563939.9,29.16,-1,0.629862117,0.930544423,0,0.558326654,3,0.555555556,1.555555556,O5,de-protonated,0,-9999,C9 H14 O5,9,14,5,-9999,-9999,-9999,-9999,-9999,-9999
272,201.113407,201.113356729,201.113232606,9241154,-9999,540145.2,75.85,-1,0.617179745,0.933218634,0,0.55993118,2,0.4,1.8,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999,-9999
273,201.124605,201.124554723,201.124465995,1800770.8,-9999,593055.5,12.71,-1,0.44116007,0.965302318,0,0.579181391,2,0.333333333,2,N2 O3,de-protonated,0,-9999,C9 H18 O3 N2,9,18,3,2,-9999,-9999,-9999,-9999,-9999
274,201.149757,201.149706711,201.149618115,1292355.9,-9999,503050.4,8.4,-1,0.440445057,0.965412733,0,0.57924764,1,0.272727273,2,O3,de-protonated,0,-9999,C11 H22 O3,11,22,3,-9999,-9999,-9999,-9999,-9999,-9999
277,202.1086,202.108549228,202.108481578,1183084.1,-9999,406954,7.47,-1,0.334719072,0.979876299,0,0.58792578,2,0.444444444,1.888888889,N1 O4,de-protonated,0,-9999,C9 H17 O4 N1,9,17,4,1,-9999,-9999,-9999,-9999,-9999
280,203.056221,203.056169751,203.056111652,1323150.1,-9999,562900,8.66,-1,0.286121474,0.985255395,0,0.591153237,3,0.75,1.5,O6,de-protonated,0,-9999,C8 H12 O6,8,12,6,-9999,-9999,-9999,-9999,-9999,-9999
281,203.092679,203.092627732,203.092497161,1466127.3,-9999,541216.2,9.87,-1,0.642913957,0.927743763,0,0.556646258,2,0.555555556,1.777777778,O5,de-protonated,0,-9999,C9 H16 O5,9,16,5,-9999,-9999,-9999,-9999,-9999,-9999
282,203.129049,203.128997714,203.128882671,1246352.5,-9999,705206.1,8.01,-1,0.56635635,0.943459922,0,0.566075953,1,0.4,2,O4,de-protonated,0,-9999,C10 H20 O4,10,20,4,-9999,-9999,-9999,-9999,-9999,-9999
285,205.050832,205.050779746,205.050632348,1136580.8,-9999,591990.6,7.06,-1,0.718835558,0.910502174,0,0.546301304,7,0.363636364,0.909090909,O4,de-protonated,0,-9999,C11 H10 O4,11,10,4,-9999,-9999,-9999,-9999,-9999,-9999
290,207.030075,207.030021749,207.029896903,1674472.6,-9999,635685.3,11.61,-1,0.603032169,0.93614639,0,0.561687834,7,0.5,0.8,O5,de-protonated,0,-9999,C10 H8 O5,10,8,5,-9999,-9999,-9999,-9999,-9999,-9999
294,209.009339,209.009284752,209.009161458,4249343,-9999,526901.9,33.33,-1,0.589896052,0.938811999,0,0.5632872,7,0.666666667,0.666666667,O6,de-protonated,0,-9999,C9 H6 O6,9,6,6,-9999,-9999,-9999,-9999,-9999,-9999
295,209.04572,209.045665734,209.045546968,1404031.5,-9999,461265.4,9.3,-1,0.568134585,0.943114629,0,0.565868777,6,0.5,1,O5,de-protonated,0,-9999,C10 H10 O5,10,10,5,-9999,-9999,-9999,-9999,-9999,-9999
299,211.024978,211.024922737,211.024811523,2251533.5,-9999,534766.4,16.46,-1,0.527018595,0.950851749,0,0.570511049,6,0.666666667,0.888888889,O6,de-protonated,0,-9999,C9 H8 O6,9,8,6,-9999,-9999,-9999,-9999,-9999,-9999
300,211.061392,211.061336719,211.061197032,1523981.6,-9999,523107.1,10.31,-1,0.66182847,0.923598713,0,0.554159228,5,0.5,1.2,O5,de-protonated,0,-9999,C10 H12 O5,10,12,5,-9999,-9999,-9999,-9999,-9999,-9999
301,211.097738,211.0976827,211.097582542,1574157.9,-9999,591320.5,10.71,-1,0.474466128,0.959975626,0,0.575985375,4,0.363636364,1.454545455,O4,de-protonated,0,-9999,C11 H16 O4,11,16,4,-9999,-9999,-9999,-9999,-9999,-9999
302,211.134138,211.134082682,211.133968051,1136142,-9999,589355.5,7.02,-1,0.542930017,0.947919047,0,0.568751428,3,0.25,1.666666667,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,-9999
307,213.077042,213.076985703,213.076847097,2049560.3,-9999,459393.9,14.71,-1,0.650500633,0.926093381,0,0.555656028,4,0.5,1.4,O5,de-protonated,0,-9999,C10 H14 O5,10,14,5,-9999,-9999,-9999,-9999,-9999,-9999
308,213.113396,213.113339685,213.113232606,5618968.5,-9999,492239.9,44.78,-1,0.502451031,0.95522535,0,0.57313521,3,0.363636364,1.636363636,O4,de-protonated,0,-9999,C11 H18 O4,11,18,4,-9999,-9999,-9999,-9999,-9999,-9999
309,213.149763,213.149706667,213.149618115,1815576.6,-9999,552097.8,12.74,-1,0.415441966,0.969168689,0,0.581501213,2,0.25,1.833333333,O3,de-protonated,0,-9999,C12 H22 O3,12,22,3,-9999,-9999,-9999,-9999,-9999,-9999
