Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
107,129.055815,129.055722794,129.055717729,5965879,-9999,649463.2,52.38,-1,0.039247908,0.999720536,0,0.599832321,2,0.5,1.666666667,O3,de-protonated,0,-9999,C6 H10 O3,6,10,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
149,145.050739,145.050641273,145.050632348,1527630,-9999,722669.7,11.21,-1,0.061529402,0.999313295,0,0.599587977,2,0.666666667,1.666666667,O4,de-protonated,0,-9999,C6 H10 O4,6,10,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
172,159.066435,159.066332436,159.066282413,1910987,-9999,816832.2,14.34,-1,0.314477957,0.982215427,0,0.589329256,2,0.571428571,1.714285714,O4,de-protonated,0,-9999,C7 H12 O4,7,12,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
197,165.019475,165.019370381,165.019332219,6897202,-9999,651102.2,57.8,-1,0.231254733,0.990343279,0,0.594205968,6,0.5,0.75,O4,de-protonated,0,-9999,C8 H6 O4,8,6,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
212,169.087165,169.087058977,169.087017858,1107270.5,-9999,613852,7.08,-1,0.243183959,0.989326776,0,0.593596065,3,0.333333333,1.555555556,O3,de-protonated,0,-9999,C9 H14 O3,9,14,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
215,171.012305,171.012198312,171.012138839,1596098.4,-9999,739846.9,11.31,-1,0.347775078,0.97829329,0,0.586975974,4,0.428571429,1.142857143,S1 O3,de-protonated,0,-9999,C7 H8 O3 S1,7,8,3,-9999,-9999,1,-9999,-9999,-9999,-9999
216,171.066444,171.066337294,171.066282413,1901916.6,-9999,704349.3,13.97,-1,0.320817071,0.981497953,0,0.588898772,3,0.5,1.5,O4,de-protonated,0,-9999,C8 H12 O4,8,12,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
220,173.082073,173.081965598,173.081932477,5065238.5,-9999,602428.4,41.3,-1,0.191359202,0.993377674,0,0.596026605,2,0.5,1.75,O4,de-protonated,0,-9999,C8 H14 O4,8,14,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
226,175.09773,175.097621902,175.097582542,1152412,-9999,671207.4,7.39,-1,0.224792638,0.99087299,0,0.594523794,1,0.5,2,O4,de-protonated,0,-9999,C8 H16 O4,8,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
231,179.035133,179.035023543,179.034982284,2285003.3,-9999,711109.1,17.12,-1,0.230454826,0.990409648,0,0.594245789,6,0.444444444,0.888888889,O4,de-protonated,0,-9999,C9 H8 O4,9,8,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
