Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
165,163.040234,163.039928427,163.040067664,1249175.6,-9999,782511.2,8.42,-1,-0.854006012,0.876047213,0,0.525628328,6,0.333333333,0.888888889,O3,de-protonated,0,-9999,C9 H8 O3,9,8,3,-9999,-9999,-9999,-9999,-9999
174,165.019522,165.019219903,165.019332219,2932086,-9999,657114.7,23.12,-1,-0.680622868,0.919380093,0,0.551628056,6,0.5,0.75,O4,de-protonated,0,-9999,C8 H6 O4,8,6,4,-9999,-9999,-9999,-9999,-9999
188,171.012348,171.012056429,171.012138839,1617085.5,-9999,642258.4,11.5,-1,-0.481893023,0.958739216,0,0.575243529,4,0.428571429,1.142857143,S1 O3,de-protonated,0,-9999,C7 H8 O3 S1,7,8,3,-9999,-9999,1,-9999,-9999
189,171.066479,171.066187524,171.066282413,1579863.9,-9999,637268.3,11.18,-1,-0.554688924,0.945701692,0,0.567421015,3,0.5,1.5,O4,de-protonated,0,-9999,C8 H12 O4,8,12,4,-9999,-9999,-9999,-9999,-9999
193,173.082132,173.081844064,173.081932477,5157517,-9999,651395.4,42.12,-1,-0.510814637,0.953757631,0,0.572254579,2,0.5,1.75,O4,de-protonated,0,-9999,C8 H14 O4,8,14,4,-9999,-9999,-9999,-9999,-9999
198,180.033802,180.033526274,180.033602559,1118829.6,-9999,612238.9,7.07,-1,-0.423727387,0.967946767,0,0.58076806,1,0.8,2.2,N1 S1 O4,de-protonated,0,-9999,C5 H11 O4 N1 S1,5,11,4,1,-9999,1,-9999,-9999
199,181.014459,181.014184997,181.014246839,4092511.8,-9999,585903.2,32.63,-1,-0.341643573,0.979043944,0,0.587426366,6,0.625,0.75,O5,de-protonated,0,-9999,C8 H6 O5,8,6,5,-9999,-9999,-9999,-9999,-9999
200,183.06652,183.066249601,183.066282413,1965987.9,-9999,626955.3,14.34,-1,-0.179235466,0.994187853,0,0.596512712,4,0.444444444,1.333333333,O4,de-protonated,0,-9999,C9 H12 O4,9,12,4,-9999,-9999,-9999,-9999,-9999
203,185.02803,185.027763046,185.027788903,1772934.4,-9999,611044.3,12.65,-1,-0.139747595,0.996462689,0,0.597877613,4,0.375,1.25,S1 O3,de-protonated,0,-9999,C8 H10 O3 S1,8,10,3,-9999,-9999,1,-9999,-9999
204,185.082157,185.081890141,185.081932477,2355858.8,-9999,613872.8,17.65,-1,-0.228743078,0.990550914,0,0.594330549,3,0.444444444,1.555555556,O4,de-protonated,0,-9999,C9 H14 O4,9,14,4,-9999,-9999,-9999,-9999,-9999
205,186.113817,186.113551953,186.113566959,2110581,-9999,620996.4,15.55,-1,-0.080626989,0.99882115,0,0.59929269,2,0.333333333,1.888888889,N1 O3,de-protonated,0,-9999,C9 H17 O3 N1,9,17,3,1,-9999,-9999,-9999,-9999
