Sample_Name,Calibration_Points,Calibration_Threshold,Calibration_RMSE,Calibration_Order
HJA_CC-1-15m_p1,9,0.6,0.182295709,1
HJA_WS1-2_p1,168,0.6,0.150062556,1
HJA_WS1-3_p1,104,0.6,0.105328315,1
HJA_WS1-7_p1,28,0.6,0.138391449,1
HJA_WS1-8_p1,94,0.6,0.161058988,1
HJA_WS1-5_p1,16,0.6,0.206010881,1
HJA_WS1_250m_p1,38,0.6,0.175158511,1
HJA_155_p1,120,0.6,0.181956215,1
HJA_156_p1,205,0.6,0.156149807,1
HJA_WS3-1_30m_p1,6,0.6,0.086508274,1
HJA_160_p1,8,0.6,0.251398819,1
HJA_161_p1,194,0.6,0.151182872,1
HJA_162_p1,35,0.6,0.107220967,1
HJA_163_p1,134,0.6,0.137242895,1
HJA_164_p1,8,1,0.48227463,1
HJA_165_p1,95,0.6,0.204820085,1
HJA_169_p1,6,0.8,0.177445794,1
HJA_WS3-2_p1,151,0.6,0.121828785,1
HJA_170_p1,6,1.3,0.907335218,1
HJA_177_p1,6,0.7,0.247568757,1
HJA_178_p1,6,0.9,0.273845309,1
HJA_WS3-3_p1,7,0.6,0.117840525,1
HJA_WS3-4_p1,9,1.3,0.298399728,1
HJA_190_p1,40,0.6,0.148173247,1
HJA_192_p1,40,0.6,0.138688246,1
HJA_CC-4-250m_p1,9,1.1,0.413527505,1
HJA_WS3-5_p1,174,0.6,0.162247091,1
HJA_WS3-6_p1,8,0.6,0.206598428,1
HJA_260_p1,52,0.6,0.171602007,1
HJA_CC-3-100m_p1,9,1.4,0.06431047,1
HJA_360_p1,9,0.6,0.244686266,1
HJA_CC-2-55m_p1,7,1.1,0.130294771,1
HJA_45_p1,57,0.6,0.1620847,1
HJA_47_p1,96,0.6,0.109248633,1
HJA_49_p1,15,0.6,0.106205596,1
HJA_KC-2-360m_p1,28,0.6,0.114671477,1
HJA_50_p1,205,0.6,0.137950843,1
HJA_53_p1,9,0.7,0.226025768,1
HJA_54_p1,64,0.6,0.134804158,1
HJA_55_p1,159,0.6,0.147667159,1
HJA_56_p1,150,0.6,0.159627306,1
HJA_57_p1,138,0.6,0.124387035,1
HJA_58_p1,31,0.6,0.161556908,1
HJA_WS1-6_p1,12,0.9,0.049241121,1
HJA_60_p1,15,0.6,0.089358971,1
HJA_64_p1,15,1.6,0.085503214,1
HJA_65_p1,16,0.6,0.232074419,1
HJA_66_p1,199,0.6,0.171340132,1
HJA_68_p1,17,0.6,0.186655625,1
HJA_KerryCreek2_p1,47,0.6,0.163947428,1
HJA_71_p1,170,0.6,0.137971293,1
HJA_72_p1,28,0.6,0.101768526,1
HJA_73_p1,7,0.7,0.15855332,1
HJA_74_p1,35,0.6,0.098555245,1
HJA_76_p1,7,1.2,0.438188647,1
HJA_KC-1-275m_p1,19,0.6,0.160599249,1
HJA_82_p1,108,0.6,0.135404312,1
HJA_83_p1,14,0.6,0.110509155,1
HJA_84_p1,12,0.6,0.147298248,1
HJA_KC-3-400m_p1,135,0.6,0.157987875,1
