Calibrated_Mass,HJA_155_p1,HJA_156_p1,HJA_160_p1,HJA_161_p1,HJA_162_p1,HJA_163_p1,HJA_164_p1,HJA_165_p1,HJA_169_p1,HJA_170_p1,HJA_177_p1,HJA_178_p1,HJA_190_p1,HJA_192_p1,HJA_260_p1,HJA_360_p1,HJA_45_p1,HJA_47_p1,HJA_49_p1,HJA_50_p1,HJA_53_p1,HJA_54_p1,HJA_55_p1,HJA_56_p1,HJA_57_p1,HJA_58_p1,HJA_60_p1,HJA_64_p1,HJA_65_p1,HJA_66_p1,HJA_68_p1,HJA_71_p1,HJA_72_p1,HJA_73_p1,HJA_74_p1,HJA_76_p1,HJA_82_p1,HJA_83_p1,HJA_84_p1,HJA_CC-1-15m_p1,HJA_CC-2-55m_p1,HJA_CC-3-100m_p1,HJA_CC-4-250m_p1,HJA_KC-1-275m_p1,HJA_KC-2-360m_p1,HJA_KC-3-400m_p1,HJA_KerryCreek2_p1,HJA_WS1-2_p1,HJA_WS1-3_p1,HJA_WS1-5_p1,HJA_WS1-6_p1,HJA_WS1-7_p1,HJA_WS1-8_p1,HJA_WS1_250m_p1,HJA_WS3-1_30m_p1,HJA_WS3-2_p1,HJA_WS3-3_p1,HJA_WS3-4_p1,HJA_WS3-5_p1,HJA_WS3-6_p1
193.032877799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265712.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.055792762,0,0,0,0,0,0,0,0,0,0,0,0,1225540.6,1173233.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405084.5,0,0,0,0,0,0,0,1373100.6,0,0,0,0,0,1218780.9
193.050715706,1567603.5,1871505.6,1230377.4,0,1735863.1,1143459.8,1312088.1,0,1632895.4,1600600.5,0,1143019.1,1291297.1,1440809.5,1834667.9,8637810,1758514.4,1801379.8,1970145.9,0,1586114,1684372.8,0,0,2058805,1974336.9,1983361.3,2054727.1,4519999.5,0,1171506.6,1285022.5,1186146.1,1531091.1,1355473.4,0,0,1315157.8,1181124.8,1519447.3,2845441.5,1472938.9,0,1530722,1969592,0,1383221.6,1711169.8,1444570.4,1821275.9,1456149.4,1606672.4,1376426.4,1424881.1,1306847.8,1260666.3,0,1537361.6,0,3231091
238.027674916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176318.6,0,0,0,0,0,0,0,0
209.045585185,1429665.8,1602547.4,1700231.3,0,2389934.3,1229262.5,1955619.1,0,2275150.8,2366249.8,1810178.6,2186929.8,1360476.5,2325809,2350778.8,2270953.3,1986831.5,1695390.3,2559140.5,1872538.6,2344425.5,1827086.5,1307568.6,0,2162403.8,2730577.3,3390080.3,3136476,0,1505593.5,1404031.5,1577514.9,1997153.1,2930761.8,0,2573459.8,1622731.9,2450724.5,1946759.4,2182008.8,2861846.3,2561921.5,2449001,1927375.1,2391112,1330482.9,2098774.8,2250617.8,1629252.1,2354920.5,2111885,1895942.6,1942778.6,1517669.5,2306146.8,1753222.4,0,3747621.3,1338389.8,3128171.5
237.051835447,0,0,0,0,0,0,1299731.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265.057952852,16921666,5657326,12811168,3617926,11231491,3825713.8,42132852,0,22620024,47146540,13178164,25549548,26322520,12695547,33793992,16666426,14778563,3246565.8,23219656,7362898,31466230,17498168,4262150,3917039.3,3272465.5,14471455,22551360,13401799,4745732.5,21737278,11152595,11110655,20202786,21803310,13849600,0,4975106.5,14674817,15202989,10376306,29549210,48163644,9037770,50939420,21186334,21377556,32674530,20866132,3085350,11375669,12389687,16302866,8233071,10604148,101861304,26223238,0,26512480,7318235.5,22027628
225.040505664,2112684.8,1804892.4,1975663.6,0,1930085.5,0,3227873.8,0,3681604.8,2888824.3,1900876.8,2406143.3,1924807.1,2345865.3,2388839,1895287.6,2275794.5,1797330.4,2218041.5,1524587.6,1984333.6,1989142.6,1224433.6,0,1559466.9,2091617.8,2081856.1,3569029.3,1373213.9,1356507.1,1233705.5,1202635.4,1760007.6,3036081,1584086.5,2844550.3,1665637.5,1831710.4,2154915.5,2078646.5,3177122.8,3363870.5,3931393.3,1783387.5,2047465,0,2096220.3,2025238.4,1538420,2466851.8,2317680.8,1912959.4,1970876.4,2273428,2370673,1770569.6,0,3288855.3,1463701.9,4034486
281.052885331,4487899.5,0,3936750.5,0,3506779.5,0,23612068,0,13208851,0,4421025.5,7462927,5796446,6091518,9982341,3127052,2864280.3,1273279.6,7651729.5,3095072.8,7556869,3949165.5,1546232.5,0,1512742.4,4480622.5,6345887.5,10912771,1926500.5,4780072.5,2616186,4019351.8,4710621.5,6927037.5,4711167.5,0,1785162.8,3134405,4287670,2537162.3,9558026,20869526,0,12278673,4582512,4621094,8051332.5,3916867.8,2680137.5,1778383,3250076,5461534.5,2063534.6,2716793.3,37903240,6571242.5,0,10247263,0,5067428.5
257.012761138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351548.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.035419144,1558347.3,1458833,1966239.3,0,1789226.1,0,2563585,0,2411940.8,2677203.8,1707904.5,2528546,0,1500119.1,1605134.5,1329756.9,1429023.3,1380732.4,2054786.3,0,1683956.9,1545988.3,0,0,1416540.3,1814604.4,1813640.4,3297257,0,0,1435344.1,0,1895568.4,2898182.3,1571976,3319721,0,1702006.9,0,1772358.4,2945509.5,2994159.8,3196694.3,1359123.9,1263585.4,0,0,1178962.8,1238685.9,1869232.6,1571533.9,2054633.8,1474702.3,1374631.3,1828134.1,1301534.1,0,3490248,0,2661490.5
257.030419623,1820924.9,0,1420082.6,0,1489961.6,0,1801310.8,0,2465167.3,0,2189684.3,1850148.8,1313763.9,2073002.5,0,1441904.4,0,1911494.8,1902005.4,0,1285786.9,0,0,0,0,1768815,1519855.8,2999607.3,0,1249104.5,0,0,0,1916854.6,0,3581425.5,1436910.9,1509666.5,1346348.9,1957689,2651546,2350251.5,3010734.8,0,1397277.6,0,0,1486321.8,0,1808797.6,1859591.6,0,1497063.4,1630331.6,1305453.9,0,1527943.4,2471140,0,1718886.3
273.025426278,0,0,0,0,0,0,1541886.8,0,1265676.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567000,0,0,0,0,0,1356176.8,0,1606319.9,0,1226620.6,1224218.6,0,1422013.4,0,1596565.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.056476858,0,0,0,0,1188793.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510587.8,0,0
240.051453483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311319.4,0,0,0,0,0,1245195.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1589975.6,0,1554581.3
256.046291632,0,0,0,0,0,0,0,0,1404650.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304715.9,0,0
179.071393184,0,1325485.6,0,0,0,0,0,0,1538641.9,0,0,1269179.6,1823578.4,1150857.5,1270728.4,1148152.6,1582755.4,1306586.5,1217846.6,0,1533366.6,1169690.5,0,0,0,1120614,1281705,16108769,0,1159735.1,0,0,1365769.6,1216004,0,0,1596196.6,1680005.5,1637367,0,1772424.3,1253478.3,0,0,0,1536135.6,0,1512930.8,1699121.3,2192042.5,0,1720972.1,1430506.3,1595062.1,2260375,3140764.3,0,1437463.4,0,1773972.3
195.06631801,0,1529553,1147758.6,0,1687761.5,0,1503192.8,0,1211439,0,0,1925831.5,1496667.1,1483384.6,2028858.3,1989829.1,1999921.3,1181667.3,1830233.6,1362654.9,1762333.9,1758169.5,0,0,1257597.9,1308114.3,1908426.4,5464203,1576755.9,0,1197972.3,1324855.4,1186722.9,1848567.9,0,1264406.9,1279607.9,1904849.8,1731969.3,1300776.1,1672538,2149899.5,1443341.6,1741919,1915603.1,1745245.9,1347965,0,1829398.8,2023588.1,0,2000486.3,2055680.8,2244334.5,2596273.5,1689295.5,0,2695287.8,0,2777083.8
251.078671677,7536786,4713528.5,3965326,2731367.8,6157897,3067612,39580816,0,2643695.8,2044646.9,6434008,4938380.5,3325050.3,0,10598941,6917358.5,14464677,2167428.8,24305332,10571572,19653950,7853722.5,3091851.8,2315498.5,1879113.9,12629766,3905496.3,4061914.5,4281457,9224690,2675999.3,4873617.5,7680398,6918533,11516165,5157672.5,1345741.8,4776494.5,2637930.8,16164108,13534159,4368755,11472200,30602200,10329439,18333962,18846686,8553614,5197995,6374872.5,5607419,2106076.5,5745736,2161306.8,5106725.5,3193416.5,0,7978252,5385543,1851527
227.038308404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342885.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153554.3,0,0,0,0,0,0,0,0
211.061251489,1829115.5,1963872.3,2034923.1,1233828.5,2452453.5,0,3334477.8,0,2975912.8,3027170.5,2132034.8,1817403.4,2151366.5,2118840.8,3242110.5,3160972.5,2862275.3,1904018,2861747,2270471.5,2621797.3,2265720.3,0,0,1832283.3,2501023,2985742,4153937,2734455,1857718.1,1523981.6,1626986.4,1822932.3,2726294.3,1493026.9,3784646.3,1683227.9,2660437,1917165.9,2447362.5,3038098.8,3459372.8,3084132.3,2247945.5,2508714.3,2015245.1,2110282.5,2524939.3,1784758.9,2255445.3,1750232.1,3939454.8,2058637.9,2895609.8,4041957.3,2495749.5,0,3225999.3,1445916.4,4087348.8
239.067349823,1940423.1,1529381.6,0,0,2225380,1761379.4,0,0,4432935.5,0,0,0,5499864.5,1697351.9,1896370.3,1599232.3,0,0,1318591.9,0,0,0,0,0,0,0,1390673.8,0,0,0,0,0,0,0,0,0,0,0,0,1188310.8,1246372,0,0,1661524.4,1634856.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267.073610156,6279845,3618095,5329369.5,2330758,7323483.5,2864257.8,15693846,0,6026774.5,8153210,6780864,7183742.5,5176529.5,3048034.5,11033071,6780416,10326922,3167811.5,18141234,8241015.5,15449408,5676646,3469087.5,2182282.5,1765193.3,8414174,7056877,4603730,4233415.5,8468818,3130242,5523307,10209168,7648185,8085953,0,2061155.9,5999164.5,4603111.5,11822820,13612302,11611645,10674873,21993694,8501715,13706422,13778243,6262472,3478154,4195961,4154325.3,3859800.3,4279522,3385562.5,14721571,7311556,0,10379103,2724601.8,3001864.8
243.033292676,0,0,1810436.3,0,0,1315694.4,2762924.3,0,2386502.5,1467205.3,0,0,0,0,0,7037918,0,1959448.9,0,2789461.3,1284408.8,1290841.1,0,0,0,0,0,2053500.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11377979,0,5245853,1554768,0,2853378.5,7553216.5,0,0,4411337,0,0
227.056181969,1459533.9,0,2070006.5,1348964.9,2191057.5,0,2761572,0,1244383.6,2323771.5,1888473.6,1985981,1429613.3,1908555.6,2062901.9,2057840.8,1923440.8,1304959.6,2465674,1249669.8,1733844.4,1657244.3,0,1242741,1461593.5,2207512,1190169.4,3048237,0,1204723.4,1299882.4,1596875.3,1495601.8,2635314,1435814.8,2682892.3,1186033.3,0,0,1846379.6,2735413.8,3101455,2139503.5,1163782,1416618.6,0,1414651.3,1383901.1,1282977.1,1664182.3,1443355.8,2381331.8,1294350.1,1289954.9,1989156.4,1625322.1,0,2732776.8,0,2832048.3
255.062353302,142489808,35379244,129644872,21972210,72955432,24917250,1372633344,4014922.5,359447360,978631616,107346224,280018656,218053296,200883328,220151232,101007848,110623616,34044068,177582752,53811972,287357120,200619568,29804324,23848330,28695120,96599016,272776832,527481600,43742488,118207864,89667560,57284008,99940784,160544144,186137584,187578272,36124376,210908864,108656696,36591900,210909088,1103543808,40718884,429373632,117619240,109639064,216774608,131348680,55982288,93518248,80771232,266385552,52452520,109867896,1314700416,307935232,878100160,1219804672,56415464,435208480
283.068503636,2723084.3,1764585.8,2048071.3,1255452.9,4506327,0,5100866,0,3927515,5636227.5,2983973.5,4498116.5,3430623.5,2053450.3,5293012,3206059,3846450.3,1777933.4,4129302.5,2246687.3,3282901.8,3638993.3,2207254,1349161.9,0,1388524.9,3808064.8,2541773,0,3139148.5,1550551.8,3293962.8,3416921.3,4161951.8,3493133.3,0,0,3627668.5,2944760.3,1589363.3,3411207.5,5900392,0,5805585.5,3468030.3,1867453,3912973.5,2258632.3,0,1562160.4,0,1701537,1556732.5,1888021.1,6102541,4020037,0,4528981.5,1422152.5,2481491.8
259.028433993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338825.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.051100448,1810421.9,0,2706183.5,0,2824597.8,0,3520688.3,0,2227530.3,2530888.8,2501928.3,1826514.8,1346167.9,2092682.9,2057351.4,3077602.5,1644286.8,1420316.8,2576364.8,1355096.8,2186555.8,1685852.3,0,0,2116858.8,3101753.5,2018918.9,3414912.5,1695307.5,0,1534627.6,0,1761580.9,2741378.8,1302203.8,2980693.5,1599919,2166317,1520304.1,2205145.3,3706697.3,2677465.3,3399900.3,2029825.3,2067653,0,1728223.4,1688830.3,0,1728292.4,1722785.4,2053203.4,2080595.5,0,0,1927316.6,0,3391949.8,1211085.3,3417674.8
