Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
193.032877799,10,10,2,0,1,0,0,S1 O2,193.032874284,0.018211929,C10H10O2S,0.428571429,0.5,6,4,3,71.7,192.817335563,0.182664437,-0.4,0.2,1,0,0,-9999,Other,Lignin,Other,71.7,-148.046138454,0.097177236,0.086499647,717,-1480.461384537
177.055792762,10,10,3,0,0,0,0,O3,177.055717729,0.423782652,C10H10O3,0.428571429,0.529411765,6,3,3,71.7,176.858090682,0.141909318,-0.4,0.3,1,0,0,-9999,Lignin,Lignin,Other,71.7,-144.050754118,0.097177236,0.08796575,717,-1440.507541182
193.050715706,10,10,4,0,0,0,0,O4,193.050632348,0.431790537,C10H10O4,0.333333333,0.5,6,2,2,66,192.835153552,0.164846448,-0.2,0.4,1,0,0,-9999,Lignin,Lignin,Other,66,-141.759985447,0.114076155,0.095932566,660,-1417.599854472
238.027674916,10,10,4,1,0,1,0,N1 P1 O4,238.027468351,0.867820181,C10H10O4NP,0.25,0.5,7,3,1,71.7,237.761891088,0.238108912,-0.4,0.4,1,0.1,0.1,1,Lignin,Lignin,Phytochemical,71.7,-148.046138454,0.097177236,0.086499647,717,-1480.461384537
209.045585185,10,10,5,0,0,0,0,O5,209.045546968,0.182817407,C10H10O5,0.2,0.466666667,6,1,1,60.3,208.812163017,0.187836983,0,0.5,1,0,0,-9999,Lignin,Lignin,Other,60.3,-139.469216776,0.115696287,0.098021263,603,-1394.692167761
237.051835447,10,10,5,2,0,0,0,N2 O5,237.051694977,0.592572513,C10H10O5N2,0,0.454545455,7,2,0,43.2,236.78714125,0.21285875,0.6,0.5,1,0.2,0,-9999,Lignin,Lignin,Protein,43.2,-124.606142092,0.12331573,0.111755883,432,-1246.061420919
265.057952852,10,10,5,4,0,0,0,N4 O5,265.057842986,0.414500178,C10H10O5N4,0,0.428571429,8,3,-1,26.1,264.761986774,0.238013226,1.2,0.5,1,0.4,0,-9999,Lignin,Lignin,Protein,26.1,-109.743067408,0.140794973,0.129741699,261,-1097.430674078
225.040505664,10,10,6,0,0,0,0,O6,225.040461587,0.195862004,C10H10O6,0,0.428571429,6,0,0,54.6,224.789223425,0.210776575,0.2,0.6,1,0,0,-9999,Lignin,Lignin,Other,54.6,-137.178448105,0.117093486,0.100964862,546,-1371.784481051
281.052885331,10,10,6,4,0,0,0,N4 O6,281.052757605,0.454456419,C10H10O6N4,0,0.333333333,8,2,-2,20.4,280.739059169,0.260940831,1.4,0.6,1,0.4,0,-9999,Lignin,Lignin,Protein,20.4,-107.452298737,0.147603705,0.134541725,204,-1074.522987367
257.012761138,10,10,6,0,1,0,0,S1 O6,257.012532762,0.888579761,C10H10O6S,0,0.333333333,6,0,-1,48.9,256.725778393,0.274221607,0.4,0.6,1,0,0,-9999,Lignin,Lignin,Other,48.9,-138.88306377,0.118339131,0.102013469,489,-1388.830637695
241.035419144,10,10,7,0,0,0,0,O7,241.035376207,0.178133973,C10H10O7,0,0.384615385,6,-1,-1,48.9,240.766276841,0.233723159,0.4,0.7,1,0,0,-9999,Tannin,Tannin,Other,48.9,-134.887679434,0.118339131,0.104031913,489,-1348.87679434
257.030419623,10,10,8,0,0,0,0,O8,257.030290827,0.50109375,C10H10O8,0,0.333333333,6,-2,-2,43.2,256.74341716,0.25658284,0.6,0.8,1,0,0,-9999,Tannin,Tannin,Other,43.2,-132.596910763,0.12331573,0.107214761,432,-1325.96910763
273.025426278,10,10,9,0,0,0,0,O9,273.025205446,0.808833629,C10H10O9,0,0.272727273,6,-3,-3,37.5,272.720563648,0.279436352,0.8,0.9,1,0,0,-9999,Tannin,Tannin,Other,37.5,-130.306142092,0.128690679,0.110497871,375,-1303.061420919
224.056476858,10,11,5,1,0,0,0,N1 O5,224.056446004,0.137704081,C10H11O5N,0,0.384615385,6,1,0,54.6,223.806293394,0.193706606,0.2,0.5,1.1,0.1,0,-9999,Lignin,Lignin,Other,54.6,-133.18306377,0.117093486,0.102852204,546,-1331.830637695
240.051453483,10,11,6,1,0,0,0,N1 O6,240.051360624,0.386830214,C10H11O6N,0,0.333333333,6,0,-1,48.9,239.783409886,0.216590114,0.4,0.6,1.1,0.1,0,-9999,Lignin,Lignin,Other,48.9,-130.892295099,0.118339131,0.106087964,489,-1308.922950985
256.046291632,10,11,7,1,0,0,0,N1 O7,256.046275244,0.064005486,C10H11O7N,0,0.272727273,6,-1,-2,43.2,255.760388055,0.239611945,0.6,0.7,1.1,0.1,0,-9999,Tannin,Tannin,Other,43.2,-128.601526427,0.12331573,0.109463197,432,-1286.015264275
179.071393184,10,12,3,0,0,0,0,O3,179.071367793,0.141790077,C10H12O3,0.285714286,0.411764706,5,2,2,77.4,178.871440466,0.128559534,-0.6,0.3,1.2,0,0,-9999,Lignin,Lignin,Other,77.4,-146.341522789,0.089549361,0.081245414,774,-1463.415227892
195.06631801,10,12,4,0,0,0,0,O4,195.066282413,0.182488134,C10H12O4,0.166666667,0.375,5,1,1,71.7,194.848505217,0.151494783,-0.4,0.4,1.2,0,0,-9999,Lignin,Lignin,Other,71.7,-144.050754118,0.097177236,0.08796575,717,-1440.507541182
