File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,Join_By_Field,File_Path
readme_WHONDRS_HJA_2016.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information.,N/A,-9999,-9999,N/A,/
WHONDRS_HJA_2016_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,File_Name,/
WHONDRS_HJA_2016_dd.csv,"Data dictionary that defines column and row headers across all tabular data files (files ending in "".csv"" or "".tsv"") in the data package.",ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,Column_or_Row_Name,/
WHONDRS_HJA_2016_Coordinates.csv,Approximate coordinates for each site. ,ESS-DIVE CSV v1,1,1,Site_ID,/
WHONDRS_HJA_2016_Sediment_CoreMS_Processed_ICR_Calibration.csv,Combined CoreMS calibration outputs (.cal files) across all sediment samples. This data is processed from .xml files.,ESS-DIVE CSV v1,1,1,Sample_Name,/WHONDRS_HJA_2016_Sample_Data
WHONDRS_HJA_2016_Sediment_CoreMS_Processed_ICR_Data.csv,"Processed FTICR-MS mass-by-sample data from sediment samples. The first column contains calibrated masses. The following columns are samples. Each row is a peak intensity with values higher than zero indicating the peak is present in that sample. Use the ""Calibrated_Mass"" column to merge data with the mol files. This data is processed from .xml files.",ESS-DIVE CSV v1,1,1,Calibrated_Mass,/WHONDRS_HJA_2016_Sample_Data
WHONDRS_HJA_2016_Sediment_CoreMS_Processed_ICR_Mol.csv,"Processed FTICR-MS data containing molecular information describing each mass value for sediment in the file ending in ""CoreMS_Processed_ICR_Data.csv"". Use the ""Calibrated_Mass"" column to merge molecular properties with the data files. This data is processed from .xml files.",ESS-DIVE CSV v1,1,1,Calibrated_Mass,/WHONDRS_HJA_2016_Sample_Data
CoreMS_MergeProcess.Rmd,"R markdown that combines CoreMS outputs (.corems.csv files) contained in a specified directory. Additionally, this markdown will run ftmsRanalysis to calculate additional molecular information and Song et al lambda calculation. See ""Instructions_for_Processing_FTICR_Data_using_CoreMS.pdf"" for more details.",N/A,-9999,-9999,N/A,/WHONDRS_HJA_2016_Sample_Data/FTICR_Instructions
CoreMS_Runner.py,"Python script used to run the CoreMS workflow and generates CoreMS outputs.  See ""Instructions_for_Processing_FTICR_Data_using_CoreMS.pdf"" for more details.",N/A,-9999,-9999,N/A,/WHONDRS_HJA_2016_Sample_Data/FTICR_Instructions
Format_CoreMS_Outputs.R,R script that  formats files from CoreMS outputs into ESS-DIVE CSV reporting format compliant files. This script is provided for traceability.,N/A,-9999,-9999,N/A,/WHONDRS_HJA_2016_Sample_Data/FTICR_Instructions
Instructions_for_Processing_FTICR_Data_using_CoreMS.pdf,Instructions for processing FTICR-MS data using the RC-SFA CoreMS pipeline.,N/A,-9999,-9999,N/A,/WHONDRS_HJA_2016_Sample_Data/FTICR_Instructions
getLambda.R,R script for the lambda calculation from Song et al 2020 (https://doi.org/10.3389/fmicb.2020.531756). Modified from https://github.com/hyunseobsong/lambda.,N/A,-9999,-9999,N/A,/WHONDRS_HJA_2016_Sample_Data/FTICR_Instructions
HJA_*.corems.cal,"CoreMS mass calibration file for sediment samples. This data is processed from the .xml files. The  asterisk * indicates the site ID, followed by  the ion accumulation time (IAT). The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2). See the FTICR_Instructions folder and readme for more details.",N/A,-9999,-9999,N/A,/WHONDRS_HJA_2016_Sample_Data/Sediment_CoreMS_Output_Files
HJA_*.corems.csv,"CoreMS output FTICR-MS files for sediment samples. This data is processed from the .xml files. The  asterisk * indicates the site ID, followed by  the ion accumulation time (IAT). The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2). See the FTICR_Instructions folder and readme for more details.",ESS-DIVE CSV v1,1,1,Calibrated_Mass,/WHONDRS_HJA_2016_Sample_Data/Sediment_CoreMS_Output_Files
HJA_*.corems.json,"CoreMS setting used at time of analysis for sediment samples. This data is processed from the .xml files. The  asterisk * indicates the site ID, followed by  the ion accumulation time (IAT). The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2). See the FTICR_Instructions folder and readme for more details.",N/A,-9999,-9999,N/A,/WHONDRS_HJA_2016_Sample_Data/Sediment_CoreMS_Output_Files
HJA_*.xml,"Pre-processed FTICR-MS instrument files for sediment samples. The asterisk * indicates the site ID and the ion accumulation time (IAT). The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2). See the FTICR_Instructions folder and readme for details on how to process these data.",N/A,-9999,-9999,N/A,/WHONDRS_HJA_2016_Sample_Data/Sediment_XML_Files
QC_SRFAII-*.xml,Pre-processed FTICR-MS instrument files for standard samples (Suwannee River Fulvic Acid II; SRFAII). The asterisk * indicates the replicate number. See the FTICR_Instructions folder and readme for details on how to process these data.,N/A,-9999,-9999,N/A,/WHONDRS_HJA_2016_Sample_Data/Sediment_XML_Files
