#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Locality_Description,Country,State_or_Province,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
HJW_01_Water,10.58052/IEWDR029T,10.58052/IEWDR028H,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.23283,-122.21525,stream,N/A,71,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-27,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_02_Water,10.58052/IEWDR029U,10.58052/IEWDR028I,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.23026,-122.21319,stream,N/A,56,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-27,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_03_Water,10.58052/IEWDR029V,10.58052/IEWDR028J,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.212838,-122.245457,stream,N/A,164,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-27,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_04_Water,10.58052/IEWDR029W,10.58052/IEWDR028K,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.226882,-122.226194,stream,N/A,54,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-27,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_05_Water,10.58052/IEWDR029X,10.58052/IEWDR028L,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2345,-122.20727,stream,McRae Creek,47,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_06_Water,10.58052/IEWDR029Y,10.58052/IEWDR028M,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2075,-122.1175,stream,Lookout Creek,64,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_07_Water,10.58052/IEWDR029Z,10.58052/IEWDR028N,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2558,-122.1678,stream,McRae Creek,84,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_08_Water,10.58052/IEWDR02A0,10.58052/IEWDR028O,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2069,-122.257371,stream,N/A,WS1-2,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-31,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_09_Water,10.58052/IEWDR02A1,10.58052/IEWDR028P,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.219261,-122.242343,stream,N/A,WS3-1,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_10_Water,10.58052/IEWDR02A2,10.58052/IEWDR028Q,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.22972,-122.123698,stream,Cold Creek,CC-1,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_11_Water,10.58052/IEWDR02A3,10.58052/IEWDR028R,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.230319,-122.121533,stream,Cold Creek,CC-4,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
