"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"6","163.016327","163.016417062","163.016569314","792058.6","-9999","1079617.8","12.79","-1","-0.933969566","0.853612842","0","0.512167705","2","0.8","1.8","P1 O4","de-protonated","0","-9999","C5 H9 O4 P1","5","9","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"10","165.019106","165.019196117","165.019332219","823424","-9999","1489601","13.37","-1","-0.824764904","0.883885158","0","0.530331095","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"11","165.019275","165.019365117","165.019332219","926824","-9999","1254922.8","15.3","-1","0.199357557","0.992814546","0","0.595688727","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"13","171.066222","171.066312284","171.066282413","695153.4","-9999","1011684.8","10.98","-1","0.174618213","0.994482631","0","0.596689578","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","185.08183","185.081920671","185.081932477","1759307.4","-9999","717423.7","30.84","-1","-0.063790787","0.99926191","0","0.599557146","3","0.444444444","1.555555556","O4","de-protonated","0","-9999","C9 H14 O4","9","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"33","187.097471","187.097561726","187.097582542","556545","-9999","1085032.7","8.39","-1","-0.111254118","0.997756643","0","0.598653986","2","0.444444444","1.777777778","O4","de-protonated","0","-9999","C9 H16 O4","9","16","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"50","190.957216","190.957306833","190.95734036","2627668.5","-9999","1006072.9","46.79","-1","-0.175574227","0.994422221","0","0.596653332","4","0.8","1","S1 P1 O4","de-protonated","0","-9999","C5 H5 O4 P1 S1","5","5","4","-9999","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"51","190.957412","190.957502833","190.95734036","3680724.5","-9999","968189.6","66.34","-1","0.850833059","0.876907496","0","0.526144498","4","0.8","1","S1 P1 O4","de-protonated","0","-9999","C5 H5 O4 P1 S1","5","5","4","-9999","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"55","195.138916","195.139006948","195.139053431","720830.8","-9999","881668.8","11.33","-1","-0.238206119","0.989757031","0","0.593854218","3","0.166666667","1.666666667","O2","de-protonated","0","-9999","C12 H20 O2","12","20","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"59","199.061071","199.061162056","199.061197032","513053.9","-9999","785000","7.47","-1","-0.17570469","0.994413951","0","0.596648371","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"60","201.076574","201.076665112","201.076847097","562345.8","-9999","933159.1","8.35","-1","-0.905051211","0.861889825","0","0.517133895","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"62","207.138939","207.139030279","207.139053431","605078.9","-9999","841994.5","9.06","-1","-0.111771637","0.997735747","0","0.598641448","4","0.153846154","1.538461538","O2","de-protonated","0","-9999","C13 H20 O2","13","20","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"66","209.154579","209.154670335","209.154703496","1425818.4","-9999","996964.9","23.95","-1","-0.158548314","0.995449208","0","0.597269525","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"70","211.097395","211.097486388","211.097582542","880655.9","-9999","855051.2","13.99","-1","-0.455492137","0.963054072","0","0.577832443","4","0.363636364","1.454545455","O4","de-protonated","0","-9999","C11 H16 O4","11","16","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"71","211.13377","211.133861389","211.133968051","932564.6","-9999","867600.7","14.94","-1","-0.50518463","0.954748052","0","0.572848831","3","0.25","1.666666667","O3","de-protonated","0","-9999","C12 H20 O3","12","20","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"77","213.076664","213.076755443","213.076847097","632148.5","-9999","939373","9.48","-1","-0.430144326","0.966984911","0","0.580190947","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"83","217.053834","217.053925553","217.054003652","525308.2","-9999","710378.8","7.49","-1","-0.359813258","0.976782414","0","0.586069449","3","0.444444444","1.555555556","S1 O4","de-protonated","0","-9999","C9 H14 O4 S1","9","14","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"87","219.050817","219.050908608","219.051026271","1221021.8","-9999","750794.1","19.97","-1","-0.537151866","0.948993077","0","0.569395846","3","0.875","1.5","O7","de-protonated","0","-9999","C8 H12 O7","8","12","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"88","219.087216","219.087307609","219.087411781","870851.1","-9999","723951.7","13.67","-1","-0.47548151","0.959807627","0","0.575884576","2","0.666666667","1.777777778","O6","de-protonated","0","-9999","C9 H16 O6","9","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"97","221.081774","221.081865664","221.081932477","1540939.5","-9999","778851.1","25.71","-1","-0.302210988","0.983564583","0","0.59013875","6","0.333333333","1.166666667","O4","de-protonated","0","-9999","C12 H14 O4","12","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"99","221.154538","221.154629666","221.154703496","2408278.5","-9999","757936","41.31","-1","-0.333839076","0.979980908","0","0.587988545","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"100","222.090055","222.090146692","222.090068609","884931.9","-9999","719736.4","13.88","-1","0.351581035","0.977820923","0","0.586692554","1","0.5","2.25","N1 P1 O4","de-protonated","0","-9999","C8 H18 O4 N1 P1","8","18","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"103","223.133786","223.13387772","223.133968051","515523.2","-9999","1029895.3","7.25","-1","-0.404826711","0.970701127","0","0.582420676","4","0.230769231","1.538461538","O3","de-protonated","0","-9999","C13 H20 O3","13","20","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"104","225.149461","225.149552776","225.149618115","519739","-9999","1145010.5","7.3","-1","-0.290204551","0.984834799","0","0.590900879","3","0.230769231","1.692307692","O3","de-protonated","0","-9999","C13 H22 O3","13","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"105","227.092295","227.09238683","227.092497161","816044","-9999","990354.3","12.59","-1","-0.48584435","0.958074243","0","0.574844546","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"106","227.128656","227.128747831","227.128882671","994801.8","-9999","884251.6","15.78","-1","-0.59367154","0.938051108","0","0.562830665","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"107","229.071457","229.071548884","229.071761716","1100134.4","-9999","629537.6","17.6","-1","-0.929106738","0.855017243","0","0.513010346","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"108","231.087189","231.08728094","231.087411781","578793.6","-9999","962955.8","8.29","-1","-0.56619687","0.943490843","0","0.566094506","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"109","233.102883","233.102974995","233.103061845","574606.9","-9999","750698.4","8.21","-1","-0.372581216","0.975126455","0","0.585075873","2","0.6","1.8","O6","de-protonated","0","-9999","C10 H18 O6","10","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"112","235.170156","235.170248052","235.17035356","3311613.8","-9999","716362.8","56.59","-1","-0.448644528","0.970095804","0.966481159","0.968649946","4","0.133333333","1.6","O2","de-protonated","0","-9999","C15 H24 O2","15","24","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"115","236.17353","236.17362208","236.173708395","693280.6","-9999","683455.7","10.27","-1","-0.365473713","0.976055052","0.966481159","0.972225495","4","0.133333333","1.6","13C1 O2","de-protonated","1","112","C14 H24 O2 13C1","14","24","2","-9999","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"116","237.079945","237.080037105","237.0802184","552627.7","-9999","639881.8","7.75","-1","-0.764698708","0.899330501","0","0.539598301","1","0.555555556","2","S1 O5","de-protonated","0","-9999","C9 H18 O5 S1","9","18","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
