"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","18O","34S"
"8","165.019423","165.019272412","165.019332219","536644.9","-9999","1099094.5","8.03","-1","-0.362427057","0.976447887","0","0.585868732","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999"
"10","171.066379","171.066240818","171.066282413","764828.9","-9999","1041504.1","12.29","-1","-0.24314837","0.989329883","0","0.59359793","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999"
"14","185.082011","185.081901574","185.081932477","790193.7","-9999","1073128.3","12.77","-1","-0.166971913","0.994954053","0","0.596972432","3","0.444444444","1.555555556","O4","de-protonated","0","-9999","C9 H14 O4","9","14","4","-9999","-9999","-9999","-9999","-9999","-9999"
"16","187.06113","187.061024634","187.061197032","510165.3","-9999","1238253","7.53","-1","-0.921613335","0.857171488","0","0.514302893","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"17","187.061291","187.061185635","187.061197032","667585.3","-9999","967827.1","10.47","-1","-0.060930666","0.99932659","0","0.599595954","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"18","187.097734","187.097628709","187.097582542","517890.6","-9999","864499.1","7.67","-1","0.246757094","0.989012567","0","0.59340754","2","0.444444444","1.777777778","O4","de-protonated","0","-9999","C9 H16 O4","9","16","4","-9999","-9999","-9999","-9999","-9999","-9999"
"19","189.076916","189.07681477","189.076847097","786997.8","-9999","738101.1","12.67","-1","-0.170971881","0.994710045","0","0.596826027","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"22","197.081987","197.081902194","197.081932477","617566","-9999","1257572.1","9.41","-1","-0.15365936","0.995724943","0","0.597434966","4","0.4","1.4","O4","de-protonated","0","-9999","C10 H14 O4","10","14","4","-9999","-9999","-9999","-9999","-9999","-9999"
"23","199.0613","199.061219255","199.061197032","1456319.9","-9999","848730.7","24.89","-1","0.111635545","0.997741252","0","0.598644751","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"24","199.097646","199.097565329","199.097582542","796611.3","-9999","923623.9","12.71","-1","-0.086452455","0.998644767","0","0.59918686","3","0.4","1.6","O4","de-protonated","0","-9999","C10 H16 O4","10","16","4","-9999","-9999","-9999","-9999","-9999","-9999"
"26","201.040544","201.040467315","201.040461587","857825.8","-9999","759125.1","13.81","-1","0.02849154","0.999852717","0","0.59991163","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999","-9999"
"27","201.07696","201.07688339","201.076847097","986917.5","-9999","910895.3","16.18","-1","0.180494754","0.994106137","0","0.596463682","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"29","203.05602","203.05594745","203.056111652","513686.9","-9999","1088652","7.45","-1","-0.808650442","0.888116709","0","0.532870026","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"30","203.056212","203.056139451","203.056111652","1016343","-9999","1102104.7","16.68","-1","0.136902944","0.996604989","0","0.597962994","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"31","203.092557","203.092484525","203.092497161","693242.9","-9999","1033547.1","10.75","-1","-0.062216983","0.999297867","0","0.59957872","2","0.555555556","1.777777778","O5","de-protonated","0","-9999","C9 H16 O5","9","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"39","211.097643","211.097586949","211.097582542","550643.6","-9999","651053.7","8.02","-1","0.020879296","0.999920901","0","0.599952541","4","0.363636364","1.454545455","O4","de-protonated","0","-9999","C11 H16 O4","11","16","4","-9999","-9999","-9999","-9999","-9999","-9999"
"42","213.076935","213.07688301","213.076847097","1227140.3","-9999","808688.4","20.31","-1","0.168546302","0.994858694","0","0.596915216","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"43","213.113263","213.113211085","213.113232606","700745.4","-9999","891875.5","10.75","-1","-0.100986232","0.998151258","0","0.598890755","3","0.363636364","1.636363636","O4","de-protonated","0","-9999","C11 H18 O4","11","18","4","-9999","-9999","-9999","-9999","-9999","-9999"
"44","215.056225","215.056177071","215.056111652","1334462.6","-9999","903887.1","22.19","-1","0.30419529","0.983349858","0","0.590009915","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"45","215.09254","215.092492145","215.092497161","1280355.9","-9999","572537.4","21.21","-1","-0.023319211","0.999901336","0","0.599940801","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"46","215.128981","215.12893322","215.128882671","589737.2","-9999","939814.8","8.7","-1","0.234973691","0.990031755","0","0.594019053","2","0.363636364","1.818181818","O4","de-protonated","0","-9999","C11 H20 O4","11","20","4","-9999","-9999","-9999","-9999","-9999","-9999"
"47","217.071824","217.071780206","217.071761716","2725799.3","-9999","694623.1","47.27","-1","0.085178937","0.998684374","0","0.599210624","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"48","217.108238","217.108194281","217.108147226","924140.8","-9999","853063.7","14.71","-1","0.216736691","0.991512708","0","0.594907625","2","0.5","1.8","O5","de-protonated","0","-9999","C10 H18 O5","10","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"51","219.087504","219.087464342","219.087411781","766648.2","-9999","825075.2","11.83","-1","0.23990878","0.989610843","0","0.593766506","2","0.666666667","1.777777778","O6","de-protonated","0","-9999","C9 H16 O6","9","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"52","221.094897","221.09486146","221.094819637","532783.1","-9999","958922.9","7.61","-1","0.189165596","0.993528142","0","0.596116885","1","0.444444444","2.111111111","P1 O4","de-protonated","0","-9999","C9 H19 O4 P1","9","19","4","-9999","1","-9999","-9999","-9999","-9999"
"53","225.11327","225.113242705","225.113232606","528751.3","-9999","981942.1","7.48","-1","0.044859922000000003","0.999634917","0","0.59978095","4","0.333333333","1.5","O4","de-protonated","0","-9999","C12 H18 O4","12","18","4","-9999","-9999","-9999","-9999","-9999","-9999"
"54","227.05609","227.056066691","227.056111652","690411.6","-9999","647729","10.37","-1","-0.198017884","0.992910451","0","0.595746271","5","0.6","1.2","O6","de-protonated","0","-9999","C10 H12 O6","10","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"55","227.092436","227.092412765","227.092497161","1077841.5","-9999","759888.7","17.31","-1","-0.371636896","0.975250809","0","0.585150486","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"56","227.09253","227.092506765","227.092497161","1051073.5","-9999","653237.1","16.83","-1","0.042292204","0.999675508","0","0.599805305","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"57","227.128879","227.12885584","227.128882671","1042071.5","-9999","823560.7","16.67","-1","-0.118129105","0.99747118","0","0.598482708","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999"
"58","228.124249","228.124227882","228.124131643","514810.9","-9999","935595.2","7.2","-1","0.421873123","0.968222192","0","0.580933315","3","0.363636364","1.727272727","N1 O4","de-protonated","0","-9999","C11 H19 O4 N1","11","19","4","1","-9999","-9999","-9999","-9999","-9999"
"61","229.071828","229.071808826","229.071761716","1876247.1","-9999","793809.5","31.5","-1","0.205656078","0.992355105","0","0.595413063","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"63","229.108176","229.108156901","229.108147226","1028861.2","-9999","664578.8","16.37","-1","0.042229944","0.999676463","0","0.599805878","3","0.454545455","1.636363636","O5","de-protonated","0","-9999","C11 H18 O5","11","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"64","230.103507","230.103489943","230.103396198","607393.9","-9999","681053","8.85","-1","0.407404312","0.970332445","0","0.582199467","3","0.5","1.7","N1 O5","de-protonated","0","-9999","C10 H17 O5 N1","10","17","5","1","-9999","-9999","-9999","-9999","-9999"
"65","231.050984","231.050968887","231.051026271","700111.3","-9999","557627.5","10.47","-1","-0.248363031","0.988869887","0","0.593321932","4","0.777777778","1.333333333","O7","de-protonated","0","-9999","C9 H12 O7","9","12","7","-9999","-9999","-9999","-9999","-9999","-9999"
"67","231.087371","231.087355962","231.087411781","2990565.3","-9999","539339.9","51.23","-1","-0.241550281","0.989468941","0","0.593681365","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"68","231.12374","231.123725036","231.12379729","574571.4","-9999","1065004.3","8.23","-1","-0.312620175","0.982423079","0","0.589453847","2","0.454545455","1.818181818","O5","de-protonated","0","-9999","C11 H20 O5","11","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"69","233.103157","233.103146097","233.103061845","579637.1","-9999","1053942.5","8.31","-1","0.361436866","0.976574888","0","0.585944933","2","0.6","1.8","O6","de-protonated","0","-9999","C10 H18 O6","10","18","6","-9999","-9999","-9999","-9999","-9999","-9999"
"72","239.056049","239.056050311","239.056111652","541877.1","-9999","878448.8","7.58","-1","-0.256597518","0.988124086","0","0.592874451","6","0.545454545","1.090909091","O6","de-protonated","0","-9999","C11 H12 O6","11","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"73","239.092564","239.092565386","239.092497161","556923.1","-9999","577645.9","7.84","-1","0.285347147","0.985334506","0","0.591200704","5","0.416666667","1.333333333","O5","de-protonated","0","-9999","C12 H16 O5","12","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
