"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S","36S"
"12","163.014951","163.01485733","163.014915544","692297.8","-9999","633377.3","10.9","-1","-0.357107237","0.977126313","0","0.586275788","7","0.428571429","0.571428571","N2 O3","de-protonated","0","-9999","C7 H4 O3 N2","7","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"13","163.015073","163.01497933","163.014915544","1090941.3","-9999","808170.1","18.33","-1","0.391290389","0.972601075","0","0.583560645","7","0.428571429","0.571428571","N2 O3","de-protonated","0","-9999","C7 H4 O3 N2","7","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"17","163.016698","163.01660433","163.016569314","1732165.1","-9999","464890","30.28","-1","0.214797596","0.991663264","0","0.594997958","2","0.8","1.8","P1 O4","de-protonated","0","-9999","C5 H9 O4 P1","5","9","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"23","163.018242","163.01814833","163.018286847","1605494.1","-9999","880689","27.92","-1","-0.849706997","0.877212238","0","0.526327343","2","0.75","2","N2 S1 O3","de-protonated","0","-9999","C4 H8 O3 N2 S1","4","8","3","2","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"26","163.018921","163.01882733","163.018938296","905173.2","-9999","880685.4","14.87","-1","-0.680697561","0.91936313","0","0.551617878","11","0.083333333","0.333333333","O1","de-protonated","0","-9999","C12 H4 O1","12","4","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"27","163.019054","163.01896033","163.018938296","758390.2","-9999","1159697.6","12.14","-1","0.135158406","0.99669082","0","0.598014492","11","0.083333333","0.333333333","O1","de-protonated","0","-9999","C12 H4 O1","12","4","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"80","186.113769","186.113670747","186.113566959","527601.4","-9999","1352450","7.84","-1","0.557663469","0.945134094","0","0.567080457","2","0.333333333","1.888888889","N1 O3","de-protonated","0","-9999","C9 H17 O3 N1","9","17","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"82","187.014847","187.014748569","187.014915544","775649.9","-9999","770603.4","12.45","-1","-0.89284579","0.865328476","0","0.519197085","9","0.333333333","0.444444444","N2 O3","de-protonated","0","-9999","C9 H4 O3 N2","9","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"115","199.061424","199.061323179","199.061197032","633303.8","-9999","1350610.4","9.64","-1","0.633706184","0.929724658","0","0.557834795","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"142","212.979839","212.979735417","212.979793338","1297544.4","-9999","863881.6","21.38","-1","-0.271954094","0.986669875","0","0.592001925","6","0.285714286","0.857142857","N2 S2 O2","de-protonated","0","-9999","C7 H6 O2 N2 S2","7","6","2","2","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"146","213.963856","213.963752222","213.963808921","583275.6","-9999","920219.5","8.49","-1","-0.264992804","0.987339288","0","0.592403573","6","0.428571429","0.714285714","N1 S2 O3","de-protonated","0","-9999","C7 H5 O3 N1 S2","7","5","3","1","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"157","215.128919","215.128814991","215.128882671","805325.4","-9999","1076653.6","12.47","-1","-0.314601238","0.982201605","0","0.589320963","2","0.363636364","1.818181818","O4","de-protonated","0","-9999","C11 H20 O4","11","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"158","215.129195","215.129090991","215.128882671","837645.4","-9999","1270179.4","13.05","-1","0.968350367","0.8435426","0","0.50612556","2","0.363636364","1.818181818","O4","de-protonated","0","-9999","C11 H20 O4","11","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"173","219.041205","219.041100215","219.041130293","567226.3","-9999","960546.5","8.13","-1","-0.137317251","0.996584445","0","0.597950667","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"187","220.020401","220.02029602","220.02027497","680666.9","-9999","687012.6","10.15","-1","0.095672355","0.998340542","0","0.599004325","3","0.428571429","1.714285714","N1 S1 P1 O3","de-protonated","0","-9999","C7 H12 O3 N1 P1 S1","7","12","3","1","1","1","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"190","220.147495","220.147389995","220.147189563","627983.9","-9999","753805.4","9.21","-1","0.910444745","0.860359835","0","0.516215901","0","0.2","2.4","N1 P1 O2","de-protonated","0","-9999","C10 H24 O2 N1 P1","10","24","2","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"206","221.082192","221.08208681","221.081932477","634955.2","-9999","1393288.7","9.33","-1","0.698077915","0.915374267","0","0.54922456","6","0.333333333","1.166666667","O4","de-protonated","0","-9999","C12 H14 O4","12","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"222","227.128958","227.12885161","227.128882671","553370.9","-9999","1082337.3","7.8","-1","-0.136753492","0.996612385","0","0.597967431","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
