"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","33S","34S"
"6","187.014784","187.014825948","187.014915544","1471369.4","-9999","970507.6","25.43","-1","-0.479084685","0.959208811","0","0.575525286","9","0.333333333","0.444444444","N2 O3","de-protonated","0","-9999","C9 H4 O3 N2","9","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999"
"14","212.979737","212.979766209","212.979793338","1207047.6","-9999","896103.8","19.93","-1","-0.127377988","0.997060297","0","0.598236178","6","0.285714286","0.857142857","N2 S2 O2","de-protonated","0","-9999","C7 H6 O2 N2 S2","7","6","2","2","-9999","2","-9999","-9999","-9999","-9999"
"15","219.041114","219.041140235","219.041130293","1245638.6","-9999","685849.7","20.44","-1","0.045390334","0.999626234","0","0.599775741","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999"
"16","229.025523","229.025544336","229.025480228","1577254.4","-9999","881955.6","26.15","-1","0.279917013","0.98588344000000006","0","0.591530064","10","0.363636364","0.545454545","N2 O4","de-protonated","0","-9999","C11 H6 O4 N2","11","6","4","2","-9999","-9999","-9999","-9999","-9999","-9999"
"17","231.088054","231.088074324","231.088281161","1140010.4","-9999","768544.4","18.29","-1","-0.895053036","0.864709073","0","0.518825444","2","0.090909091","1.818181818","S2 O1","de-protonated","0","-9999","C11 H20 O1 S2","11","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"23","244.973709","244.973722512","244.973645329","1118597.4","-9999","859004.9","17.63","-1","0.315064995","0.982149564","0","0.589289739","10","0.166666667","0.5","S2 O2","de-protonated","0","-9999","C12 H6 O2 S2","12","6","2","-9999","-9999","2","-9999","-9999","-9999","-9999"
"25","246.970673","246.970685532","246.970667949","1217723.6","-9999","823674.9","19.3","-1","0.071194664","0.999080717","0","0.59944843","10","0.454545455","0.363636364","S1 O5","de-protonated","0","-9999","C11 H4 O5 S1","11","4","5","-9999","-9999","1","-9999","-9999","-9999","-9999"
"31","255.061253","255.061261562","255.061411508","1033971.3","-9999","924387.1","15.95","-1","-0.587878864","0.939216794","0","0.563530076","5","0.166666667","1.416666667","S1 P1 O2","de-protonated","0","-9999","C12 H17 O2 P1 S1","12","17","2","-9999","1","1","-9999","-9999","-9999","-9999"
"32","255.062291","255.062299562","255.062259661","2261747.5","-9999","897682.5","37.27","-1","0.156436738","0.99556935","0","0.59734161","6","0.6","1.2","N2 O6","de-protonated","0","-9999","C10 H12 O6 N2","10","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999"
"33","255.062974","255.062982561","255.063129041","10620915","-9999","675793.8","182.43","-1","-0.574285659","0.62901378","0.925952542","0.747789285","5","0.090909091","1.454545455","N2 S2 O1","de-protonated","0","-9999","C11 H16 O1 N2 S2","11","16","1","2","-9999","2","-9999","-9999","-9999","-9999"
"35","256.066333","256.066341069","256.066483876","1197698","-9999","671241.9","18.79","-1","-0.557692855","0.630085649","0.925952542","0.748432406","5","0.090909091","1.454545455","13C1 N2 S2 O1","de-protonated","1","33","C10 H16 O1 N2 S2 13C1","10","16","1","2","-9999","2","1","-9999","-9999","-9999"
"41","259.119489","259.119495571","259.11958129","979239.1","-9999","780051.4","14.91","-1","-0.330806099","0.980339425","0","0.588203655","2","0.076923077","1.846153846","S2 O1","de-protonated","0","-9999","C13 H24 O1 S2","13","24","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"44","262.974878","262.97488268","262.975098425","940318.9","-9999","982176.1","14.16","-1","-0.820400945","0.885037345","0","0.531022407","10","0.545454545","0.454545455","P1 O6","de-protonated","0","-9999","C11 H5 O6 P1","11","5","6","-9999","1","-9999","-9999","-9999","-9999","-9999"
"45","262.976786","262.976790679","262.976815958","7865887","-9999","654034.1","133.27","-1","-0.096126327","0.499162385","0.902398978","0.660457022","10","0.5","0.4","N2 S1 O5","de-protonated","0","-9999","C10 H4 O5 N2 S1","10","4","5","2","-9999","1","-9999","-9999","-9999","-9999"
"49","267.088184","267.088186662","267.088281161","867928.3","-9999","564582.8","12.84","-1","-0.353812316","0.977541709","0","0.586525025","5","0.071428571","1.428571429","S2 O1","de-protonated","0","-9999","C14 H20 O1 S2","14","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"60","271.119539","271.119539684","271.11958129","939755","-9999","798420.9","13.99","-1","-0.153459811","0.995736016","0","0.59744161","3","0.071428571","1.714285714","S2 O1","de-protonated","0","-9999","C14 H24 O1 S2","14","24","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"62","273.135203","273.135202695","273.135231354","1465162.9","-9999","712961","22.81","-1","-0.104927405","0.998004288","0","0.598802573","2","0.071428571","1.857142857","S2 O1","de-protonated","0","-9999","C14 H26 O1 S2","14","26","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"63","276.999967","276.999964798","276.999860077","1002312.3","-9999","508561.7","14.97","-1","0.378054298","0.974399824","0","0.584639894","9","0.230769231","0.769230769","S2 O3","de-protonated","0","-9999","C13 H10 O3 S2","13","10","3","-9999","-9999","2","-9999","-9999","-9999","-9999"
"65","277.060505","277.060502769","277.060366136","13169263","-9999","618679.6","220.99","-1","0.493152729","0.639451203","0.917552505","0.750691724","3","0.1","1.9","N2 S2 P1 O1","de-protonated","0","-9999","C10 H19 O1 N2 P1 S2","10","19","1","2","1","2","-9999","-9999","-9999","-9999"
