"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","33S","34S"
"5","171.06627","171.066348627","171.066282413","675416.6","-9999","1345718","10.63","-1","0.387065855","0.973181539","0","0.583908923","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999"
"9","187.061157","187.061226238","187.061197032","604184.1","-9999","1091314.9","9.29","-1","0.156128608","0.995586748","0","0.597352049","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"10","189.076764","189.076832055","189.076847097","613790.3","-9999","1071402.7","9.45","-1","-0.079554874","0.998852274","0","0.599311365","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"11","190.957461","190.957527951","190.95734036","807304.8","-9999","1166300","13.03","-1","0.9823707","0.839366824","0","0.503620094","4","0.8","1","S1 P1 O4","de-protonated","0","-9999","C5 H5 O4 P1 S1","5","5","4","-9999","1","1","-9999","-9999","-9999"
"13","199.061122","199.061184194","199.061197032","1624355","-9999","1118805.3","28.03","-1","-0.06449365","0.999245561","0","0.599547337","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"14","201.040354","201.040415032","201.040461587","847510.4","-9999","1130453.1","13.63","-1","-0.231570651","0.990317005","0","0.594190203","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999","-9999"
"16","201.076777","201.076838011","201.076847097","643673.8","-9999","757670.2","9.88","-1","-0.045185711","0.999629596","0","0.599777758","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"17","203.056029","203.056088849","203.056111652","955387.5","-9999","1096132.4","15.58","-1","-0.112297529","0.997714415","0","0.598628649","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"22","213.04033","213.040383989","213.040461587","667396.4","-9999","1046027.3","10.16","-1","-0.364244725","0.976213894","0","0.585728336","5","0.666666667","1.111111111","O6","de-protonated","0","-9999","C9 H10 O6","9","10","6","-9999","-9999","-9999","-9999","-9999","-9999"
"24","213.076733","213.076786967","213.076847097","1116457.1","-9999","1183095.4","18.34","-1","-0.282196697","0.985654234","0","0.59139254","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"25","213.113097","213.113150946","213.113232606","716269.9","-9999","867113.1","11.05","-1","-0.383177884","0.973710492","0","0.584226295","3","0.363636364","1.636363636","O4","de-protonated","0","-9999","C11 H18 O4","11","18","4","-9999","-9999","-9999","-9999","-9999","-9999"
"27","215.055966","215.056018805","215.056111652","841901.9","-9999","812235.9","13.3","-1","-0.431731373","0.966744943","0","0.580046966","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"29","215.092389","215.092441784","215.092497161","861522.8","-9999","874211.8","13.65","-1","-0.25745761","0.988044817","0","0.59282689","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"31","217.071643","217.071694622","217.071761716","3297023.8","-9999","1020610.8","57.71","-1","-0.309087189","0.982814701","0","0.589688821","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"32","217.071891","217.071942622","217.071761716","554175.8","-9999","976372.7","8.05","-1","0.833391467","0.881594029","0","0.528956418","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"33","217.108001","217.108052601","217.108147226","799812.8","-9999","1048512","12.49","-1","-0.435841738","0.966119609","0","0.579671766","2","0.5","1.8","O5","de-protonated","0","-9999","C10 H18 O5","10","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"36","227.055958","227.056003762","227.056111652","740361.8","-9999","709571.2","11.29","-1","-0.475170093","0.959859187","0","0.575915512","5","0.6","1.2","O6","de-protonated","0","-9999","C10 H12 O6","10","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"37","227.092351","227.09239674","227.092497161","1164911.3","-9999","927077.3","18.92","-1","-0.44220301","0.965140964","0","0.579084578","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"38","227.128758","227.128803719","227.128882671","721236.8","-9999","829624.5","10.95","-1","-0.347607513","0.978313975","0","0.586988385","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999"
"40","229.07162","229.071664578","229.071761716","1699163.3","-9999","987240.9","28.42","-1","-0.424050063","0.967898723","0","0.580739234","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"41","229.108004","229.108048557","229.108147226","886752.8","-9999","909878.7","13.87","-1","-0.430663872","0.966906444","0","0.580143867","3","0.454545455","1.636363636","O5","de-protonated","0","-9999","C11 H18 O5","11","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"42","229.144375","229.144419536","229.144532735","594470.4","-9999","988560.4","8.64","-1","-0.494008299","0.956684613","0","0.574010768","2","0.333333333","1.833333333","O4","de-protonated","0","-9999","C12 H22 O4","12","22","4","-9999","-9999","-9999","-9999","-9999","-9999"
"43","230.103248","230.103291973","230.103396198","540088.6","-9999","815014.8","7.67","-1","-0.452948526","0.963457943","0","0.578074766","3","0.5","1.7","N1 O5","de-protonated","0","-9999","C10 H17 O5 N1","10","17","5","1","-9999","-9999","-9999","-9999","-9999"
"44","231.050863","231.050906417","231.051026271","684809.4","-9999","1066709.1","10.22","-1","-0.518737314","0.952347074","0","0.571408244","4","0.777777778","1.333333333","O7","de-protonated","0","-9999","C9 H12 O7","9","12","7","-9999","-9999","-9999","-9999","-9999","-9999"
"46","231.087254","231.087297395","231.087411781","4317967","-9999","903906.7","75.05","-1","-0.494988018","0.956516431","0","0.573909859","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"48","239.092314","239.092352696","239.092497161","620633.5","-9999","903876.2","9","-1","-0.604221268","0.935902577","0","0.561541546","5","0.416666667","1.333333333","O5","de-protonated","0","-9999","C12 H16 O5","12","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"49","239.128735","239.128773675","239.128882671","617695.1","-9999","1042945.5","8.95","-1","-0.455802324","0.963004678","0","0.577802807","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999"
"50","241.046446","241.046483549","241.046609596","602881.8","-9999","858041","8.65","-1","-0.52291491","0.951595405","0","0.570957243","6","0.666666667","1.111111111","N2 O6","de-protonated","0","-9999","C9 H10 O6 N2","9","10","6","2","-9999","-9999","-9999","-9999","-9999"
"52","241.07158","241.071617535","241.071761716","946437.6","-9999","856524.2","14.72","-1","-0.598086139","0.937156048","0","0.562293629","5","0.545454545","1.272727273","O6","de-protonated","0","-9999","C11 H14 O6","11","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"53","241.10795","241.107987513","241.108147226","1345035.1","-9999","940297.6","21.77","-1","-0.66240971","0.923469731","0","0.554081838","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"54","241.144339","241.144376492","241.144532735","719888.6","-9999","970915.8","10.72","-1","-0.647922994","0.926655954","0","0.555993572","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999"
"55","242.175995","242.176031886","242.176167217","550059.8","-9999","979840.2","7.71","-1","-0.558808923","0.944914802","0","0.566948881","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999"
"56","243.050888","243.050924373","243.051026271","747694.7","-9999","902258.7","11.17","-1","-0.419247814","0.968610213","0","0.581166128","5","0.7","1.2","O7","de-protonated","0","-9999","C10 H12 O7","10","12","7","-9999","-9999","-9999","-9999","-9999","-9999"
"58","243.08725","243.087286351","243.087411781","1533492.1","-9999","910326.2","25.01","-1","-0.515984371","0.952839433","0","0.57170366","4","0.545454545","1.454545455","O6","de-protonated","0","-9999","C11 H16 O6","11","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"60","243.123588","243.12362433","243.12379729","1146297.5","-9999","766642.8","18.19","-1","-0.711407057","0.912259144","0","0.547355486","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"61","245.048729","245.0487642","245.048918271","553046.8","-9999","960773.3","7.73","-1","-0.628735818","0.930783802","0","0.558470281","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999"
"61","245.048729","245.0487642","245.048538149","553046.8","-9999","960773.3","7.73","-1","0.922476378","0.856923989","0","0.514154394","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999"
"63","245.066505","245.06654019","245.066676336","1242073.4","-9999","812743.7","19.87","-1","-0.55554761","0.945538116","0","0.567322869","4","0.7","1.4","O7","de-protonated","0","-9999","C10 H14 O7","10","14","7","-9999","-9999","-9999","-9999","-9999","-9999"
"65","245.102896","245.102931168","245.103061845","1673566.8","-9999","951643.2","27.47","-1","-0.533150897","0.949730739","0","0.569838443","3","0.545454545","1.636363636","O6","de-protonated","0","-9999","C11 H18 O6","11","18","6","-9999","-9999","-9999","-9999","-9999","-9999"
"66","245.139283","245.139318147","245.139447355","694244.1","-9999","947273.1","10.22","-1","-0.527078066","0.950840933","0","0.57050456","2","0.416666667","1.833333333","O5","de-protonated","0","-9999","C12 H22 O5","12","22","5","-9999","-9999","-9999","-9999","-9999","-9999"
"67","247.082159","247.082193007","247.0823264","1045503.3","-9999","865879.4","16.34","-1","-0.53987602","0.948487997","0","0.569092798","3","0.7","1.6","O7","de-protonated","0","-9999","C10 H16 O7","10","16","7","-9999","-9999","-9999","-9999","-9999","-9999"
"68","247.118512","247.118545985","247.11871191","824132.5","-9999","896782.8","12.46","-1","-0.671436454","0.921454434","0","0.55287266","2","0.545454545","1.818181818","O6","de-protonated","0","-9999","C11 H20 O6","11","20","6","-9999","-9999","-9999","-9999","-9999","-9999"
"70","253.107943","253.107973469","253.108147226","828616.2","-9999","1032250.2","12.48","-1","-0.68648988","0.918043022","0","0.550825813","5","0.384615385","1.384615385","O5","de-protonated","0","-9999","C13 H18 O5","13","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"72","253.144345","253.144375448","253.144532735","1389773.1","-9999","878420.6","22.29","-1","-0.621332396","0.932348151","0","0.559408891","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999"
"74","255.062048","255.062077322","255.062259661","6897354","-9999","733168.2","118.19","-1","-0.714877459","0.920794249","0.990832523","0.948809559","6","0.6","1.2","N2 O6","de-protonated","0","-9999","C10 H12 O6 N2","10","12","6","2","-9999","-9999","-9999","-9999","-9999"
"76","255.087196","255.087225308","255.087411781","1244365.3","-9999","809935.5","19.67","-1","-0.7310164","0.907589176","0","0.544553506","5","0.5","1.333333333","O6","de-protonated","0","-9999","C12 H16 O6","12","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"77","255.123559","255.123588286","255.12379729","1505618","-9999","777048.1","24.23","-1","-0.819224934","0.885347049","0","0.53120823","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"78","256.065424","256.065452733","256.065614496","669131.1","-9999","785787","9.65","-1","-0.631722053","0.930148315","0.990832523","0.954421999","6","0.6","1.2","13C1 N2 O6","de-protonated","1","74","C9 H12 O6 N2 13C1","9","12","6","2","-9999","-9999","1","-9999","-9999"
"79","257.048729","257.048757156","257.048918271","559239.3","-9999","861753.1","7.73","-1","-0.626786688","0.931197197","0","0.558718318","5","0.454545455","1.272727273","S1 O5","de-protonated","0","-9999","C11 H14 O5 S1","11","14","5","-9999","-9999","1","-9999","-9999","-9999"
