"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"1","161.08207","161.081920227","161.081932477","689022.3","-9999","1252861.2","10.89","-1","-0.076046803","0.998951212","0","0.599370727","1","0.571428571","2","O4","de-protonated","0","-9999","C7 H14 O4","7","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"3","165.019464","165.019318284","165.019332219","524738.4","-9999","1631764.5","7.82","-1","-0.084448419","0.998706829","0","0.599224097","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"4","167.968139","167.967996321","167.967845473","1147309.6","-9999","1267219.2","19.46","-1","0.898076792","0.86385878","0","0.518315268","6","0.166666667","0.666666667","N1 S1 P1 O1","de-protonated","0","-9999","C6 H4 O1 N1 P1 S1","6","4","1","1","1","1","-9999","-9999","-9999","-9999","-9999"
"6","171.066409","171.066269513","171.066282413","574815.6","-9999","1087812.8","8.75","-1","-0.075406079","0.998968801","0","0.599381281","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"11","179.0351","179.034968723","179.034982284","486778.1","-9999","942731.8","7.11","-1","-0.075745925","0.99895949","0","0.599375694","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"21","190.957633","190.957514005","190.95734036","1261961.5","-9999","898522.2","21.49","-1","0.909340775","0.860673518","0","0.516404111","4","0.8","1","S1 P1 O4","de-protonated","0","-9999","C5 H5 O4 P1 S1","5","5","4","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"23","194.082368","194.082252224","194.08226683","561834.6","-9999","766542.5","8.44","-1","-0.075254074","0.998972952","0","0.599383771","5","0.3","1.3","N1 O3","de-protonated","0","-9999","C10 H13 O3 N1","10","13","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"29","199.061282","199.061171354","199.061197032","507191.7","-9999","1026333.7","7.38","-1","-0.128998938","0.996985116","0","0.59819107","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"30","199.061388","199.061277354","199.061197032","506535.7","-9999","1051600.1","7.37","-1","0.403501172","0.970889866","0","0.58253392","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"46","215.031714","215.031619806","215.031828912","507469.6","-9999","1253605.5","7.23","-1","-0.972438923","0.842328941","0","0.505397365","4","0.125","1.5","N2 S2 O1","de-protonated","0","-9999","C8 H12 O1 N2 S2","8","12","1","2","-9999","2","-9999","-9999","-9999","-9999","-9999"
"53","219.062357","219.062266959","219.062259661","591392.5","-9999","1025610.8","8.69","-1","0.033314726","0.999798636","0","0.599879181","3","0.857142857","1.714285714","N2 O6","de-protonated","0","-9999","C7 H12 O6 N2","7","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"54","221.154786","221.154698114","221.154703496","891392.8","-9999","789509","14.1","-1","-0.024333826","0.999892564","0","0.599935538","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"59","239.128847","239.128777631","239.128882671","516627.7","-9999","701427.2","7.15","-1","-0.439258265","0.965595636","0","0.579357381","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"61","242.176232","242.176165771","242.176167217","1508700.1","-9999","819667.9","24.65","-1","-0.005970577","0.999993532","0","0.599996119","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"62","251.095556","251.095498959","251.095488342","1156653.6","-9999","1073693.5","18.22","-1","0.042283986","0.999675634","0","0.59980538","6","0.166666667","1.416666667","N2 P1 O2","de-protonated","0","-9999","C12 H17 O2 N2 P1","12","17","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"63","251.095909","251.09585196","251.095868465","2925613.8","-9999","858546.3","49.16","-1","-0.065731221","0.999216341","0","0.599529805","1","0.5","2","S1 O5","de-protonated","0","-9999","C10 H20 O5 S1","10","20","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"65","251.12892","251.128862994","251.128882671","548210.5","-9999","1044581.8","7.57","-1","-0.078353632","0.998886654","0","0.599331992","5","0.285714286","1.428571429","O4","de-protonated","0","-9999","C14 H20 O4","14","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
