"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"3","161.082203","161.081927737","161.081932477","835907.9","-9999","1135122.1","13.65","-1","-0.029425369","0.999842905","0","0.599905743","1","0.571428571","2","O4","de-protonated","0","-9999","C7 H14 O4","7","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"5","171.066563","171.066296528","171.066282413","2259357","-9999","840210.6","40.31","-1","0.082516296","0.99876529","0","0.599259174","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"9","179.035256","179.034996545","179.034982284","718269.3","-9999","717478.2","11.45","-1","0.079655272","0.998849377","0","0.599309626","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"14","185.08226","185.082005869","185.081932477","550811.1","-9999","1106652.9","8.32","-1","0.396538244","0.971871719","0","0.583123032","3","0.444444444","1.555555556","O4","de-protonated","0","-9999","C9 H14 O4","9","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"20","195.139367","195.139121724","195.139053431","904239.3","-9999","1062324.9","14.78","-1","0.349971306","0.97802131","0","0.586812786","3","0.166666667","1.666666667","O2","de-protonated","0","-9999","C12 H20 O2","12","20","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"23","199.061565","199.061323178","199.061197032","2126223","-9999","987178.1","37.33","-1","0.633703011","0.929725336","0","0.557835202","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","201.077227","201.076986953","201.076847097","521899.1","-9999","1006314.5","7.64","-1","0.695535089","0.915963044","0","0.549577826","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"26","202.072479","202.072239829","202.072096069","517429.7","-9999","837402.4","7.54","-1","0.711429837","0.912253779","0","0.547352267","3","0.625","1.625","N1 O5","de-protonated","0","-9999","C8 H13 O5 N1","8","13","5","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"30","209.009601","209.009367937","209.009161458","509530.8","-9999","899664.3","7.32","-1","0.98789305","0.837711339","0","0.502626803","7","0.666666667","0.666666667","O6","de-protonated","0","-9999","C9 H6 O6","9","6","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","209.154916","209.154683065","209.154703496","558476.8","-9999","999472.5","8.21","-1","-0.097682492","0.998270138","0","0.598962083","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"32","209.155112","209.154879065","209.154703496","1300172.9","-9999","894570.6","21.75","-1","0.839423723","0.879981333","0","0.5279888","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"34","211.134359","211.134127808","211.133968051","808679.5","-9999","996694.9","12.74","-1","0.7566619","0.901327927","0","0.540796756","3","0.25","1.666666667","O3","de-protonated","0","-9999","C12 H20 O3","12","20","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"37","213.077224","213.076994519","213.076847097","597287.7","-9999","1079927.5","8.89","-1","0.691872237","0.916808041","0","0.550084825","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"40","215.092888","215.092660293","215.092497161","752091.2","-9999","955004.7","11.67","-1","0.758428497","0.900890297","0","0.540534178","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"44","221.155138","221.154915631","221.154703496","703371","-9999","880500.5","10.7","-1","0.95921721","0.84624149","0","0.507744894","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"52","229.156208","229.155992676","229.155766124","615145.5","-9999","961776.5","9.01","-1","0.988637046","0.837487846","0","0.502492707","2","0.272727273","2","N2 O3","de-protonated","0","-9999","C11 H22 O3 N2","11","22","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"59","236.105871","236.105661795","236.105718673","1844428","-9999","761613.5","30.77","-1","-0.24090085","0.989525195","0","0.593715117","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"65","240.991009","240.990804097","240.990748489","574466.8","-9999","739926.2","8.13","-1","0.23074561","0.990385547","0","0.594231328","7","0.666666667","0.777777778","P1 O6","de-protonated","0","-9999","C9 H7 O6 P1","9","7","6","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"116","262.990614","262.990428467","262.990354566","1088508","-9999","743233.5","16.74","-1","0.281003829","0.985774394","0","0.591464636","14","0.2","0.333333333","P1 O3","de-protonated","0","-9999","C15 H5 O3 P1","15","5","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"119","264.988544","264.988360226","264.988246566","1095921.5","-9999","694440","16.78","-1","0.428927501","0.967168342","0","0.580301005","13","0.066666667","0.466666667","S1 P1 O1","de-protonated","0","-9999","C15 H7 O1 P1 S1","15","7","1","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"131","269.129875","269.129694873","269.129551376","704085","-9999","804138","10.01","-1","0.533189433","0.949723658","0","0.569834195","9","0.125","1.125","N2 O2","de-protonated","0","-9999","C16 H18 O2 N2","16","18","2","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"136","270.135098","270.134918758","270.134696327","1249989.5","-9999","683915.8","19.31","-1","0.823408326","0.88424382","0","0.530546292","4","0.384615385","1.615384615","N1 O5","de-protonated","0","-9999","C13 H21 O5 N1","13","21","5","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"149","274.972954","274.972779018","274.972596501","629964.2","-9999","743402.4","8.69","-1","0.663762296","0.923169213","0","0.553901528","15","0.0625","0.3125","S1 P1 O1","de-protonated","0","-9999","C16 H5 O1 P1 S1","16","5","1","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"153","277.058241","277.058067854","277.057842986","1519393","-9999","783884.5","23.78","-1","0.81162907","0.887339318","0","0.532403591","9","0.454545455","0.909090909","N4 O5","de-protonated","0","-9999","C11 H10 O5 N4","11","10","5","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
