Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
209.009908538,10,10,1,0,2,0,0,S2 O1,209.010030838,-0.585142527,C10H10OS2,0.428571429,0.466666667,6,5,3,71.7,208.776526207,0.223473793,-0.4,0.1,1,0,0,-9999,Unsat Hydrocarbon,Unsat Hydrocarbon,Other,71.7,-152.041522789,0.097177236,0.085056238,717,-1520.415227892
221.038832058,10,10,2,2,1,0,0,N2 S1 O2,221.039022292,-0.860637584,C10H10O2N2S,0.4,0.5,7,5,2,54.6,220.792018123,0.207981877,0.2,0.2,1,0.2,0,-9999,Other,Lignin,Protein,54.6,-133.18306377,0.117093486,0.102852204,546,-1331.830637695
217.07310644,10,10,2,4,0,0,0,N4 O2,217.073099127,0.033690293,C10H10O2N4,0.5,0.6,8,6,2,43.2,216.83072067,0.16927933,0.6,0.2,1,0.4,0,-9999,Other,Lignin,Protein,43.2,-116.615373421,0.12331573,0.116479336,432,-1166.153734209
225.004819608,10,10,2,0,2,0,0,S2 O2,225.004945458,-0.559319803,C10H10O2S2,0.333333333,0.428571429,6,4,2,66,224.753577217,0.246422783,-0.2,0.2,1,0,0,-9999,Other,Lignin,Other,66,-149.750754118,0.114076155,0.092067613,660,-1497.507541182
209.045561524,10,10,5,0,0,0,0,O5,209.045546968,0.069629844,C10H10O5,0.2,0.466666667,6,1,1,60.3,208.812139382,0.187860618,0,0.5,1,0,0,-9999,Lignin,Lignin,Other,60.3,-139.469216776,0.115696287,0.098021263,603,-1394.692167761
237.051709898,10,10,5,2,0,0,0,N2 O5,237.051694977,0.062945105,C10H10O5N2,0,0.454545455,7,2,0,43.2,236.787015841,0.212984159,0.6,0.5,1,0.2,0,-9999,Lignin,Lignin,Protein,43.2,-124.606142092,0.12331573,0.111755883,432,-1246.061420919
300.995928101,10,10,5,2,2,0,0,N2 S2 O5,300.995837325,0.301582882,C10H10O5N2S2,0,0.142857143,7,2,-2,31.8,300.659833358,0.340166642,1,0.5,1,0.2,0,-9999,Lignin,Lignin,Protein,31.8,-128.015373421,0.134503539,0.11385361,318,-1280.153734209
265.057850605,10,10,5,4,0,0,0,N4 O5,265.057842986,0.028746408,C10H10O5N4,0,0.428571429,8,3,-1,26.1,264.761884641,0.238115359,1.2,0.5,1,0.4,0,-9999,Lignin,Lignin,Protein,26.1,-109.743067408,0.140794973,0.129741699,261,-1097.430674078
241.017577328,10,10,5,0,1,0,0,S1 O5,241.017618142,-0.169342885,C10H10O5S,0,0.384615385,6,1,0,54.6,240.748454948,0.251545052,0.2,0.5,1,0,0,-9999,Lignin,Lignin,Other,54.6,-141.173832441,0.117093486,0.099110614,546,-1411.738324406
281.052798987,10,10,6,4,0,0,0,N4 O6,281.052757605,0.147237504,C10H10O6N4,0,0.333333333,8,2,-2,20.4,280.73897292,0.26102708,1.4,0.6,1,0.4,0,-9999,Lignin,Lignin,Protein,20.4,-107.452298737,0.147603705,0.134541725,204,-1074.522987367
