Sample_Name,Calibration_Points,Calibration_Threshold,Calibration_RMSE,Calibration_Order
HJW_01_SIR-1,7,0.8,0.555305522,1
HJW_01_SIR-2,40,0.6,0.146054576,1
HJW_01_SIR-3,58,0.6,0.138750602,1
HJW_02_SIR-1,11,0.6,0.210499986,1
HJW_02_SIR-2,111,0.6,0.126625452,1
HJW_02_SIR-3,119,0.6,0.196323224,1
HJW_03_SIR-1,13,0.6,0.334313884,1
HJW_03_SIR-2,56,0.6,0.240622198,1
HJW_03_SIR-3,33,0.6,0.194931399,1
HJW_04_SIR-1,6,0.6,0.124654415,1
HJW_04_SIR-2,18,0.6,0.256310623,1
HJW_04_SIR-3,16,0.6,0.287874036,1
HJW_05_SIR-1,151,0.6,0.195300658,1
HJW_05_SIR-2,193,0.6,0.164664249,1
HJW_05_SIR-3,22,0.6,0.241388082,1
HJW_06_SIR-1,9,0.6,0.165615839,1
HJW_06_SIR-2,14,0.6,0.164422266,1
HJW_06_SIR-3,18,0.6,0.232340552,1
HJW_07_SIR-1,14,0.6,0.104726911,1
HJW_07_SIR-2,130,0.6,0.158894188,1
HJW_07_SIR-3,73,0.6,0.107036994,1
HJW_08_SIR-1,54,0.6,0.182337623,1
HJW_08_SIR-2,143,0.6,0.214624515,1
HJW_08_SIR-3,20,0.6,0.332432878,1
HJW_09_SIR-1,12,0.6,0.346689598,1
HJW_09_SIR-2,11,0.6,0.454738658,1
HJW_09_SIR-3,103,0.6,0.23609123,1
HJW_10_SIR-1,8,0.8,0.610055419,1
HJW_10_SIR-2,6,1.7,0.975395937,1
HJW_10_SIR-3,6,1.8,0.740118626,1
HJW_11_SIR-1,6,0.7,0.408656442,1
HJW_11_SIR-2,54,0.6,0.219451196,1
HJW_11_SIR-3,42,0.6,0.272119895,1
HJW_12_SIR-1,23,0.6,0.115598049,1
HJW_12_SIR-2,6,1.6,1.00570391,1
HJW_12_SIR-3,6,1.1,0.715020726,1
HJW_13_SIR-1,7,1.7,0.749235176,1
HJW_13_SIR-2,15,0.6,0.277084451,1
HJW_13_SIR-3,7,0.7,0.176188591,1
HJW_14_SIR-1,11,0.6,0.256182242,1
HJW_14_SIR-2,15,0.6,0.430854165,1
HJW_14_SIR-3,45,0.6,0.274150965,1
HJW_15_SIR-1,25,0.6,0.308679646,1
HJW_15_SIR-2,9,0.6,0.279488718,1
HJW_15_SIR-3,7,0.6,0.276809475,1
HJW_16_SIR-1,26,0.6,0.341974438,1
HJW_16_SIR-2,102,0.6,0.156963945,1
HJW_16_SIR-3,20,0.6,0.258056769,1
HJW_17_SIR-1,10,0.6,0.132785485,1
HJW_17_SIR-2,27,0.6,0.292044394,1
HJW_17_SIR-3,166,0.6,0.180494877,1
HJW_18_SIR-1,6,1.5,0.799344934,1
HJW_18_SIR-2,341,0.6,0.175793056,1
HJW_18_SIR-3,7,1.4,0.663528111,1
HJW_19_SIR-1,13,0.6,0.24562177600000001,1
HJW_19_SIR-2,7,0.9,0.56477743,1
HJW_19_SIR-3,116,0.6,0.137434412,1
HJW_20_SIR-1,108,0.6,0.13242707,1
HJW_20_SIR-2,15,0.6,0.429303022,1
HJW_20_SIR-3,192,0.6,0.194476095,1
HJW_21_SIR-1,39,0.6,0.317005543,1
HJW_21_SIR-2,6,0.9,0.303079539,1
HJW_21_SIR-3,58,0.6,0.199353333,1
HJW_22_SIR-1,94,0.6,0.139821615,1
HJW_22_SIR-2,192,0.6,0.183280623,1
HJW_22_SIR-3,65,0.6,0.216894355,1
HJW_23_SIR-1,17,0.6,0.331355611,1
HJW_23_SIR-2,218,0.6,0.136807414,1
HJW_23_SIR-3,6,1.1,0.575038729,1
HJW_24_SIR-1,24,0.6,0.227882491,1
HJW_24_SIR-2,32,0.6,0.249217874,1
HJW_24_SIR-3,9,0.6,0.334319892,1
HJW_25_SIR-1,7,0.7,0.378162298,1
HJW_25_SIR-2,21,0.6,0.34664217,1
HJW_25_SIR-3,23,0.6,0.266260491,1
HJW_26_SIR-1,13,0.6,0.290403622,1
HJW_26_SIR-2,66,0.6,0.11770413,1
HJW_26_SIR-3,6,0.7,0.119763509,1
HJW_28_SIR-1,8,1.1,0.61502178,1
HJW_28_SIR-2,12,0.6,0.156446271,1
HJW_28_SIR-3,209,0.6,0.152961218,1
HJW_29_SIR-1,87,0.6,0.124613147,1
HJW_29_SIR-2,165,0.6,0.147549536,1
HJW_29_SIR-3,6,1,0.564523677,1
HJW_30_SIR-1,17,0.6,0.33246507,1
HJW_30_SIR-2,10,0.6,0.161974157,1
HJW_30_SIR-3,13,0.6,0.172984002,1
HJW_31_SIR-1,94,0.6,0.26850852,1
HJW_31_SIR-2,43,0.6,0.216658159,1
HJW_31_SIR-3,21,0.6,0.216000935,1
HJW_32_SIR-1,6,0.9,0.321389432,1
HJW_32_SIR-2,263,0.6,0.18588884,1
HJW_32_SIR-3,206,0.6,0.155484979,1
HJW_33_SIR-1,11,0.6,0.262292914,1
HJW_33_SIR-2,6,0.7,0.294549011,1
HJW_33_SIR-3,134,0.6,0.157809659,1
HJW_34_SIR-1,53,0.6,0.140034664,1
HJW_34_SIR-2,16,0.6,0.3809516,1
HJW_35_SIR-1,6,0.9,0.59902684,1
HJW_35_SIR-2,25,0.6,0.353600698,1
HJW_35_SIR-3,108,0.6,0.219705166,1
HJW_36_SIR-1,16,0.6,0.371340856,1
HJW_36_SIR-2,8,0.9,0.373706228,1
HJW_36_SIR-3,6,1.3,0.742685714,1
HJW_37_SIR-1,8,0.7,0.410791241,1
HJW_37_SIR-2,32,0.6,0.197107318,1
HJW_37_SIR-3,262,0.6,0.128881403,1
HJW_38_SIR-1,21,0.6,0.238732301,1
HJW_38_SIR-2,76,0.6,0.170701823,1
HJW_38_SIR-3,196,0.6,0.143790211,1
HJW_39_SIR-1,187,0.6,0.156441189,1
HJW_39_SIR-2,6,0.6,0.292975208,1
HJW_39_SIR-3,133,0.6,0.193694931,1
HJW_40_SIR-1,165,0.6,0.164213946,1
HJW_40_SIR-2,195,0.6,0.151211292,1
HJW_40_SIR-3,41,0.6,0.227221942,1
HJW_41_SIR-1,7,1.4,0.882782367,1
HJW_41_SIR-2,6,0.6,0.166671672,1
HJW_41_SIR-3,62,0.6,0.127128941,1
HJW_42_SIR-1,150,0.6,0.146177915,1
HJW_42_SIR-2,14,0.7,0.457253349,1
HJW_42_SIR-3,7,0.6,0.250090414,1
HJW_43_SIR-1,9,0.8,0.643305345,1
HJW_43_SIR-3,10,0.6,0.256692408,1
HJW_44_SIR-1,9,0.6,0.279609263,1
HJW_44_SIR-2,60,0.6,0.231643712,1
HJW_44_SIR-3,24,0.6,0.335281158,1
HJW_45_SIR-1,7,0.6,0.405046181,1
HJW_45_SIR-2,18,0.6,0.352967924,1
HJW_45_SIR-3,219,0.6,0.126358365,1
HJW_46_SIR-1,48,0.6,0.126041994,1
HJW_46_SIR-2,12,0.6,0.282214763,1
HJW_46_SIR-3,44,0.6,0.273894121,1
HJW_47_SIR-1,7,0.7,0.199108098,1
HJW_47_SIR-2,7,0.8,0.451386905,1
HJW_47_SIR-3,8,0.7,0.489976251,1
HJW_48_SIR-1,15,0.6,0.257210374,1
HJW_48_SIR-2,81,0.6,0.179577273,1
HJW_48_SIR-3,9,0.6,0.270348495,1
