Calibrated_Mass,HJW_01_SIR-1,HJW_01_SIR-2,HJW_01_SIR-3,HJW_02_SIR-1,HJW_02_SIR-2,HJW_02_SIR-3,HJW_03_SIR-1,HJW_03_SIR-2,HJW_03_SIR-3,HJW_04_SIR-1,HJW_04_SIR-2,HJW_04_SIR-3,HJW_05_SIR-1,HJW_05_SIR-2,HJW_05_SIR-3,HJW_06_SIR-1,HJW_06_SIR-2,HJW_06_SIR-3,HJW_07_SIR-1,HJW_07_SIR-2,HJW_07_SIR-3,HJW_08_SIR-1,HJW_08_SIR-2,HJW_08_SIR-3,HJW_09_SIR-1,HJW_09_SIR-2,HJW_09_SIR-3,HJW_10_SIR-1,HJW_10_SIR-2,HJW_10_SIR-3,HJW_11_SIR-1,HJW_11_SIR-2,HJW_11_SIR-3,HJW_12_SIR-1,HJW_12_SIR-2,HJW_12_SIR-3,HJW_13_SIR-1,HJW_13_SIR-2,HJW_13_SIR-3,HJW_14_SIR-1,HJW_14_SIR-2,HJW_14_SIR-3,HJW_15_SIR-1,HJW_15_SIR-2,HJW_15_SIR-3,HJW_16_SIR-1,HJW_16_SIR-2,HJW_16_SIR-3,HJW_17_SIR-1,HJW_17_SIR-2,HJW_17_SIR-3,HJW_18_SIR-1,HJW_18_SIR-2,HJW_18_SIR-3,HJW_19_SIR-1,HJW_19_SIR-2,HJW_19_SIR-3,HJW_20_SIR-1,HJW_20_SIR-2,HJW_20_SIR-3,HJW_21_SIR-1,HJW_21_SIR-2,HJW_21_SIR-3,HJW_22_SIR-1,HJW_22_SIR-2,HJW_22_SIR-3,HJW_23_SIR-1,HJW_23_SIR-2,HJW_23_SIR-3,HJW_24_SIR-1,HJW_24_SIR-2,HJW_24_SIR-3,HJW_25_SIR-1,HJW_25_SIR-2,HJW_25_SIR-3,HJW_26_SIR-1,HJW_26_SIR-2,HJW_26_SIR-3,HJW_28_SIR-1,HJW_28_SIR-2,HJW_28_SIR-3,HJW_29_SIR-1,HJW_29_SIR-2,HJW_29_SIR-3,HJW_30_SIR-1,HJW_30_SIR-2,HJW_30_SIR-3,HJW_31_SIR-1,HJW_31_SIR-2,HJW_31_SIR-3,HJW_32_SIR-1,HJW_32_SIR-2,HJW_32_SIR-3,HJW_33_SIR-1,HJW_33_SIR-2,HJW_33_SIR-3,HJW_34_SIR-1,HJW_34_SIR-2,HJW_35_SIR-1,HJW_35_SIR-2,HJW_35_SIR-3,HJW_36_SIR-1,HJW_36_SIR-2,HJW_36_SIR-3,HJW_37_SIR-1,HJW_37_SIR-2,HJW_37_SIR-3,HJW_38_SIR-1,HJW_38_SIR-2,HJW_38_SIR-3,HJW_39_SIR-1,HJW_39_SIR-2,HJW_39_SIR-3,HJW_40_SIR-1,HJW_40_SIR-2,HJW_40_SIR-3,HJW_41_SIR-1,HJW_41_SIR-2,HJW_41_SIR-3,HJW_42_SIR-1,HJW_42_SIR-2,HJW_42_SIR-3,HJW_43_SIR-1,HJW_43_SIR-3,HJW_44_SIR-1,HJW_44_SIR-2,HJW_44_SIR-3,HJW_45_SIR-1,HJW_45_SIR-2,HJW_45_SIR-3,HJW_46_SIR-1,HJW_46_SIR-2,HJW_46_SIR-3,HJW_47_SIR-1,HJW_47_SIR-2,HJW_47_SIR-3,HJW_48_SIR-1,HJW_48_SIR-2,HJW_48_SIR-3
209.009908538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5501598.5,0,0,0,0,0,0,0,5933860.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610377.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700376.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.038832058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690902.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217.07310644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540933.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376152.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.004819608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888423.1,0,0,0,0,0,0,0,1138696.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.045561524,0,0,0,0,0,0,0,0,0,0,0,0,0,500929.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237.051709898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323109.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.995928101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979196.9,0,0,0,0,0,0,0
265.057850605,0,0,0,0,2521766.5,2151087,0,4405762,1786466.9,0,0,0,781508.6,2252252.5,0,0,0,0,668845.2,879694.3,0,3897952,1096901.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729261.5,688113.2,0,0,0,0,0,1040789.9,0,0,0,1279537.4,1055981,0,2483982.8,0,0,0,0,0,0,0,2130028.5,0,1236668,0,0,0,0,0,0,0,0,0,0,2744749.5,735626,631876.1,0,0,0,0,0,0,0,0,0,0,1068237.8,0,1298896.4,0,0,0,0,2566132.8,0,0,0,0,846664.8,644801.4,0,1148752.8,0,3335878,0,0,0,0,0,0,1536021.9,1631969.4,1876106.9,0,0,0,0,0,0,0,0,0,1394543.4,1488277.4,0,845084.3,0,0,0,0,0,0
241.017577328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538180.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281.052798987,0,0,0,0,663527.5,0,0,1162765.5,0,0,0,0,0,803641.5,0,0,0,0,0,631434.6,0,896413.6,680034.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171394.3,0,0,0,0,0,0,0,0,0,0,694288.1,0,0,1080996.3,0,0,0,0,0,0,0,1026745.8,0,0,0,0,0,0,0,0,0,0,0,0,598344.2,662935.8,0,0,763382.4,0,0,0,0,0,0,0,0,0,0,783179.2,0,0,0,0,937094.7,0,0,0,1061422.5,0,0,0,0,0,1216333.4,0,0,0,0,0,0,756736.9,935739.1,749506.4,0,0,0,0,0,0,0,0,0,937615.4,996670.3,603397.8,0,0,0,0,0,0,0
