Sample_Name,Calibration_Points,Calibration_Threshold,Calibration_RMSE,Calibration_Order
HJW_01_ICR-1,7,0.6,0.432664119,1
HJW_01_ICR-2,6,1.3,0.486851158,1
HJW_01_ICR-3,6,1.1,0.505064723,1
HJW_02_ICR-1,8,0.8,0.10792591,1
HJW_02_ICR-2,40,0.6,0.246959341,1
HJW_02_ICR-3,8,0.9,0.140566243,1
HJW_03_ICR-1,7,0.8,0.066927859,1
HJW_03_ICR-2,6,0.9,0.306534166,1
HJW_03_ICR-3,6,0.9,0.065718581,1
HJW_04_ICR-1,6,1.1,0.052498309,1
HJW_04_ICR-2,32,0.6,0.145312838,1
HJW_04_ICR-3,8,1.1,0.446658019,1
HJW_05_ICR-1,12,0.6,0.264969829,1
HJW_05_ICR-2,11,0.6,0.286853844,1
HJW_05_ICR-3,7,0.6,0.269412573,1
HJW_06_ICR-1,8,0.6,0.230043631,1
HJW_06_ICR-2,6,0.6,0.353818056,1
HJW_06_ICR-3,202,0.6,0.147799976,1
HJW_07_ICR-1,6,0.8,0.375976552,1
HJW_07_ICR-2,12,0.6,0.226469983,1
HJW_07_ICR-3,6,0.6,0.310946596,1
HJW_08_ICR-1,11,0.6,0.321075889,1
HJW_08_ICR-2,9,0.6,0.106655285,1
HJW_08_ICR-3,10,0.6,0.270734953,1
HJW_09_ICR-1,6,1.1,0.09275128,1
HJW_09_ICR-2,7,0.6,0.109227025,1
HJW_09_ICR-3,20,0.6,0.300118925,1
HJW_10_ICR-1,7,0.6,0.325573715,1
HJW_10_ICR-2,7,0.6,0.33249462,1
HJW_10_ICR-3,10,0.6,0.407628134,1
HJW_11_ICR-1,212,0.6,0.114262896,1
HJW_11_ICR-2,437,0.6,0.151669904,1
HJW_11_ICR-3,7,0.6,0.332188207,1
HJW_12_ICR-1,6,0.6,0.46659717,1
HJW_12_ICR-2,6,0.8,0.457770313,1
HJW_12_ICR-3,7,0.6,0.388134086,1
HJW_13_ICR-1,6,0.9,0.382650304,1
HJW_13_ICR-2,9,0.6,0.39939581,1
HJW_13_ICR-3,6,1.1,0.57452932,1
HJW_14_ICR-1,7,0.7,0.369015888,1
HJW_14_ICR-2,452,0.6,0.121938857,1
HJW_14_ICR-3,7,0.6,0.425620769,1
HJW_15_ICR-1,7,0.7,0.484938894,1
HJW_15_ICR-2,8,0.6,0.449607891,1
HJW_15_ICR-3,9,0.6,0.179124249,1
HJW_16_ICR-1,6,0.6,0.257369166,1
HJW_16_ICR-2,7,0.9,0.590698478,1
HJW_16_ICR-3,7,0.6,0.230200712,1
HJW_17_ICR-1,7,1.1,0.524020325,1
HJW_17_ICR-2,6,1.2,0.533825454,1
HJW_17_ICR-3,7,0.8,0.282809244,1
HJW_18_ICR-1,10,0.6,0.370285814,1
HJW_18_ICR-2,8,1.3,0.501418351,1
HJW_18_ICR-3,8,0.6,0.210694821,1
HJW_19_ICR-1,7,1,0.395852502,1
HJW_19_ICR-2,11,0.9,0.296299586,1
HJW_19_ICR-3,8,0.6,0.203249404,1
HJW_20_ICR-1,7,0.6,0.408547767,1
HJW_20_ICR-2,9,0.6,0.344224293,1
HJW_20_ICR-3,6,0.6,0.094636782,1
HJW_21_ICR-1,11,0.6,0.261146574,1
HJW_21_ICR-2,8,0.6,0.187923794,1
HJW_21_ICR-3,23,0.6,0.334164557,1
HJW_22_ICR-1,8,0.8,0.092989627,1
HJW_22_ICR-2,42,0.6,0.16730866,1
HJW_22_ICR-3,8,1.1,0.407254928,1
HJW_23_ICR-1,6,1.1,0.749427888,1
HJW_23_ICR-2,7,1.2,0.482678572,1
HJW_23_ICR-3,6,0.6,0.235787863,1
HJW_24_ICR-1,13,0.6,0.223999114,1
HJW_24_ICR-2,12,0.6,0.404302,1
HJW_24_ICR-3,41,0.6,0.270014052,1
HJW_25_ICR-1,25,0.6,0.338499191,1
HJW_25_ICR-3,7,0.6,0.37652992,1
HJW_26_ICR-1,21,0.6,0.393817789,1
HJW_26_ICR-2,6,1,0.317316889,1
HJW_26_ICR-3,7,0.6,0.148983608,1
HJW_27_ICR-1,201,0.6,0.147265195,1
HJW_27_ICR-2,12,0.6,0.296738234,1
HJW_27_ICR-3,6,0.7,0.170212365,1
HJW_28_ICR-1,12,0.6,0.257832975,1
HJW_28_ICR-2,7,1,0.063801177,1
HJW_28_ICR-3,6,0.6,0.269958146,1
HJW_29_ICR-1,20,0.6,0.181678543,1
HJW_29_ICR-2,6,0.8,0.39068126,1
HJW_29_ICR-3,24,0.6,0.243099548,1
HJW_30_ICR-1,8,0.6,0.333986809,1
