"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","34S"
"4","171.066226","171.066300969","171.066282413","486832.3","-9999","1420967.4","7.09","-1","0.108472068","0.997867318","0","0.598720391","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999"
"7","185.081863","185.081959074","185.081932477","541104.4","-9999","1260646.3","8.1","-1","0.143700422","0.99626013","0","0.597756078","3","0.444444444","1.555555556","O4","de-protonated","0","-9999","C9 H14 O4","9","14","4","-9999","-9999","-9999","-9999","-9999"
"8","187.097517","187.097616109","187.097582542","493140.1","-9999","945609.4","7.2","-1","0.179409509","0.994176593","0","0.596505956","2","0.444444444","1.777777778","O4","de-protonated","0","-9999","C9 H16 O4","9","16","4","-9999","-9999","-9999","-9999","-9999"
"9","189.076719","189.076821089","189.076847097","500216.4","-9999","853710.5","7.32","-1","-0.137551059","0.996572824","0","0.597943694","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999"
"11","199.060883","199.061000123","199.061197032","620679.9","-9999","1123252.5","9.46","-1","-0.989188254","0.837322195","0","0.502393317","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999"
"12","199.061112","199.061229124","199.061197032","550695.9","-9999","1329386.1","8.17","-1","0.161213472","0.99529529","0","0.597177174","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999"
"13","201.040302","201.040422104","201.040461587","794762.1","-9999","927393.4","12.64","-1","-0.196395676","0.993025729","0","0.595815437","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999"
"14","201.076718","201.076838159","201.076847097","775021.4","-9999","629224","12.28","-1","-0.044450626","0.999641547","0","0.599784928","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999"
"15","203.056003","203.056126139","203.056111652","622749.9","-9999","1303913.6","9.45","-1","0.071346422","0.999076796","0","0.599446078","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999"
"19","211.1338","211.133935303","211.133968051","521102.8","-9999","852083.4","7.49","-1","-0.15510611","0.995644239","0","0.597386543","3","0.25","1.666666667","O3","de-protonated","0","-9999","C12 H20 O3","12","20","3","-9999","-9999","-9999","-9999","-9999"
"21","213.076701","213.076839228","213.076847097","764900.9","-9999","1210323.6","11.92","-1","-0.036926992","0.999752607","0","0.599851564","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999"
"22","213.113091","213.113229283","213.113232606","675241.6","-9999","1031360.9","10.29","-1","-0.015591902","0.999955889","0","0.599973534","3","0.363636364","1.636363636","O4","de-protonated","0","-9999","C11 H18 O4","11","18","4","-9999","-9999","-9999","-9999","-9999"
