"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","33S","34S"
"2","257.077633","257.07792271","257.077909725","896935.5","-9999","683394.5","13.63","-1","0.050510523","0.99953717500000006","0","0.599722305","5","0.6","1.4","N2 O6","de-protonated","0","-9999","C10 H14 O6 N2","10","14","6","2","-9999","-9999","-9999","-9999","-9999"
"3","265.14766","265.147950225","265.147904038","4053140.8","-9999","691502.9","68.03","-1","0.174190532","0.99450955","0","0.59670573","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999"
"6","269.130928","269.131218478","269.131205146","1824767.9","-9999","833372","29.41","-1","0.049538419","0.999554814","0","0.599732888","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999"
"7","269.13918","269.139470479","269.139447355","2022016.6","-9999","584839.7","32.81","-1","0.085919662","0.998661408","0","0.599196845","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999"
"10","283.045634","283.045925365","283.045940891","900583.6","-9999","843285.7","13.33","-1","-0.054852684","0.999454203","0","0.599672522","7","0.666666667","1","O8","de-protonated","0","-9999","C12 H12 O8","12","12","8","-9999","-9999","-9999","-9999","-9999","-9999"
"10","283.045634","283.045925365","283.0457787","900583.6","-9999","843285.7","13.33","-1","0.518168832","0.95244894","0","0.571469364","2","0.285714286","2.428571429","N4 S2 P1 O2","de-protonated","0","-9999","C7 H17 O2 N4 P1 S2","7","17","2","4","1","2","-9999","-9999","-9999"
"11","285.125817","285.126108498","285.126119766","5740130.5","-9999","599260.2","95.81","-1","-0.039519132","0.999218366","0.985400793","0.993691337","4","0.285714286","1.642857143","P1 O4","de-protonated","0","-9999","C14 H23 O4 P1","14","23","4","-9999","1","-9999","-9999","-9999","-9999"
"12","286.129159","286.129450562","286.129474601","982172.4","-9999","548245.8","14.72","-1","-0.084014648","0.998720071","0.985400793","0.99339236","4","0.285714286","1.642857143","13C1 P1 O4","de-protonated","1","11","C13 H23 O4 P1 13C1","13","23","4","-9999","1","-9999","1","-9999","-9999"
"12","286.129159","286.129450562","286.129610946","982172.4","-9999","548245.8","14.72","-1","-0.560531595","0.944584254","0","0.566750552","4","0.461538462","1.615384615","N1 O6","de-protonated","0","-9999","C13 H21 O6 N1","13","21","6","1","-9999","-9999","-9999","-9999","-9999"
"13","293.066373","293.066665004","293.066676336","870165","-9999","804642.8","12.71","-1","-0.038667421","0.99972874","0","0.599837244","8","0.5","1","O7","de-protonated","0","-9999","C14 H14 O7","14","14","7","-9999","-9999","-9999","-9999","-9999","-9999"
"13","293.066373","293.066665004","293.066514145","870165","-9999","804642.8","12.71","-1","0.514760951","0.95305748","0","0.571834488","3","0.111111111","2.111111111","N4 S2 P1 O1","de-protonated","0","-9999","C9 H19 O1 N4 P1 S2","9","19","1","4","1","2","-9999","-9999","-9999"
"14","293.175525","293.175817011","293.175832864","970010.7","-9999","586534.8","14.4","-1","-0.054074125","0.999469583","0","0.59968175","5","0.235294118","1.529411765","O4","de-protonated","0","-9999","C17 H26 O4","17","26","4","-9999","-9999","-9999","-9999","-9999","-9999"
"15","293.178888","293.179180011","293.179204167","1858330.9","-9999","595901.5","29.42","-1","-0.082394426","0.998768932","0","0.599261359","0","0.285714286","2.142857143","S1 O4","de-protonated","0","-9999","C14 H30 O4 S1","14","30","4","-9999","-9999","1","-9999","-9999","-9999"
"16","295.045574","295.04586613","295.045940891","1104251.9","-9999","786824","16.66","-1","-0.253388048","0.988417594","0","0.593050557","8","0.615384615","0.923076923","O8","de-protonated","0","-9999","C13 H12 O8","13","12","8","-9999","-9999","-9999","-9999","-9999","-9999"
"16","295.045574","295.04586613","295.0457787","1104251.9","-9999","786824","16.66","-1","0.296327626","0.984193239","0","0.590515943","3","0.25","2.125","N4 S2 P1 O2","de-protonated","0","-9999","C8 H17 O2 N4 P1 S2","8","17","2","4","1","2","-9999","-9999","-9999"
"17","297.06123","297.061522258","297.061590955","863459.8","-9999","746984.9","12.54","-1","-0.231255491","0.990343216","0","0.59420593","7","0.615384615","1.076923077","O8","de-protonated","0","-9999","C13 H14 O8","13","14","8","-9999","-9999","-9999","-9999","-9999","-9999"
"17","297.06123","297.061522258","297.061428764","863459.8","-9999","746984.9","12.54","-1","0.31473021","0.98218714","0","0.589312284","2","0.25","2.375","N4 S2 P1 O2","de-protonated","0","-9999","C8 H19 O2 N4 P1 S2","8","19","2","4","1","2","-9999","-9999","-9999"
"18","297.097695","297.097987261","297.097976465","876517.6","-9999","698455.3","12.76","-1","0.036337675","0.999760439","0","0.599856263","6","0.5","1.285714286","O7","de-protonated","0","-9999","C14 H18 O7","14","18","7","-9999","-9999","-9999","-9999","-9999","-9999"
"19","297.152643","297.152935264","297.152989419","1302760.5","-9999","637478.8","19.94","-1","-0.182244872","0.993991633","0","0.59639498","4","0.1875","1.625","S1 O3","de-protonated","0","-9999","C16 H26 O3 S1","16","26","3","-9999","-9999","1","-9999","-9999","-9999"
"20","299.076905","299.077197387","299.07724102","992715.6","-9999","616723.3","14.72","-1","-0.145892519","0.996145381","0","0.597687228","6","0.615384615","1.230769231","O8","de-protonated","0","-9999","C13 H16 O8","13","16","8","-9999","-9999","-9999","-9999","-9999","-9999"
"21","305.029978","305.030270766","305.030290827","845060.2","-9999","571073.1","12.17","-1","-0.065765217","0.999215531","0","0.599529318","10","0.571428571","0.714285714","O8","de-protonated","0","-9999","C14 H10 O8","14","10","8","-9999","-9999","-9999","-9999","-9999","-9999"
"21","305.029978","305.030270766","305.030128635","845060.2","-9999","571073.1","12.17","-1","0.465957076","0.961370496","0","0.576822298","5","0.222222222","1.666666667","N4 S2 P1 O2","de-protonated","0","-9999","C9 H15 O2 N4 P1 S2","9","15","2","4","1","2","-9999","-9999","-9999"
"22","307.045551","307.045843895","307.045940891","1058162.4","-9999","709026.7","15.68","-1","-0.315901906","0.982055463","0","0.589233278","9","0.571428571","0.857142857","O8","de-protonated","0","-9999","C14 H12 O8","14","12","8","-9999","-9999","-9999","-9999","-9999","-9999"
"22","307.045551","307.045843895","307.0457787","1058162.4","-9999","709026.7","15.68","-1","0.212329681","0.991852955","0","0.595111773","4","0.222222222","1.888888889","N4 S2 P1 O2","de-protonated","0","-9999","C9 H17 O2 N4 P1 S2","9","17","2","4","1","2","-9999","-9999","-9999"
"23","307.081955","307.082247897","307.0823264","979700.4","-9999","747228.8","14.37","-1","-0.255642937","0.98821176","0","0.592927056","8","0.466666667","1.066666667","O7","de-protonated","0","-9999","C15 H16 O7","15","16","7","-9999","-9999","-9999","-9999","-9999","-9999"
"23","307.081955","307.082247897","307.082164209","979700.4","-9999","747228.8","14.37","-1","0.272526092","0.986614119","0","0.591968472","3","0.1","2.1","N4 S2 P1 O1","de-protonated","0","-9999","C10 H21 O1 N4 P1 S2","10","21","1","4","1","2","-9999","-9999","-9999"
"24","309.061248","309.061541023","309.061590955","1162724","-9999","630475","17.42","-1","-0.161561339","0.995275012","0","0.597165007","8","0.571428571","1","O8","de-protonated","0","-9999","C14 H14 O8","14","14","8","-9999","-9999","-9999","-9999","-9999","-9999"
"24","309.061248","309.061541023","309.061428764","1162724","-9999","630475","17.42","-1","0.363225285","0.976345267","0","0.58580716","3","0.222222222","2.111111111","N4 S2 P1 O2","de-protonated","0","-9999","C9 H19 O2 N4 P1 S2","9","19","2","4","1","2","-9999","-9999","-9999"
"25","309.097615","309.097908025","309.097976465","1036390.1","-9999","567567.3","15.31","-1","-0.221416645","0.991143867","0","0.59468632","7","0.466666667","1.2","O7","de-protonated","0","-9999","C15 H18 O7","15","18","7","-9999","-9999","-9999","-9999","-9999","-9999"
"25","309.097615","309.097908025","309.097814273","1036390.1","-9999","567567.3","15.31","-1","0.303308172","0.983446023","0","0.590067614","2","0.1","2.3","N4 S2 P1 O1","de-protonated","0","-9999","C10 H23 O1 N4 P1 S2","10","23","1","4","1","2","-9999","-9999","-9999"
"26","311.113253","311.113546154","311.113626529","868187.9","-9999","552093.7","12.5","-1","-0.258347563","0.987962523","0","0.592777514","6","0.466666667","1.333333333","O7","de-protonated","0","-9999","C15 H20 O7","15","20","7","-9999","-9999","-9999","-9999","-9999","-9999"
