"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","34S"
"4","171.066295","171.066321433","171.066282413","496091.1","-9999","882525.9","7.27","-1","0.228100274","0.990603697","0","0.594362218","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"9","185.081876","185.081918838","185.081932477","484624.9","-9999","830996.1","7.06","-1","-0.073691814","0.999015131","0","0.599409079","3","0.444444444","1.555555556","O4","de-protonated","0","-9999","C9 H14 O4","9","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"11","187.061116","187.061161155","187.061197032","820374.9","-9999","1175822.6","13.32","-1","-0.191795215","0.993347563","0","0.596008538","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"12","187.097473","187.097518197","187.097582542","525112.1","-9999","1048625.5","7.81","-1","-0.343907366","0.978768286","0","0.587260971","2","0.444444444","1.777777778","O4","de-protonated","0","-9999","C9 H16 O4","9","16","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"15","199.06111","199.061169201","199.061197032","716030.7","-9999","809416.3","11.24","-1","-0.139813822","0.996459341","0","0.597875605","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"16","199.097532","199.097591243","199.097582542","632705.8","-9999","1253362.5","9.7","-1","0.04370608","0.999653453","0","0.599792072","3","0.4","1.6","O4","de-protonated","0","-9999","C10 H16 O4","10","16","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"18","201.040389","201.040450518","201.040461587","621647.6","-9999","1296995.3","9.47","-1","-0.055062947","0.999450012","0","0.599670007","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"19","201.076612","201.07667356","201.076847097","568626.9","-9999","756000.4","8.49","-1","-0.86303736","0.873585688","0","0.524151413","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"20","201.07678","201.07684156","201.076847097","717634.9","-9999","822590.8","11.24","-1","-0.027534919","0.99986244","0","0.599917464","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"21","203.056034","203.056097877","203.056111652","761169.9","-9999","984665.5","12.01","-1","-0.067838575","0.999165309","0","0.599499185","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
