"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"3","171.066224","171.066278548","171.066282413","730242.6","-9999","1241874.2","11.66","-1","-0.022592027","0.999907393","0","0.599944436","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"9","179.034899","179.034954175","179.034982284","536603.4","-9999","1357312.9","8.04","-1","-0.157001357","0.995537381","0","0.597322429","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"19","245.048665","245.04872537","245.048918271","655144.8","-9999","1156782.4","9.56","-1","-0.787194922","0.893651529","0","0.536190918","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"19","245.048665","245.04872537","245.048538149","655144.8","-9999","1156782.4","9.56","-1","0.764017028","0.899500569","0","0.539700341","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"21","253.144296","253.144357007","253.144532735","1137634.1","-9999","869528.6","17.94","-1","-0.694180762","0.916275908","0","0.549765545","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"27","262.991122","262.991183782","262.99142065","1087125","-9999","617275.5","16.86","-1","-0.900670021","0.863127938","0","0.517876763","5","0.666666667","1.333333333","N4 S2 O4","de-protonated","0","-9999","C6 H8 O4 N4 S2","6","8","4","4","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"32","265.147596","265.147657952","265.147904038","4214652","-9999","667463.6","70.94","-1","-0.928111462","0.874319433","0.997727395","0.923682618","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"32","265.147596","265.147657952","265.147523916","4214652","-9999","667463.6","70.94","-1","0.505513719","0.941554928","0.981098834","0.95737249","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"33","266.150987","266.15104903","266.151258873","534819.8","-9999","760965.4","7.24","-1","-0.788434817","0.893334803","0.997727395","0.93509184","0","0.333333333","2.166666667","13C1 S1 O4","de-protonated","1","32","C11 H26 O4 S1 13C1","11","26","4","-9999","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"33","266.150987","266.15104903","266.150878751","534819.8","-9999","760965.4","7.24","-1","0.63978598","0.928419424","0.981098834","0.949491188","5","0.071428571","1.642857143","13C1 N2 P1 O1","de-protonated","1","32","C13 H23 O1 N2 P1 13C1","13","23","1","2","1","-9999","1","-9999","-9999","-9999","-9999","-9999"
"33","266.150987","266.15104903","266.151015097","534819.8","-9999","760965.4","7.24","-1","0.127498972","0.997054718","0","0.598232831","5","0.230769231","1.615384615","N3 O3","de-protonated","0","-9999","C13 H21 O3 N3","13","21","3","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","269.130895","269.130957265","269.131205146","5841163","-9999","711525.9","98.76","-1","-0.92104188","0.428667639","0.86849267","0.604597652","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"41","269.139131","269.139193266","269.139447355","2494732","-9999","701168.8","41.02","-1","-0.944079196","0.85067716","0","0.510406296","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"46","279.163202","279.163265054","279.16317398","1051637.8","-9999","781034.5","15.99","-1","0.326239954","0.980873244","0","0.588523946","5","0.066666667","1.666666667","N2 P1 O1","de-protonated","0","-9999","C15 H25 O1 N2 P1","15","25","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"52","293.178806","293.178870157","293.178824045","1902957.1","-9999","547938.5","30.21","-1","0.157285067","0.995521274","0","0.597312765","5","0.0625","1.6875","N2 P1 O1","de-protonated","0","-9999","C16 H27 O1 N2 P1","16","27","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"55","298.156028","298.156092549","298.156100477","541883.2","-9999","542687.9","7.13","-1","-0.026589684","0.999871722","0","0.599923033","9","0.117647059","1.235294118","N3 O2","de-protonated","0","-9999","C17 H21 O2 N3","17","21","2","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
