"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"10","185.045283","185.045491263","185.045546968","492631.7","-9999","1156250.6","7.21","-1","-0.301034564","0.983691243","0","0.590214746","4","0.625","1.25","O5","de-protonated","0","-9999","C8 H10 O5","8","10","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"11","187.061088","187.061293939","187.061197032","734805.5","-9999","984787.9","11.72","-1","0.518046683","0.952470815","0","0.571482489","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"14","199.060836","199.061028104","199.061197032","632449.3","-9999","1298568.2","9.69","-1","-0.848623245","0.877505249","0","0.526503149","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"15","199.06108","199.061272104","199.061197032","1012801.3","-9999","1113764.1","16.72","-1","0.377129048","0.97452337","0","0.584714022","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"16","199.09749","199.097682062","199.097582542","489364.6","-9999","945703","7.05","-1","0.499857566","0.955676004","0","0.573405603","3","0.4","1.6","O4","de-protonated","0","-9999","C10 H16 O4","10","16","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"17","201.040377","201.040566822","201.040461587","548834.8","-9999","758992.1","8.13","-1","0.523450538","0.951498637","0","0.570899182","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"18","201.076692","201.07688178","201.076847097","782110.4","-9999","1046045.9","12.43","-1","0.172488882","0.994616009","0","0.596769606","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"19","203.05598","203.056167498","203.056111652","770246.8","-9999","1201289.3","12.17","-1","0.275029933","0.986368715","0","0.591821229","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"27","213.076701","213.076876946","213.076847097","610013.5","-9999","1118727.8","9.12","-1","0.140084803","0.996445628","0","0.597867377","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"30","215.055752","215.055925664","215.056111652","709547.8","-9999","1104915.7","10.9","-1","-0.86483434","0.873093657","0","0.523856194","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
