"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","34S"
"3","171.066265","171.066357891","171.066282413","526324.6","-9999","1532471.9","7.84","-1","0.441222912","0.965292606","0","0.579175563","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999"
"4","175.061139","175.061227938","175.061197032","488932","-9999","1311184.9","7.15","-1","0.176543535","0.994360638","0","0.596616383","2","0.714285714","1.714285714","O5","de-protonated","0","-9999","C7 H12 O5","7","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"7","187.061081","187.061158064","187.061197032","543483.5","-9999","808676.2","8.16","-1","-0.208316043","0.992156849","0","0.59529411","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"8","187.097479","187.097556028","187.097582542","559524.9","-9999","1414972.6","8.46","-1","-0.141707944","0.996362933","0","0.59781776","2","0.444444444","1.777777778","O4","de-protonated","0","-9999","C9 H16 O4","9","16","4","-9999","-9999","-9999","-9999","-9999","-9999"
"10","189.076784","189.07685907","189.076847097","543441.7","-9999","1049624.7","8.14","-1","0.063324424","0.999272659","0","0.599563595","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"13","199.061103","199.061168191","199.061197032","846481.5","-9999","1223670.7","13.65","-1","-0.144888602","0.996198146","0","0.597718888","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"14","199.097496","199.097561155","199.097582542","577765","-9999","983827.5","8.69","-1","-0.107419983","0.997908444","0","0.598745067","3","0.4","1.6","O4","de-protonated","0","-9999","C10 H16 O4","10","16","4","-9999","-9999","-9999","-9999","-9999","-9999"
"15","201.040315","201.040378232","201.040461587","644190.9","-9999","747334.2","9.89","-1","-0.414619076","0.969288814","0","0.581573288","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999","-9999"
"16","201.076709","201.076772196","201.076847097","728202.6","-9999","735002.9","11.43","-1","-0.372497246","0.975137525","0","0.585082515","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"17","203.056008","203.056069238","203.056111652","886511.6","-9999","1025515","14.31","-1","-0.208879061","0.992114564","0","0.595268739","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"18","203.092389","203.092450202","203.092497161","551299.7","-9999","1105246.4","8.15","-1","-0.23122232","0.990345973","0","0.594207584","2","0.555555556","1.777777778","O5","de-protonated","0","-9999","C9 H16 O5","9","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"21","213.040361","213.040412358","213.040461587","545929.3","-9999","1069989.5","7.95","-1","-0.231078566","0.990357915","0","0.594214749","5","0.666666667","1.111111111","O6","de-protonated","0","-9999","C9 H10 O6","9","10","6","-9999","-9999","-9999","-9999","-9999","-9999"
"22","213.076739","213.076790322","213.076847097","765422.4","-9999","891501.8","11.94","-1","-0.266450488","0.987200513","0","0.592320308","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
