"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"4","171.066042","171.06622021","171.066282413","524557.1","-9999","1377010.7","7.81","-1","-0.363615473","0.976295025","0","0.585777015","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"5","171.06621","171.06638821","171.066282413","525861.1","-9999","1304858.4","7.83","-1","0.618459485","0.93295091","0","0.559770546","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"22","239.128788","239.128930607","239.128882671","529818.5","-9999","847354.1","7.4","-1","0.200464695","0.992734806","0","0.595640884","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"24","242.176033","242.176174013","242.176167217","1216775","-9999","894151.4","19.55","-1","0.028065958","0.999857083","0","0.59991425","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","245.048471","245.048610511","245.048538149","768207.4","-9999","1145106.2","11.55","-1","0.295297839","0.984302045","0","0.590581227","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"26","245.048815","245.048954511","245.048918271","1155791.5","-9999","901271.6","18.4","-1","0.147887222","0.996039467","0","0.59762368","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"27","249.040323","249.040460423","249.040461587","520952.3","-9999","854089.8","7.15","-1","-0.004676198","0.999996032","0","0.599997619","8","0.5","0.833333333","O6","de-protonated","0","-9999","C12 H10 O6","12","10","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"28","253.144419","253.144554276","253.144532735","2122134.3","-9999","927625.9","35.22","-1","0.085093711","0.998687004","0","0.599212202","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"30","255.123641","255.123775241","255.12379729","525933.8","-9999","942552.4","7.17","-1","-0.086426327","0.998645585","0","0.599187351","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"32","262.975813","262.975943133","262.975967805","580768.2","-9999","755738.2","8.05","-1","-0.093815463","0.998404283","0","0.59904257","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999"
"33","263.019595","263.01972511","263.019726143","542149.3","-9999","689236.5","7.38","-1","-0.00392398","0.999997206","0","0.599998324","9","0.583333333","0.666666667","O7","de-protonated","0","-9999","C12 H8 O7","12","8","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"33","263.019595","263.01972511","263.019563951","542149.3","-9999","689236.5","7.38","-1","0.612727218","0.934146386","0","0.560487832","4","0.142857143","1.857142857","N4 S2 P1 O1","de-protonated","0","-9999","C7 H13 O1 N4 P1 S2","7","13","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"35","265.071679","265.071808037","265.071761716","564050.6","-9999","734489.4","7.72","-1","0.174747705","0.994474467","0","0.59668468","7","0.461538462","1.076923077","O6","de-protonated","0","-9999","C13 H14 O6","13","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"36","265.147456","265.147584997","265.147523916","692763.1","-9999","686048.5","9.95","-1","0.230368147","0.990416826","0","0.594250096","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"37","265.147761","265.147889997","265.147904038","1821851.3","-9999","753371.6","29.46","-1","-0.052955861","0.999491289","0","0.599694773","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"40","267.050893","267.051021002","267.051026271","542189.9","-9999","1000275.5","7.34","-1","-0.019733061","0.999929348","0","0.599957609","7","0.583333333","1","O7","de-protonated","0","-9999","C12 H12 O7","12","12","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"40","267.050893","267.051021002","267.05086408","542189.9","-9999","1000275.5","7.34","-1","0.587609392","0.939270778","0","0.563562467","2","0.142857143","2.428571429","N4 S2 P1 O1","de-protonated","0","-9999","C7 H17 O1 N4 P1 S2","7","17","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"43","269.066546","269.066672947","269.066676336","633924.1","-9999","610541.3","8.89","-1","-0.012593761","0.999971222","0","0.599982733","6","0.583333333","1.166666667","O7","de-protonated","0","-9999","C12 H14 O7","12","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"45","269.131047","269.131173914","269.131205146","3110730.8","-9999","742447","51.51","-1","-0.116049386","0.99755933","0","0.598535598","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"47","269.139298","269.139424909","269.139447355","1445707.6","-9999","828316.8","22.85","-1","-0.083396609","0.998738821","0","0.599243293","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"53","281.030114","281.030234689","281.030290827","613915.3","-9999","706094.3","8.45","-1","-0.199755084","0.992785965","0","0.595671579","8","0.666666667","0.833333333","O8","de-protonated","0","-9999","C12 H10 O8","12","10","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"53","281.030114","281.030234689","281.030128635","613915.3","-9999","706094.3","8.45","-1","0.377376266","0.974490388","0","0.584694233","3","0.285714286","2.142857143","N4 S2 P1 O2","de-protonated","0","-9999","C7 H15 O2 N4 P1 S2","7","15","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"54","281.066557","281.06667767","281.066676336","591710.3","-9999","700863.6","8.07","-1","0.004747477","0.99999591","0","0.599997546","7","0.538461538","1.076923077","O7","de-protonated","0","-9999","C13 H14 O7","13","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"54","281.066557","281.06667767","281.066514145","591710.3","-9999","700863.6","8.07","-1","0.581804233","0.940428474","0","0.564257084","2","0.125","2.375","N4 S2 P1 O1","de-protonated","0","-9999","C8 H19 O1 N4 P1 S2","8","19","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"55","283.045776","283.045895635","283.045940891","667456.3","-9999","681810.5","9.31","-1","-0.159889455","0.995372072","0","0.597223243","7","0.666666667","1","O8","de-protonated","0","-9999","C12 H12 O8","12","12","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"55","283.045776","283.045895635","283.0457787","667456.3","-9999","681810.5","9.31","-1","0.413132001","0.969505329","0","0.581703197","2","0.285714286","2.428571429","N4 S2 P1 O2","de-protonated","0","-9999","C7 H17 O2 N4 P1 S2","7","17","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"57","285.125927","285.126045547","285.126119766","5484773.5","-9999","679090.9","91.1","-1","-0.26030178","0.990719372","0.992705818","0.991513951","4","0.285714286","1.642857143","P1 O4","de-protonated","0","-9999","C14 H23 O4 P1","14","23","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"58","285.134139","285.134257543","285.134361974","717478","-9999","707139.3","10.16","-1","-0.366254075","0.975953928","0","0.585572357","4","0.428571429","1.571428571","O6","de-protonated","0","-9999","C14 H22 O6","14","22","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"60","286.129303","286.129421022","286.129474601","777907.3","-9999","758000.2","11.19","-1","-0.187253557","0.993657899","0.992705818","0.993277067","4","0.285714286","1.642857143","13C1 P1 O4","de-protonated","1","57","C13 H23 O4 P1 13C1","13","23","4","-9999","1","-9999","1","-9999","-9999","-9999","-9999"
"60","286.129303","286.129421022","286.129610946","777907.3","-9999","758000.2","11.19","-1","-0.663770455","0.923167398","0","0.553900439","4","0.461538462","1.615384615","N1 O6","de-protonated","0","-9999","C13 H21 O6 N1","13","21","6","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"61","287.113429","287.113546507","287.113626529","568382.7","-9999","654906.1","7.59","-1","-0.278712226","0.986003844","0","0.591602307","4","0.538461538","1.538461538","O7","de-protonated","0","-9999","C13 H20 O7","13","20","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"62","289.07152","289.071636483","289.071761716","562385.9","-9999","720811.3","7.49","-1","-0.433225938","0.966518205","0","0.579910923","9","0.4","0.933333333","O6","de-protonated","0","-9999","C15 H14 O6","15","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"63","291.050824","291.050939448","291.051026271","652899.5","-9999","660056.5","8.97","-1","-0.298311432","0.983982599","0","0.590389559","9","0.5","0.857142857","O7","de-protonated","0","-9999","C14 H12 O7","14","12","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"63","291.050824","291.050939448","291.05086408","652899.5","-9999","660056.5","8.97","-1","0.25894952","0.987906704","0","0.592744022","4","0.111111111","1.888888889","N4 S2 P1 O1","de-protonated","0","-9999","C9 H17 O1 N4 P1 S2","9","17","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"64","293.030102","293.030216412","293.030290827","577586.3","-9999","822488.3","7.7","-1","-0.25394746","0.988366695","0","0.593020017","9","0.615384615","0.769230769","O8","de-protonated","0","-9999","C13 H10 O8","13","10","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"64","293.030102","293.030216412","293.030128635","577586.3","-9999","822488.3","7.7","-1","0.299549511","0.983850451","0","0.590310271","4","0.25","1.875","N4 S2 P1 O2","de-protonated","0","-9999","C8 H15 O2 N4 P1 S2","8","15","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"65","293.066442","293.066556393","293.066676336","540660.9","-9999","670773.7","7.08","-1","-0.40926747","0.970064582","0","0.582038749","8","0.5","1","O7","de-protonated","0","-9999","C14 H14 O7","14","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
