#Columns,5,,,,
#Header_Rows,12,,,,
Field_Name,Sample_Name,IGSN,Material,FTICR-MS,Methods_Deviation
Unit,N/A,N/A,N/A,N/A,N/A
Unit_Basis,N/A,N/A,N/A,N/A,N/A
MethodID_Analysis,N/A,N/A,N/A,ICR_T_AN_022,N/A
MethodID_Inspection,N/A,N/A,N/A,ICR_T_IN_022,N/A
MethodID_Storage,N/A,N/A,N/A,ICR_T_ST_022,N/A
MethodID_Preservation,N/A,N/A,N/A,ICR_T_PRES_022,N/A
MethodID_Preparation,N/A,N/A,N/A,ICR_T_PREP_022,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ICR_T_DP_022,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,L0_L1_L2_ICR,N/A
#Start_Data,HJW_01_SIR-1,10.58052/IEWDR02B5,Sediment,See_FTICR_folder_for_data,ICR_RERUN_001
N/A,HJW_01_SIR-2,10.58052/IEWDR02B5,Sediment,See_FTICR_folder_for_data,N/A
N/A,HJW_01_SIR-3,10.58052/IEWDR02B5,Sediment,See_FTICR_folder_for_data,N/A
N/A,HJW_02_SIR-1,10.58052/IEWDR02B6,Sediment,See_FTICR_folder_for_data,N/A
N/A,HJW_02_SIR-2,10.58052/IEWDR02B6,Sediment,See_FTICR_folder_for_data,ICR_RERUN_001
N/A,HJW_02_SIR-3,10.58052/IEWDR02B6,Sediment,See_FTICR_folder_for_data,N/A
N/A,HJW_03_SIR-1,10.58052/IEWDR02B7,Sediment,See_FTICR_folder_for_data,N/A
N/A,HJW_03_SIR-2,10.58052/IEWDR02B7,Sediment,See_FTICR_folder_for_data,N/A
N/A,HJW_03_SIR-3,10.58052/IEWDR02B7,Sediment,See_FTICR_folder_for_data,N/A
N/A,HJW_04_SIR-1,10.58052/IEWDR02B8,Sediment,See_FTICR_folder_for_data,N/A
