#Columns,8,,,,,,,
#Header_Rows,12,,,,,,,
Field_Name,Sample_Name,IGSN,Material,Extractable_NPOC_mg_per_L,Extractable_TN_mg_per_L,Extractable_NPOC_mg_per_kg,Extractable_TN_mg_per_kg,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams per liter,milligrams per liter,milligrams per kilogram,milligrams per kilogram,N/A
Unit_Basis,N/A,N/A,N/A,as extractable dissolvable Carbon,as extractable dissolvable Nitrogen,as extractable milligrams Carbon per kilogram dry sediment,as extractable milligrams Nitrogen per kilogram dry sediment,N/A
MethodID_Analysis,N/A,N/A,N/A,NPOC_T_AN_015,TN_T_AN_013,NPOC_T_AN_015,TN_T_AN_013,N/A
MethodID_Inspection,N/A,N/A,N/A,NPOC_T_IN_015,TN_T_IN_013,NPOC_T_IN_015,TN_T_IN_013,N/A
MethodID_Storage,N/A,N/A,N/A,NPOC_T_ST_015,TN_T_ST_013,NPOC_T_ST_015,TN_T_ST_013,N/A
MethodID_Preservation,N/A,N/A,N/A,NPOC_T_PRES_015,TN_T_PRES_013,NPOC_T_PRES_015,TN_T_PRES_013,N/A
MethodID_Preparation,N/A,N/A,N/A,NPOC_T_PREP_015,TN_T_PREP_013,NPOC_T_PREP_015,TN_T_PREP_013,N/A
MethodID_DataProcessing,N/A,N/A,N/A,NPOC_T_DP_015,TN_T_DP_013,NPOC_T_DP_015,TN_T_DP_013,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.33,0.03,-9999,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,0.004,0.005,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,HJW_01_SOC-1,10.58052/IEWDR02B5,Sediment,2.85,0.5,9.12,1.6,N/A
N/A,HJW_01_SOC-2,10.58052/IEWDR02B5,Sediment,3.78,0.52,4.58,0.63,N/A
N/A,HJW_01_SOC-3,10.58052/IEWDR02B5,Sediment,3.38,0.7,11.06,2.29,N/A
N/A,HJW_02_SOC-1,10.58052/IEWDR02B6,Sediment,6.9,0.9,31.97,4.17,N/A
N/A,HJW_02_SOC-2,10.58052/IEWDR02B6,Sediment,7.35,1.11,29.12,4.4,N/A
N/A,HJW_02_SOC-3,10.58052/IEWDR02B6,Sediment,6.5,0.95,27.27,3.98,N/A
N/A,HJW_03_SOC-1,10.58052/IEWDR02B7,Sediment,10.3,1.02,36.14,3.58,N/A
N/A,HJW_03_SOC-2,10.58052/IEWDR02B7,Sediment,9.95,1.23,35.63,4.41,N/A
N/A,HJW_03_SOC-3,10.58052/IEWDR02B7,Sediment,8.49,1.17,31.05,4.28,N/A
N/A,HJW_04_SOC-1,10.58052/IEWDR02B8,Sediment,8.32,0.79,26.42,2.51,NPOC_CV_030; NPOC_OUTLIER_000
