#Columns,8,,,,,,,
#Header_Rows,12,,,,,,,
Field_Name,Sample_Name,IGSN,Material,Mean_Extractable_NPOC_mg_per_L,Mean_Extractable_TN_mg_per_L,Mean_Extractable_NPOC_mg_per_kg,Mean_Extractable_TN_mg_per_kg,Mean_Missing_Reps
Unit,N/A,N/A,N/A,milligrams per liter,milligrams per liter,milligrams per kilogram,milligrams per kilogram,N/A
Unit_Basis,N/A,N/A,N/A,as extractable dissolvable Carbon,as extractable dissolvable Nitrogen,as extractable milligrams Carbon per kilogram dry sediment,as extractable milligrams Nitrogen per kilogram dry sediment,N/A
MethodID_Analysis,N/A,N/A,N/A,NPOC_T_AN_015,TN_T_AN_013,NPOC_T_AN_015,TN_T_AN_013,N/A
MethodID_Inspection,N/A,N/A,N/A,NPOC_T_IN_015,TN_T_IN_013,NPOC_T_IN_015,TN_T_IN_013,N/A
MethodID_Storage,N/A,N/A,N/A,NPOC_T_ST_015,TN_T_ST_013,NPOC_T_ST_015,TN_T_ST_013,N/A
MethodID_Preservation,N/A,N/A,N/A,NPOC_T_PRES_015,TN_T_PRES_013,NPOC_T_PRES_015,TN_T_PRES_013,N/A
MethodID_Preparation,N/A,N/A,N/A,NPOC_T_PREP_015,TN_T_PREP_013,NPOC_T_PREP_015,TN_T_PREP_013,N/A
MethodID_DataProcessing,N/A,N/A,N/A,NPOC_T_DP_015,TN_T_DP_013,NPOC_T_DP_015,TN_T_DP_013,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.33,0.03,-9999,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,0.004,0.005,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,HJW_01_Sediment,10.58052/IEWDR02B5,Sediment,3.337,0.573,8.253,1.507,FALSE
N/A,HJW_02_Sediment,10.58052/IEWDR02B6,Sediment,6.917,0.987,29.453,4.183,FALSE
N/A,HJW_03_Sediment,10.58052/IEWDR02B7,Sediment,9.58,1.14,34.273,4.09,FALSE
N/A,HJW_04_Sediment,10.58052/IEWDR02B8,Sediment,4.265,0.65,13.585,2.067,TRUE
N/A,HJW_05_Sediment,10.58052/IEWDR02B9,Sediment,4.677,0.73,15.27,2.387,FALSE
N/A,HJW_06_Sediment,10.58052/IEWDR02BA,Sediment,15.54,1.637,82.317,8.7,FALSE
N/A,HJW_07_Sediment,10.58052/IEWDR02BB,Sediment,4.71,0.67,16.03,2.243,TRUE
N/A,HJW_08_Sediment,10.58052/IEWDR02BC,Sediment,5.767,0.797,18.767,2.597,FALSE
N/A,HJW_09_Sediment,10.58052/IEWDR02BD,Sediment,6.95,0.743,22.935,2.443,TRUE
N/A,HJW_10_Sediment,10.58052/IEWDR02BE,Sediment,13.377,1.93,77.03,11.11,FALSE
