#Columns,6
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams per liter,milligrams per liter,N/A
Unit_Basis,N/A,N/A,N/A,as dissolvable Carbon,as dissolvable Nitrogen,N/A
MethodID_Analysis,N/A,N/A,N/A,NPOC_T_AN_018,TN_T_AN_016,N/A
MethodID_Inspection,N/A,N/A,N/A,NPOC_T_IN_018,TN_T_IN_016,N/A
MethodID_Storage,N/A,N/A,N/A,NPOC_T_ST_018,TN_T_ST_016,N/A
MethodID_Preservation,N/A,N/A,N/A,NPOC_T_PRES_018,TN_T_PRES_016,N/A
MethodID_Preparation,N/A,N/A,N/A,NPOC_T_PREP_018,TN_T_PREP_016,N/A
MethodID_DataProcessing,N/A,N/A,N/A,NPOC_T_DP_018,TN_T_DP_016,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.17,0.02,N/A
Analysis_Precision,-9999,-9999,-9999,0.004,0.005,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,HJW_01_OCN-1,10.58052/IEWDR029T,Liquid>aqueous,0.77,TN_Below_0.1_ppm_Standard|0.04_ppm_Raw_Not_Corrected|0.04_ppm_Final_Corrected,DTL_003
N/A,HJW_01_OCN-2,10.58052/IEWDR029T,Liquid>aqueous,0.73,TN_Below_0.1_ppm_Standard|0.04_ppm_Raw_Not_Corrected|0.04_ppm_Final_Corrected,DTL_003
N/A,HJW_01_OCN-3,10.58052/IEWDR029T,Liquid>aqueous,0.69,TN_Below_0.1_ppm_Standard|0.05_ppm_Raw_Not_Corrected|0.05_ppm_Final_Corrected,DTL_003
N/A,HJW_02_OCN-1,10.58052/IEWDR029U,Liquid>aqueous,1.21,TN_Below_0.1_ppm_Standard|0.06_ppm_Raw_Not_Corrected|0.06_ppm_Final_Corrected,DTL_003; TN_CV_030
N/A,HJW_02_OCN-2,10.58052/IEWDR029U,Liquid>aqueous,1.19,TN_Below_0.1_ppm_Standard|0.07_ppm_Raw_Not_Corrected|0.07_ppm_Final_Corrected,DTL_003; TN_CV_030
N/A,HJW_02_OCN-3,10.58052/IEWDR029U,Liquid>aqueous,1.07,0.13,TN_CV_030; TN_OUTLIER_000
N/A,HJW_03_OCN-1,10.58052/IEWDR029V,Liquid>aqueous,1.92,TN_Below_0.1_ppm_Standard|0.08_ppm_Raw_Not_Corrected|0.08_ppm_Final_Corrected,DTL_003
N/A,HJW_03_OCN-2,10.58052/IEWDR029V,Liquid>aqueous,1.94,TN_Below_0.1_ppm_Standard|0.05_ppm_Raw_Not_Corrected|0.05_ppm_Final_Corrected,DTL_003
N/A,HJW_03_OCN-3,10.58052/IEWDR029V,Liquid>aqueous,2.02,TN_Below_0.1_ppm_Standard|0.08_ppm_Raw_Not_Corrected|0.08_ppm_Final_Corrected,DTL_003
N/A,HJW_04_OCN-1,10.58052/IEWDR029W,Liquid>aqueous,0.62,TN_Below_0.1_ppm_Standard|0.05_ppm_Raw_Not_Corrected|0.05_ppm_Final_Corrected,DTL_003
N/A,HJW_04_OCN-2,10.58052/IEWDR029W,Liquid>aqueous,0.72,TN_Below_0.1_ppm_Standard|0.05_ppm_Raw_Not_Corrected|0.05_ppm_Final_Corrected,DTL_003
N/A,HJW_04_OCN-3,10.58052/IEWDR029W,Liquid>aqueous,0.63,TN_Below_0.1_ppm_Standard|0.04_ppm_Raw_Not_Corrected|0.04_ppm_Final_Corrected,DTL_003
N/A,HJW_05_OCN-1,10.58052/IEWDR029X,Liquid>aqueous,0.62,TN_Below_0.1_ppm_Standard|0.08_ppm_Raw_Not_Corrected|0.08_ppm_Final_Corrected,DTL_003
N/A,HJW_05_OCN-2,10.58052/IEWDR029X,Liquid>aqueous,0.58,TN_Below_0.1_ppm_Standard|0.07_ppm_Raw_Not_Corrected|0.07_ppm_Final_Corrected,DTL_003
N/A,HJW_05_OCN-3,10.58052/IEWDR029X,Liquid>aqueous,0.77,TN_Below_0.1_ppm_Standard|0.08_ppm_Raw_Not_Corrected|0.08_ppm_Final_Corrected,DTL_003
N/A,HJW_06_OCN-1,10.58052/IEWDR029Y,Liquid>aqueous,0.73,0.15,N/A
N/A,HJW_06_OCN-2,10.58052/IEWDR029Y,Liquid>aqueous,0.75,0.13,N/A
N/A,HJW_06_OCN-3,10.58052/IEWDR029Y,Liquid>aqueous,0.74,0.11,N/A
N/A,HJW_07_OCN-1,10.58052/IEWDR029Z,Liquid>aqueous,0.48,TN_Below_0.1_ppm_Standard|0.04_ppm_Raw_Not_Corrected|0.04_ppm_Final_Corrected,DTL_003; TN_CV_030
N/A,HJW_07_OCN-2,10.58052/IEWDR029Z,Liquid>aqueous,0.37,TN_Below_0.1_ppm_Standard|0.04_ppm_Raw_Not_Corrected|0.04_ppm_Final_Corrected,DTL_003; TN_CV_030
N/A,HJW_07_OCN-3,10.58052/IEWDR029Z,Liquid>aqueous,0.39,TN_Below_0.015_ppm_LOD|0.01_ppm_Raw_Not_Corrected|0.01_ppm_Final_Corrected,DTL_003; TN_CV_030; TN_OUTLIER_000
