#Columns,6
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,Mean_00681_NPOC_mg_per_L_as_C,Mean_00602_TN_mg_per_L_as_N,Mean_Missing_Reps
Unit,N/A,N/A,N/A,milligrams per liter,milligrams per liter,N/A
Unit_Basis,N/A,N/A,N/A,as dissolvable Carbon,as dissolvable Nitrogen,N/A
MethodID_Analysis,N/A,N/A,N/A,NPOC_T_AN_018,TN_T_AN_016,N/A
MethodID_Inspection,N/A,N/A,N/A,NPOC_T_IN_018,TN_T_IN_016,N/A
MethodID_Storage,N/A,N/A,N/A,NPOC_T_ST_018,TN_T_ST_016,N/A
MethodID_Preservation,N/A,N/A,N/A,NPOC_T_PRES_018,TN_T_PRES_016,N/A
MethodID_Preparation,N/A,N/A,N/A,NPOC_T_PREP_018,TN_T_PREP_016,N/A
MethodID_DataProcessing,N/A,N/A,N/A,NPOC_T_DP_018,TN_T_DP_016,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.17,0.02,N/A
Analysis_Precision,-9999,-9999,-9999,0.004,0.005,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,HJW_01_Water,10.58052/IEWDR029T,Liquid>aqueous,0.73,-9999,TRUE
N/A,HJW_02_Water,10.58052/IEWDR029U,Liquid>aqueous,1.157,-9999,TRUE
N/A,HJW_03_Water,10.58052/IEWDR029V,Liquid>aqueous,1.96,-9999,TRUE
N/A,HJW_04_Water,10.58052/IEWDR029W,Liquid>aqueous,0.657,-9999,TRUE
N/A,HJW_05_Water,10.58052/IEWDR029X,Liquid>aqueous,0.657,-9999,TRUE
N/A,HJW_06_Water,10.58052/IEWDR029Y,Liquid>aqueous,0.74,0.13,FALSE
N/A,HJW_07_Water,10.58052/IEWDR029Z,Liquid>aqueous,0.413,-9999,TRUE
N/A,HJW_08_Water,10.58052/IEWDR02A0,Liquid>aqueous,0.603,-9999,TRUE
N/A,HJW_09_Water,10.58052/IEWDR02A1,Liquid>aqueous,1.01,-9999,TRUE
N/A,HJW_10_Water,10.58052/IEWDR02A2,Liquid>aqueous,0.393,-9999,TRUE
N/A,HJW_11_Water,10.58052/IEWDR02A3,Liquid>aqueous,0.317,-9999,TRUE
N/A,HJW_12_Water,10.58052/IEWDR02A4,Liquid>aqueous,0.36,0.11,TRUE
N/A,HJW_13_Water,10.58052/IEWDR02A5,Liquid>aqueous,0.703,-9999,TRUE
N/A,HJW_14_Water,10.58052/IEWDR02A6,Liquid>aqueous,0.533,0.137,FALSE
N/A,HJW_15_Water,10.58052/IEWDR02A7,Liquid>aqueous,0.57,0.133,FALSE
N/A,HJW_16_Water,10.58052/IEWDR02A8,Liquid>aqueous,0.487,-9999,TRUE
N/A,HJW_17_Water,10.58052/IEWDR02A9,Liquid>aqueous,0.853,-9999,TRUE
N/A,HJW_18_Water,10.58052/IEWDR02AA,Liquid>aqueous,0.393,-9999,TRUE
N/A,HJW_19_Water,10.58052/IEWDR02AB,Liquid>aqueous,1.06,-9999,TRUE
N/A,HJW_20_Water,10.58052/IEWDR02AC,Liquid>aqueous,0.53,-9999,TRUE
N/A,HJW_21_Water,10.58052/IEWDR02AD,Liquid>aqueous,0.34,-9999,TRUE
N/A,HJW_22_Water,10.58052/IEWDR02AE,Liquid>aqueous,0.943,-9999,TRUE
N/A,HJW_23_Water,10.58052/IEWDR02AF,Liquid>aqueous,0.753,-9999,TRUE
N/A,HJW_24_Water,10.58052/IEWDR02AG,Liquid>aqueous,0.283,0.137,FALSE
N/A,HJW_25_Water,10.58052/IEWDR02AH,Liquid>aqueous,0.6,-9999,TRUE
N/A,HJW_26_Water,10.58052/IEWDR02AI,Liquid>aqueous,0.98,-9999,TRUE
N/A,HJW_27_Water,10.58052/IEWDR02AJ,Liquid>aqueous,1.123,-9999,TRUE
N/A,HJW_28_Water,10.58052/IEWDR02AK,Liquid>aqueous,1.717,-9999,TRUE
N/A,HJW_29_Water,10.58052/IEWDR02AL,Liquid>aqueous,0.7,0.21,FALSE
N/A,HJW_30_Water,10.58052/IEWDR02AM,Liquid>aqueous,0.453,-9999,TRUE
N/A,HJW_31_Water,10.58052/IEWDR02AN,Liquid>aqueous,0.607,0.17,FALSE
N/A,HJW_32_Water,10.58052/IEWDR02AO,Liquid>aqueous,1.313,-9999,TRUE
N/A,HJW_33_Water,10.58052/IEWDR02AP,Liquid>aqueous,0.617,-9999,TRUE
N/A,HJW_34_Water,10.58052/IEWDR02AQ,Liquid>aqueous,0.65,-9999,TRUE
N/A,HJW_35_Water,10.58052/IEWDR02AR,Liquid>aqueous,0.57,-9999,TRUE
N/A,HJW_36_Water,10.58052/IEWDR02AS,Liquid>aqueous,0.83,0.143,FALSE
N/A,HJW_37_Water,10.58052/IEWDR02AT,Liquid>aqueous,0.833,0.3,FALSE
N/A,HJW_38_Water,10.58052/IEWDR02AU,Liquid>aqueous,0.57,0.13,TRUE
N/A,HJW_39_Water,10.58052/IEWDR02AV,Liquid>aqueous,0.547,0.11,TRUE
N/A,HJW_40_Water,10.58052/IEWDR02AW,Liquid>aqueous,0.663,0.11,TRUE
