Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
DP_Method_QA_QC,DTL_003,MethodID_DataProcessing,"Individual data cells contain a flag if the concentration measured was (1) negative; (2) outside of the standard curve; or (3) below the limit of detection (LOD). The text flag is formatted as ""[DataType]_[Below/Above]_[##]_ppm_[LOD/Standard]|[##]_ppm_Raw_Not_Corrected|[##]_ppm_Final_Corrected"". The ""|"" is used to allow the user to parse apart the three pieces of information. The first part of the text string indicates the reason for the flag and the value of the LOD or Standard. The second part indicates the raw data value without any correction. The third part indicates the final corrected value. This value could be corrected based on dilution or other corrections (see the alphanumeric codes at the top of the data column for more details). A text string such as ""NPOC_Above_30_ppm_Standard|30.1_ppm_Raw_Not_Corrected|415.2_ppm_Final_Corrected"" indicates that the NPOC value is above the 30 parts per million (ppm) standard (the highest standard used); the raw value was 30.1ppm; and the corrected value (due to dilution) is 415.2ppm. The raw not corrected and final corrected values could be the same if there was no dilution or other corrections needed. Negative concentration values are not reported; rather ""Negative_Value"" and ""-9999"" are included in the text string (e.g. ""NPOC_Below_0.5_ppm_LOD|Negative_Value_Raw_Not_Corrected|-9999_ppm_Final_Corrected""). For samples corrected to milligrams per kilogram values the raw data value without correction is the same as the raw milligrams per liter not corrected value.",N/A,Pacific Northwest National Laboratory (PNNL)
Data_Status,ready_to_use,N/A,The data have been evaluated and are ready to use.,N/A,Pacific Northwest National Laboratory (PNNL)
Data_Status,L0_L1_L2_ICR,N/A,"Data are provided in three levels of processing. (1) Raw spectra (.d files, see FTICR instructions folder for details on processing raw spectra); (2) Raw spectra were converted to a list of mass values by applying the Bruker Daltonik's Data Analysis software FTMS peak picker module (xml files, see FTICR instructions folder for details). Peaks have not been aligned and chemical formulas have not been assigned. The data user can follow the instructions within the FTICR instructions folder to process the data to their needed specifications. (3) Data processed in Core-MS, following the instructions, are also provided. These data do not require further processing and can be used as-is.",N/A,Pacific Northwest National Laboratory (PNNL)
ICR_Blanks,ICR_BLANK_006,MethodID_Preparation,For extraction process-blanks; 20 milliliters of Milli-Q water were added to a proteomic friendly falcon tube; put on an  shaker at 375 revolutions_ per_minute (rpms) for 2 hours; and centrifuged at 6000 relative_centrifugal_force (rcf) for 5 minutes. 7 milliliters of the Milli-Q in the tube was filtered (0.2 micrometers Sterivex filter) and pipetted into analysis vial and used for DOC analysis. Blanks were acidified to pH < 3 with 37% hydrochloric acid before solid phase extraction (SPE).,N/A,Pacific Northwest National Laboratory (PNNL); University of Arizona – Malak Tfaily Lab
ICR_Deviation,ICR_005,MethodID_Analysis,"Sample was rerun at multiple ion accumulation times on different days after visual inspection indicated poor spectral quality. All runs produced poor spectra. Fewer than 1,000 molecular formulas were assigned during Formultitude processing. Data did not meet QA/QC criteria and were removed",N/A,University of Arizona – Malak Tfaily Lab
ICR_RERUN,ICR_RERUN_001,MethodID_Analysis,ICR sample was rerun to ensure quality control.,21 Tesla (21T) Agilent mass spectrometer,Pacific Northwest National Laboratory (PNNL)
ICR_RERUN,ICR_RERUN_004,MethodID_Analysis,ICR sample was rerun due to not having enough peaks upon visual inspection.,N/A,Pacific Northwest National Laboratory (PNNL)
ICR_Typical,ICR_T_IN_022,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_ST_022,MethodID_Storage,"Sediments were stored at -20degC until extraction. Sediments were thawed overnight at 4degC. After extraction, samples were stored at 4 degC until analysis.",N/A,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_PRES_022,MethodID_Preservation,No preservatives added.,N/A,University of Arizona – Malak Tfaily Lab
