Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code,Reported_Precision
00602_TN_mg_per_L_as_N,milligrams per liter,"Total dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,-9999,0.01
00681_NPOC_mg_per_L_as_C,milligrams per liter,"Dissolved organic carbon (DOC) measured as non-purgeable organic carbon (NPOC) and reported as carbon. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,-9999,0.01
13C,N/A,Number of 13-Carbon atoms assigned to a peak.,numeric,column_header,-9999,1
15N,N/A,Number of 15-Nitrogen atoms assigned to a peak.,numeric,column_header,-9999,1
17O,N/A,Number of 17-Oxygen atoms assigned to a peak.,numeric,column_header,-9999,1
18O,N/A,Number of 18-Oxygen atoms assigned to a peak.,numeric,column_header,-9999,1
33S,N/A,Number of 33-Sulfur atoms assigned to a peak.,numeric,column_header,-9999,1
34S,N/A,Number of 34-Sulfur atoms assigned to a peak.,numeric,column_header,-9999,1
AI,N/A,"Aromaticity index calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,0.00000001
AI_Mod,N/A,"Modified aromaticity index calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,0.000000001
Algal_Mat_Coverage,N/A,"Estimated algal mat cover on riverbed. One of the following classes may be selected: Full coverage, Partial coverage, No coverage.",text,column_header,N/A,-9999
Analysis_DetectionLimit,N/A,Analytical detection limit.,numeric,row_header,-9999,0.01
Analysis_Precision,N/A,Precision of the data values.,numeric,row_header,-9999,0.01
bs1_class,N/A,"Boundaries used to assign compound classes to molecular formula. Boundary sets 1 are Van Krevelen-based (Kim et al., 2003).",text,column_header,N/A,-9999
bs2_class,N/A,"Boundaries used to assign compound classes to molecular formula. Boundary sets 2 are Van Krevelen-based (Bailey et al., 2017).",text,column_header,N/A,-9999
bs3_class,N/A,"Boundaries used to assign compound classes to molecular formula. Boundary sets  3 further integrate stoichiometry to assign modified compound classes (Rivas-Urbach et al., 2018).",text,column_header,N/A,-9999
C,N/A,Carbon atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
Calculated_Mass,mass to charge ratio,Calculated ionic mass for the assigned molecular formula. The units of mass to charge ratio is commonly denoted as m/z.,numeric,column_header,-9999,0.0001
Calibrated_Mass,mass to charge ratio,Ionic mass of a peak after calibration in CoreMS. The units of mass to charge ratio is commonly denoted as m/z.,numeric,column_header,-9999,0.0001
Calibration_Order,N/A,"Order of the polynomial function used during calibration in CoreMS (1 = linear, 2 = quadratic).",numeric,column_header,-9999,1
Calibration_Points,N/A,Number of calibration points used during calibration in CoreMS.,numeric,column_header,-9999,1
Calibration_RMSE,N/A,Root mean square error (RMSE) of the calibration in CoreMS.,numeric,column_header,-9999,0.00000001
Calibration_Threshold,N/A,Threshold of acceptable number of calibration points set for the automated calibration function in our CoreMS pipeline.,numeric,column_header,-9999,0.1
Canopy_Coverage,N/A,"Estimated canopy coverage over the sampling location only. Total riparian zone canopy cover does not apply.  One of the following classes from the provided controlled vocabulary may be selected: Full coverage, Partial coverage, No coverage.",text,column_header,N/A,-9999
Collection_Date,YYYY-MM-DD,Date of sample collection.,date,column_header,-9999,-9999
Collection_Method,N/A,Method of sample collection registered in the System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system. Controlled vocabulary from SESAR.,text,column_header,N/A,-9999
Collection_Method_Description,N/A,Description of how sample was collected.,text,column_header,N/A,-9999
Collector_Chief_Scientist,N/A,Name of person who collected the sample or primary contact.,text,column_header,N/A,-9999
Column_or_Row_Name,N/A,Column or row headers from each tabular file (csv or tsv) in the dataset.,text,column_header,N/A,-9999
Column_or_Row_Name_Position,N/A,"The location of the column or row that contains the header names (i.e., column name or row name). The count used to identify the location assumes the numbering begins at 1 (rather than 0) and excludes columns or rows that begin with ""#"". Most data in this data package is oriented in columns, so this field indicates the tabular location of the row that holds the column names (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 1 - to indicate the location of the column header row).",numeric,column_header,-9999,1
Comment,N/A,Name of study associated with sample.,text,column_header,N/A,-9999
