File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,Join_By_Field,File_Path
v2_readme_WHONDRS_HJW.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information.,N/A,-9999,-9999,N/A,/
v2_WHONDRS_HJW_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,File_Name,/
v2_WHONDRS_HJW_dd.csv,"Data dictionary that defines column and row headers across all tabular data files (files ending in "".csv"" or "".tsv"") in the data package.",ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,Column_or_Row_Name,/
WHONDRS_HJW_Field_Metadata.csv,"Metadata for each set of samples collected at a given point in space and time. Each row generally refers to a set of many vials collected for different analyses and often includes three replicates per analysis collected together that are each named with the same sample name and each have a replicate identifier appended to the end to create a unique identifier (e.g. HJW_05 provides information for the samples HJW_05_ICR-1, HJW_05_ICR-2, HJW_05_ICR-3, which were individual vials collected in the field at the same time and location and can be treated as biological replicates). The metadata file provides accompanying information captured in the field (i.e. coordinates, date, turbidity, water color, weather, etc.).",ESS-DIVE CSV v1,1,1,Parent_ID,/
WHONDRS_HJW_Field_Protocol.pdf,Step-by-step instructions used to complete the sampling in the field.,N/A,-9999,-9999,N/A,/
WHONDRS_HJW_Metadata_IGSN_Mapping.csv,"File that maps between sample names and registered International Generic Sample Numbers (IGSNs). Includes metadata required by Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Sample ID and Metadata (Damerow et al. 2020). Some fields are repeated from the field metadata. In compliance with the ESS-DIVE Location Metadata Reporting Format (Crystal-Ornelas et al. 2022) the Submission_Contact_Name, Submission_Contact_Email, Location_ID, Description, Latitude, and Longitude can all be found in the Dataset Metadata associated with this data package (and found on the ESS-DIVE landing page). The Location_ID, Latitude, and Longitude can also be found in *_IGSN_Mapping.csv as Locality, Latitude, and Longitude, respectively. There is no separate file associated with the ESS-DIVE Location Metadata Reporting Format.",ESS-DIVE CSV v1,1,1,Sample_Name,/
v2_WHONDRS_HJW_Data_Checks_Report.html,"Data quality assessment report documenting compliance with River Corridor Science Focus Area (RC-SFA) data package expectations. Contains results of required and strongly recommended checks including metadata file validation, special character screening, proprietary file detection, and tabular data quality summary. Generated automatically to verify data package readiness for publication. The version number indicates the data package version number, not the version number of this file. ",N/A,-9999,-9999,N/A,/
WHONDRS_HJW_Blanks_FTICR_Methods.csv,"Fourier-transform ion cyclotron resonance mass spectrometer (FTICR-MS) methods information embedded with method codes that are defined in file ending in ""Methods_Codes.csv"" for blank samples. Data and instructions can be found in the FTICR folder; see readme for more details. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data
WHONDRS_HJW_Sediment_FTICR_Methods.csv,"Fourier-transform ion cyclotron resonance mass spectrometer (FTICR-MS) methods information embedded with method codes that are defined in file ending in ""Methods_Codes.csv"" for sediment samples. Data and instructions can be found in the FTICR folder; see readme for more details. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data
WHONDRS_HJW_Sediment_NPOC_TN.csv,Dissolved organic carbon (DOC; reported as non-purgeable organic carbon; NPOC) and total nitrogen (TN) for sediment samples. Methods information is embedded with methods codes that are defined in *_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data
WHONDRS_HJW_Sediment_Sample_Data_Summary.csv,"Mean dissolved organic carbon (DOC, measured as non-purgeable organic carbon, NPOC) and mean total nitrogen from sediment samples. For each sampling event (e.g. HJW_05_Sediment) the values of each of the three biological replicates (e.g. HJW_05_SOC-1, HJW_05_SOC-2, HJW_05_SOC-3) are averaged. Any replicate values that were an outlier (using distance-based outlier detection) or above/below the limit of detection are not included in the mean. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. Methods information is embedded with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil, Sediment, and Water Chemistry data (Boye et al. 2022). ",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data
WHONDRS_HJW_Water_FTICR_Methods.csv,"Fourier-transform ion cyclotron resonance mass spectrometer (FTICR-MS) methods information embedded with method codes that are defined in file ending in ""Methods_Codes.csv"" for water samples. Data and instructions can be found in the FTICR folder; see readme for more details. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data
WHONDRS_HJW_Water_NPOC_TN.csv,"Dissolved organic carbon (DOC, reported as non-purgeable organic carbon, NPOC) and total dissolved nitrogen (TN) from water samples. Methods information is embedded with methods codes that are defined in the file ending in ""Methods_Codes.csv"". The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil, Sediment, and Water Chemistry data (Boye et al. 2022).",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data
WHONDRS_HJW_Water_Sample_Data_Summary.csv,"Mean dissolved organic carbon (DOC, measured as non-purgeable organic carbon, NPOC) and mean total nitrogen from water samples. For each sampling event (e.g. HJW_05_Water) the values of each of the three biological replicates (e.g. HJW_05_OCN-1, HJW_05_OCN-2, HJW_05_OCN-3) are averaged. Any replicate values that were an outlier (using distance-based outlier detection) or above/below the limit of detection are not included in the mean. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. Methods information is embedded with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil, Sediment, and Water Chemistry data (Boye et al. 2022). ",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data
v2_WHONDRS_HJW_Methods_Codes.csv,"Definitions of methods codes used in sample data files. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil, Sediment, and Water Chemistry data (Boye et al. 2022).",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,1,1,Method_ID,/v2_WHONDRS_HJW_Sample_Data
WHONDRS_HJW_Blanks_CoreMS_Processed_ICR_Calibration.csv,Combined CoreMS calibration outputs (.cal files) across blank samples. This data is processed from .xml files.,ESS-DIVE CSV v1,1,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data/FTICR
WHONDRS_HJW_CoreMS_Processed_ICR_Mol.csv,"Processed FTICR-MS data containing molecular information describing each mass value for both sediment and water samples in the files ending in  ""CoreMS_Processed_ICR_Data.csv"". Use the ""Calibrated_Mass"" column to merge molecular properties with the data files. This data is processed from .xml files.",ESS-DIVE CSV v1,1,1,Calibrated_Mass,/v2_WHONDRS_HJW_Sample_Data/FTICR
WHONDRS_HJW_Sediment_CoreMS_Processed_ICR_Calibration.csv,Combined CoreMS calibration outputs (.cal files) across all sediment samples. This data is processed from .xml files.,ESS-DIVE CSV v1,1,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data/FTICR
WHONDRS_HJW_Sediment_CoreMS_Processed_ICR_Data.csv,"Processed FTICR-MS mass-by-sample data from sediment samples. The first column contains calibrated masses. The following columns are samples. Each row is a peak intensity with values higher than zero indicating the peak is present in that sample. Use the ""Calibrated_Mass"" column to merge data with the mol files. This data is processed from .xml files.",ESS-DIVE CSV v1,1,1,Calibrated_Mass,/v2_WHONDRS_HJW_Sample_Data/FTICR
WHONDRS_HJW_Water_CoreMS_Processed_ICR_Calibration.csv,Combined CoreMS calibration outputs (.cal files) across all water samples.  This data is processed from .xml files.,ESS-DIVE CSV v1,1,1,Sample_Name,/v2_WHONDRS_HJW_Sample_Data/FTICR
WHONDRS_HJW_Water_CoreMS_Processed_ICR_Data.csv,"Processed FTICR-MS mass-by-sample data from water samples. The first column contains calibrated masses. The following columns are samples. Each row is a peak intensity with values higher than zero indicating the peak is present in that sample. Use the ""Calibrated_Mass"" column to merge data with the mol files.  This data is processed from .xml files.",ESS-DIVE CSV v1,1,1,Calibrated_Mass,/v2_WHONDRS_HJW_Sample_Data/FTICR
